FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
"Mobile Bay Blks 62, 111, 112, 114, 115",,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1992,14,
Mossel Bay,,,,,Petro SA,Completed,Infrastructure,1 Jul 1997,30,
Mossel Bay,,,,,Petro SA,Completed,Infrastructure,1 Jul 1997,30,
Mossel Bay,,,,,Petro SA,Completed,Infrastructure,1 Jul 1997,30,
Mossel Bay,,,,,Petro SA,Completed,Infrastructure,1 Jul 1997,30,
Mundra Port Terminal,,,,,HMEL,Completed,Infrastructure,1 Aug 2010,,
Mustang Island Area,,,,,Quintana,Completed,Infrastructure,1 Jul 1994,14,
Mustang Island Area,,,,,"Oxy Petroleum, Inc.",Completed,Infrastructure,1 Jul 1989,66,
Mustang Island Area,,,,,Quintana,Completed,Infrastructure,1 Jul 1994,14,
Near South Bend (Burns Point gas plant),,,,,Marathon,Completed,Infrastructure,1 Jul 1997,2,
Neka Port Terminal,,,,,,Completed,Infrastructure,1 Jan 2003,,"Neka port terminal receives crude oil from Kazakhstan, Azerbaijan, Turkmenistan and Russia as part of swap oil agreement with Iran"
Newfoundland LNG Terminal,,,,,Newfoundland LNG,Possible,Infrastructure,12 Mar 2020,,"06/04/09 Project put on hold after eight years.

Plan to build three marine jetties and eight storage tanks."
Nigg Oil Terminal,,,,,,Completed,Infrastructure,1 May 1981,,"receives oil from the Beatrice field via 37-mile, 16-inch pipeline"
NLPG SSTI,,,,,Chevron,Completed,Infrastructure,1 Jul 1985,143,
Nord Stream IRM,,,,,Gazprom,Working,Other,1 May 2014,,
Nyhamna Onshore Terminal,,,,,Shell,Completed,Infrastructure,15 Oct 2007,,
OCS-P-0441 Santa Maria Basin Platform Irene,,,,,Chevron,Completed,Infrastructure,1 Jul 1985,37,
OCS-P-0441 Santa Maria Basin Platform Irene,,,,,Chevron,Completed,Infrastructure,1 Jul 1985,37,
OCS-P-0441 Santa Maria Basin Platform Irene,,,,,Chevron,Completed,Infrastructure,1 Jul 1985,37,
Off Kangean Islands,,,,,Pertamina,Completed,Infrastructure,1 Jul 1993,15,
Off Punta Ciquena,,,,,,Completed,Infrastructure,1 Jun 1979,,
Off Tedut,,,,,,Completed,Infrastructure,1 Jun 1980,22,
Offshore,,,,,Walter Oil & Gas,Completed,Infrastructure,1 Jul 1991,34,
Offshore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1982,,
Offshore,,,,,Qatar Petroleum,Completed,Infrastructure,1 Jul 1983,40,
Offshore,,,,,Qatar Petroleum,Completed,Infrastructure,1 Jul 1983,40,
Offshore,,,,,CPC,Completed,Infrastructure,1 Jul 1992,26,
Offshore,,,,,Qatar Petroleum,Completed,Infrastructure,1 Jul 1983,40,
Offshore,,,,,Qatar Petroleum,Completed,Infrastructure,1 Jul 1983,40,
Offshore,,,,,CPC,Completed,Infrastructure,1 Jul 1992,26,
Offshore,,,,,Sarawak Shell,Completed,Infrastructure,1 Jul 1994,91,
Offshore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1982,,
Offshore,,,,,OGDC,Completed,Infrastructure,1 Jul 1993,0,
Offshore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1981,,
Offshore,,,,,CPC,Completed,Infrastructure,1 Jul 1992,27,
Offshore,,,,,Bunduq Oil,Completed,Infrastructure,1 Jul 1982,,
Offshore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1981,,
Offshore,,,,,Saudi Aramco,Completed,Infrastructure,1 Jul 1982,,
Offshore,,,,,Bunduq Oil,Completed,Infrastructure,1 Jul 1982,,
Offshore,,,,,OGDC,Completed,Infrastructure,1 Jul 1993,0,
Offshore Esso Fields,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1984,,
Offshore Esso Fields,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1982,,
Offshore Esso Fields,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1984,,
Offshore Esso Fields,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1984,,
Offshore Field Platform,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1977,30,
Offshore Field Platform,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1978,,
Offshore Field Platforms,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1978,,
Offshore Field Platforms,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1977,61,
Offshore Field Platforms,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1977,61,
Offshore Mooring Terminal,,,,,Pertamina,Completed,Infrastructure,1 Jul 1992,12,
Offshore Nigeria,,,,,ExxonMobil,Completed,Infrastructure,1 Jul 1980,,
Offshore Novorossiysk,,,,,Caspian Pipeline,Completed,Infrastructure,1 Jun 2000,58,
