FieldsBase Project Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:10 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Field,Operator,Status,Development scheme,Production start date,Water depth (m),Remark
East Cameron 338,"USA, Gulf of Mexico",USA,"East Cameron - 330, East Cameron - 331, East Cameron - 332, East Cameron - 338",East Cameron 338,"Anadarko, Devon Energy, Enserch, Trunkline Gas Company, W & T Offshore",Completed,Fixed,1 Jul 1973,46,
East Cameron 339,"USA, Gulf of Mexico",USA,East Cameron - 339,East Cameron 339,ERT,Completed,Fixed,15 Sep 2007,81,
East Cameron 34,"USA, Gulf of Mexico",USA,"East Cameron - 17, East Cameron - 23, East Cameron - 32, East Cameron - 33, East Cameron - 34, East Cameron - 42",East Cameron 33,"Anadarko, Natural Gas Pipeline Company, Stone Energy",Completed,Fixed,1 Jul 1978,12,
East Cameron 34 - 2010,"USA, Gulf of Mexico",USA,East Cameron - 34,East Cameron 33,"Anadarko, ConocoPhillips, Denbury Resources, Dunhill, ExxonMobil",Completed,Fixed,1 May 2011,12,
East Cameron 341,"USA, Gulf of Mexico",USA,East Cameron - 341,East Cameron 341,Walter Oil & Gas,Completed,Subsea,1 Jul 1989,82,
East Cameron 344,"USA, Gulf of Mexico",USA,East Cameron - 344,East Cameron 344,ERT,Completed,Fixed,1 Jul 2000,94,
East Cameron 345,"USA, Gulf of Mexico",USA,East Cameron - 345,East Cameron 345,W & T Offshore,Completed,Fixed,1 Jul 2001,91,
East Cameron 346,"USA, Gulf of Mexico",USA,East Cameron - 346,East Cameron 346,"CGN Producing, Dominion E&P, ERT",Completed,Fixed,1 Jul 1987,95,
East Cameron 347,"USA, Gulf of Mexico",USA,East Cameron - 347,East Cameron 347,Apache,Completed,Fixed,1 Jul 1980,86,
East Cameron 349,"USA, Gulf of Mexico",USA,East Cameron - 349,East Cameron 349,"Enserch, W & T Offshore",Completed,Fixed,1 Jul 1997,93,
East Cameron 353,"USA, Gulf of Mexico",USA,East Cameron - 353,East Cameron 353,"Apache, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1978,94,
East Cameron 359,"USA, Gulf of Mexico",USA,"East Cameron - 346, East Cameron - 359",East Cameron 359,"Anadarko, Stingray Pipeline Company",Completed,Fixed,1 Jul 1980,98,
East Cameron 359 Removal,"USA, Gulf of Mexico",USA,"East Cameron - 346, East Cameron - 359",East Cameron 359,Anadarko,Completed,Fixed,11 Oct 2010,98,
East Cameron 36,"USA, Gulf of Mexico",USA,East Cameron - 36,East Cameron 36,"Devon Energy, Santa Fe Snyder",Completed,Fixed,1 Jul 1994,13,
East Cameron 364,"USA, Gulf of Mexico",USA,East Cameron - 364,East Cameron 364,ERT,Completed,Fixed,1 Jul 2000,114,
East Cameron 368,"USA, Gulf of Mexico",USA,East Cameron - 368,East Cameron 368,W & T Offshore,Completed,Fixed,30 Apr 2003,109,
East Cameron 368 Decommissioning,"USA, Gulf of Mexico",USA,East Cameron - 368,East Cameron 368,W & T Offshore,Completed,Fixed,12 Oct 2010,109,
East Cameron 369,"USA, Gulf of Mexico",USA,East Cameron - 369,East Cameron 369,Anadarko,Completed,Fixed,1 Jul 2001,105,
East Cameron 37,"USA, Gulf of Mexico",USA,East Cameron - 37,East Cameron 37,Mariner Energy,Completed,Fixed,14 Dec 2009,12,
East Cameron 373,"USA, Gulf of Mexico",USA,East Cameron - 373,East Cameron 373,"Anadarko, Delos Offshore, Petrobras",Completed,Fixed&SS,1 Jul 1998,135,
East Cameron 374,"USA, Gulf of Mexico",USA,East Cameron - 374,East Cameron 374,"Cal Dive, ERT",Completed,Subsea,15 Sep 2003,130,
East Cameron 377,"USA, Gulf of Mexico",USA,East Cameron - 377,East Cameron 377,ERT,Completed,Subsea,30 Mar 2006,126,
East Cameron 38,"USA, Gulf of Mexico",USA,East Cameron - 38,East Cameron 38,"Dominion E&P, ERT, Murphy, Sea Robin Pipeline Company",Completed,Fixed,1 Jul 1980,12,
East Cameron 380,"USA, Gulf of Mexico",USA,East Cameron - 380,East Cameron 380,Walter Oil & Gas,Completed,Subsea,1 Jul 2001,164,
East Cameron 39,"USA, Gulf of Mexico",USA,East Cameron - 39,East Cameron 39,Rooster Petroleum,Construction,Fixed,30 Dec 2014,13,9/14: Well not yet drilled
East Cameron 42,"USA, Gulf of Mexico",USA,East Cameron - 42,East Cameron 42,"ConocoPhillips, Denbury Resources, Santa Fe Snyder, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1977,13,
East Cameron 44,"USA, Gulf of Mexico",USA,East Cameron - 44,East Cameron 44,"Houston Exploration, Koch",Completed,Fixed,1 Jul 1987,15,
East Cameron 45,"USA, Gulf of Mexico",USA,East Cameron - 45,East Cameron 45,Stone Energy,Completed,Fixed,20 Mar 2007,14,
East Cameron 46,"USA, Gulf of Mexico",USA,"East Cameron - 45, East Cameron - 46, East Cameron - 47, East Cameron - 48",East Cameron 46,"Anadarko, ConocoPhillips, El Paso, Newfield Exploration, Sonat Exploration, Southern Natural Gas Company, Stone Energy",Completed,Fixed,1 Jul 1960,15,
East Cameron 47,"USA, Gulf of Mexico",USA,East Cameron - 47,East Cameron 47,"ConocoPhillips, Newfield Exploration, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1980,15,
East Cameron 48,"USA, Gulf of Mexico",USA,"East Cameron - 48, East Cameron - 63, East Cameron - 64, West Cameron - 176, West Cameron - 177",East Cameron 64,"Apache, ConocoPhillips, Newfield Exploration",Completed,Fixed,1 Jul 1960,14,
East Cameron 49,"USA, Gulf of Mexico",USA,"East Cameron - 44, East Cameron - 49, East Cameron - 50",East Cameron 49,"Houston Exploration, LINDER ENERGY, Tennessee Gas Pipeline, Texas Gas",Completed,Fixed,1 Jul 1957,16,
East Cameron 50,"USA, Gulf of Mexico",USA,East Cameron - 50,East Cameron 50,Anadarko,Completed,Fixed,1 Jul 1983,18,
East Cameron 51,"USA, Gulf of Mexico",USA,East Cameron - 51,East Cameron 51,ExxonMobil,Completed,Fixed,1 Jul 1970,15,
East Cameron 54,"USA, Gulf of Mexico",USA,East Cameron - 54,East Cameron 54,ConocoPhillips,Completed,Infrastructure,1 Jul 1997,10,
East Cameron 55,"USA, Gulf of Mexico",USA,East Cameron - 55,East Cameron 55,Unocal,Completed,Fixed,1 Jul 1974,15,
East Cameron 57,"USA, Gulf of Mexico",USA,"East Cameron - 57, East Cameron - 58",East Cameron 57,Transcontinental Gas Pipeline,Completed,Fixed,1 Jul 1977,15,
East Cameron 57 - Decommissioning,"USA, Gulf of Mexico",USA,"East Cameron - 57, East Cameron - 58",East Cameron 57,"Shell, Unocal",Completed,Fixed,14 Oct 2011,15,
East Cameron 58,"USA, Gulf of Mexico",USA,East Cameron - 58,East Cameron 58,"Chevron, Tennessee Gas Pipeline, Unocal",Completed,Fixed,1 Jul 1979,15,
East Cameron 6,"USA, Gulf of Mexico",USA,East Cameron - 6,East Cameron 6,Samedan,Completed,Fixed,1 Jul 1981,5,
East Cameron 60,"USA, Gulf of Mexico",USA,East Cameron - 60,East Cameron 60,"BP, Vastar (A)",Completed,Fixed,1 Jul 1989,17,
East Cameron 61,"USA, Gulf of Mexico",USA,East Cameron - 61,East Cameron 61,Hess,Cancelled,Fixed,1 Jun 2007,15,
East Cameron 62,"USA, Gulf of Mexico",USA,"East Cameron - 62, East Cameron - 66, East Cameron - 67",East Cameron 62,"ConocoPhillips, Newfield Exploration, Samedan",Completed,Fixed,1 Jul 1955,16,
East Cameron 64 - 1957-69,"USA, Gulf of Mexico",USA,"East Cameron - 48, East Cameron - 63, East Cameron - 64, West Cameron - 176, West Cameron - 177",East Cameron 64,"ConocoPhillips, ExxonMobil, Newfield Exploration, Stone Energy",Completed,Fixed,1 Jul 1957,14,
East Cameron 64 - 1970-79,"USA, Gulf of Mexico",USA,"East Cameron - 48, East Cameron - 63, East Cameron - 64, West Cameron - 176, West Cameron - 177",East Cameron 64,"ConocoPhillips, ExxonMobil, Newfield Exploration, Stone Energy",Completed,Fixed,1 Jan 1970,14,
East Cameron 64 - 1993,"USA, Gulf of Mexico",USA,East Cameron - 64,East Cameron 64,"ConocoPhillips, ExxonMobil, Newfield Exploration, Stone Energy",Completed,Fixed,30 Aug 1993,14,
East Cameron 64 - 2000 PL installations,"USA, Gulf of Mexico",USA,East Cameron - 64,East Cameron 64,"ConocoPhillips, ExxonMobil, Newfield Exploration, Stone Energy",Completed,Fixed,1 Nov 2000,14,
East Cameron 64 - 2007 Replacement Wells,"USA, Gulf of Mexico",USA,"East Cameron - 48, East Cameron - 63, East Cameron - 64, West Cameron - 176, West Cameron - 177",East Cameron 64,"ERT, ExxonMobil, Stone Energy",Completed,Fixed,1 May 2007,14,Drill and produce 3 replacement wells.  A caisson will be installed at location G to support the 3 wells
East Cameron 65,"USA, Gulf of Mexico",USA,East Cameron - 65,East Cameron 65,"Enron, EOG, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1985,16,
East Cameron 65 Phase II,"USA, Gulf of Mexico",USA,East Cameron - 65,East Cameron 65,Hall-Houston Oil,Completed,Fixed,15 Jan 2010,16,
East Cameron 66,"USA, Gulf of Mexico",USA,East Cameron - 66,East Cameron 66,"ConocoPhillips, Samedan, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1985,16,
East Cameron 71,"USA, Gulf of Mexico",USA,East Cameron - 71,East Cameron 71,"BT Operating, ConocoPhillips, East Cameron Partners",Completed,Fixed,1 Jul 1957,16,
East Cameron 73,"USA, Gulf of Mexico",USA,East Cameron - 73,East Cameron 73,,Completed,XReach,22 Mar 2004,15,Drilled and produced from Vermilion 61 facilities.
East Cameron 75,"USA, Gulf of Mexico",USA,East Cameron - 75,East Cameron 75,Hunt Oil,Completed,Fixed,1 Jul 2006,16,
East Cameron 75 Removal,"USA, Gulf of Mexico",USA,East Cameron - 75,East Cameron 75,Hunt Oil,Completed,Fixed,30 Jun 2011,16,
East Cameron 76,"USA, Gulf of Mexico",USA,East Cameron - 76,East Cameron 76,"Aviara, Chevron, Hunt Exploration, Unocal",Completed,Fixed,1 Jul 1970,17,
East Cameron 76 - 2001,"USA, Gulf of Mexico",USA,East Cameron - 76,East Cameron 76 - Oneida,,Completed,Fixed,1 Oct 2001,18,
East Cameron 81,"USA, Gulf of Mexico",USA,East Cameron - 81,East Cameron 81,ExxonMobil,Completed,Fixed,1 Jul 1972,17,
East Cameron 82,"USA, Gulf of Mexico",USA,East Cameron - 82,East Cameron 82,"Houston Exploration, Shell",Completed,Fixed,1 Jul 1982,17,
East Cameron 83,"USA, Gulf of Mexico",USA,East Cameron - 83,East Cameron 83,"Houston Exploration, Koch",Completed,Fixed,1 Jul 1989,18,
East Cameron 84,"USA, Gulf of Mexico",USA,East Cameron - 84,East Cameron 84,"El Paso, Sonat Exploration",Completed,Infrastructure,1 Jul 1999,20,
East Cameron 88,"USA, Gulf of Mexico",USA,East Cameron - 88,East Cameron 88,"ConocoPhillips, Energy Partners",Completed,Fixed,1 Jul 1977,18,
East Cameron 89,"USA, Gulf of Mexico",USA,"East Cameron - 88, East Cameron - 89",East Cameron 89,"Cabot Oil & Gas, Calpine, Chevron, ConocoPhillips, ERT, Unocal",Completed,Fixed,1 Jul 1963,15,
East Cameron 89 Removal,"USA, Gulf of Mexico",USA,"East Cameron - 88, East Cameron - 89",East Cameron 89 (+ East Cameron 88),"Calpine, ConocoPhillips, Rosetta Resources, Unocal",Completed,Fixed,31 Oct 2011,15,
East Cameron 9,"USA, Gulf of Mexico",USA,East Cameron - 9,East Cameron 9,Total,Completed,Fixed,1 Jul 1969,11,
East Cameron 90,"USA, Gulf of Mexico",USA,"East Cameron - 90, East Cameron - 97",East Cameron 90,"Callon Petroleum, Petrobras",Completed,Fixed,1 Jul 1989,19,
East Cameron 97,"USA, Gulf of Mexico",USA,East Cameron - 97,East Cameron 97,"ConocoPhillips, Tennessee Gas Pipeline",Completed,Fixed,1 Jul 1977,19,
EB 164 Decommissioning,"USA, Gulf of Mexico",USA,East Breaks - 164,East Breaks 164,Mariner Energy,Completed,Subsea,10 Nov 2010,230,12/10: Decommissioning of East Breaks 164 field and facilities. Wells will be plugged and abandoned with flowlines and umbilicals decommissioned in place.
Einset,"USA, Gulf of Mexico",USA,"Viosca Knoll - 872, Viosca Knoll - 873",Einset,Shell,Completed,Subsea,31 Jan 2002,"1,159",
Einset - Decommissioning,"USA, Gulf of Mexico",USA,"Viosca Knoll - 872, Viosca Knoll - 873",Einset,Shell,Completed,Subsea,31 Jan 2010,"1,159",
Enchilada,"USA, Gulf of Mexico",USA,Garden Banks - 128,Enchilada,Shell,Completed,Fixed,2 Mar 1997,215,
Endymion Pipeline,"USA, Gulf of Mexico",USA,"South Pass - 87, South Pass - 89, South Pass - 93",South Pass 89,ENDYMION PIPELINE CO,Completed,Fixed,1 Apr 2005,146,Shallow water portion of pipeline to transport crude from Thunder Horse to shore. Owner = Endymion Pipeline Company LLC.
Entrada,"USA, Gulf of Mexico",USA,Garden Banks - 782,Entrada (+ Magnolia),,Cancelled,Subsea,31 Mar 2009,"1,415",11/08: Project cancelled due to current economic conditions
Entrada - Bennu O&G,"USA, Gulf of Mexico",USA,Garden Banks - 782,Entrada,Bennu O&G,Possible,Subsea,14 Nov 2016,"1,415","11/1/13: Bennu Oil & Gas becomes operator
1/13: ATP filed for bankruptcy in 2012."
Eriksson,"USA, Gulf of Mexico",USA,East Breaks - 646,East Breaks 646 (+ La Salle),Anadarko,Cancelled,Subsea,1 Jul 2014,"1,109","5/14: Found sub-commecial

single subsea well to be brought online through existing NW Nansen manifold to Nansen FPS"
ERT Platform Removals - 2012,"USA, Gulf of Mexico",USA,East Cameron - 185,"East Cameron 185 (+ East Cameron 184, Ship Shoal 223, South Timbalier 86, Vermilion 162, Vermilion 250)",ERT,Completed,Fixed,31 Dec 2012,29,
Eugene Island 10,"USA, Gulf of Mexico",USA,"Eugene Island - 10, Eugene Island - 24",Eugene Island 24,ODECO,Completed,Fixed,1 Jul 1980,4,
Eugene Island 100,"USA, Gulf of Mexico",USA,"Eugene Island - 100, Eugene Island - 105",Eugene Island 100,"Apache, ExxonMobil, Shell, SPN Resources",Completed,Fixed,1 Jul 1960,7,
Eugene Island 100 Phase II,"USA, Gulf of Mexico",USA,Eugene Island - 100,Eugene Island 100,"Arena Offshore, LLC",Completed,Fixed,1 Nov 2008,7,
Eugene Island 105,"USA, Gulf of Mexico",USA,Eugene Island - 105,Eugene Island 105,"Devon Energy, ExxonMobil, Transco Inc, Transcontinental Gas Pipeline",Completed,Fixed,1 Jul 1979,7,
Eugene Island 106,"USA, Gulf of Mexico",USA,Eugene Island - 106,Eugene Island 106,Apache,Completed,Fixed,1 Jul 1998,9,
Eugene Island 107,"USA, Gulf of Mexico",USA,Eugene Island - 107,Eugene Island 107,"Anadarko, BP, ConocoPhillips, Southern Natural Gas Company, Vastar (A)",Completed,Fixed,1 Jul 1982,9,
Eugene Island 108,"USA, Gulf of Mexico",USA,"Eugene Island - 97, Eugene Island - 107, Eugene Island - 108",Eugene Island 108,"Anadarko, ConocoPhillips, Devon Energy, Enron, Felmont Oil, Transcontinental Gas Pipeline",Completed,Fixed,1 Jul 1980,8,
Eugene Island 110,"USA, Gulf of Mexico",USA,Eugene Island - 110,Eugene Island 110,"ConocoPhillips, Hess",Completed,Fixed,1 Jul 1994,9,
Eugene Island 113A,"USA, Gulf of Mexico",USA,"Eugene Island - 113-A, Eugene Island - 133, South Marsh Is - 9, South Marsh Is - 288",South Marsh 9,"Chevron, Transcontinental Gas Pipeline",Completed,Fixed,1 Jul 1983,20,
Eugene Island 113B,"USA, Gulf of Mexico",USA,"Eugene Island - 113, Eugene Island - 113-B, Eugene Island - 113B",Eugene Island 113B,Hess,Completed,Fixed,1 Jul 2005,16,
Eugene Island 113B removal,"USA, Gulf of Mexico",USA,"Eugene Island - 113, Eugene Island - 113-B, Eugene Island - 113B",Eugene Island 113B,LLOG,Completed,Fixed,1 Sep 2011,16,
Eugene Island 116,"USA, Gulf of Mexico",USA,Eugene Island - 116,Eugene Island 116,"Anadarko, ExxonMobil",Completed,Fixed,1 Jul 1989,15,
Eugene Island 118,"USA, Gulf of Mexico",USA,Eugene Island - 118,Eugene Island 118,Anadarko,Completed,Infrastructure,1 Jul 1996,10,
Eugene Island 119,"USA, Gulf of Mexico",USA,Eugene Island - 119,Eugene Island 119 (+ Eugene Island 126),"Devon Energy, ExxonMobil",Completed,Fixed,1 Jul 1981,12,
Eugene Island 120,"USA, Gulf of Mexico",USA,Eugene Island - 120,Eugene Island 120,"Devon Energy, ExxonMobil",Completed,Fixed,1 Jul 1989,12,
Eugene Island 123,"USA, Gulf of Mexico",USA,Eugene Island - 123,Eugene Island 123,"Badger Oil, Marlin Coastal",Completed,Fixed,1 Jul 2005,9,
Eugene Island 125,"USA, Gulf of Mexico",USA,Eugene Island - 125,Eugene Island 125,"Devon Energy, ExxonMobil",Completed,Infrastructure,1 Jul 1989,12,
Eugene Island 126,"USA, Gulf of Mexico",USA,"Eugene Island - 119, Eugene Island - 120, Eugene Island - 125, Eugene Island - 126",Eugene Island 126,"Devon Energy, ExxonMobil",Completed,Fixed,1 Jul 1949,13,
Eugene Island 128,"USA, Gulf of Mexico",USA,"Eugene Island - 116, Eugene Island - 128, Eugene Island - 128-A, Eugene Island - 129, Eugene Island - 129-A",Eugene Island 128,"Devon Energy, ERT, ExxonMobil, Shell",Completed,Fixed,1 Jul 1955,17,
Eugene Island 128 Removals - 2011,"USA, Gulf of Mexico",USA,"Eugene Island - 116, Eugene Island - 128, Eugene Island - 128-A, Eugene Island - 129, Eugene Island - 129-A","Eugene Island 128 (+ Eugene Island 116, Eugene Island 129)","Chevron, Devon Energy, ERT, ExxonMobil, Shell",Completed,Fixed,31 Dec 2011,17,
Eugene Island 128A,"USA, Gulf of Mexico",USA,Eugene Island - 128-A,Eugene Island 128A,ERT,Completed,Fixed,1 Jul 1980,16,
Eugene Island 128A Removals 2010,"USA, Gulf of Mexico",USA,"Eugene Island - 116, Eugene Island - 128, Eugene Island - 128-A, Eugene Island - 129, Eugene Island - 129-A",Eugene Island 128,ERT,Completed,Fixed,12 Apr 2010,17,
Eugene Island 129,"USA, Gulf of Mexico",USA,Eugene Island - 129,Eugene Island 129,ExxonMobil,Completed,Fixed,1 Jul 1986,15,
Eugene Island 129-A,"USA, Gulf of Mexico",USA,Eugene Island - 129-A,Eugene Island 129-A,Chevron,Completed,Fixed,1 Jul 1982,17,
Eugene Island 133,"USA, Gulf of Mexico",USA,"Eugene Island - 113-A, Eugene Island - 133, South Marsh Is - 9, South Marsh Is - 288",South Marsh 9,"Chevron, Natural Gas Pipeline Company",Completed,Fixed,1 Jul 1982,20,
Eugene Island 135,"USA, Gulf of Mexico",USA,Eugene Island - 135,Eugene Island 135,"Enron, EOG",Completed,Fixed,1 Jul 1997,21,
Eugene Island 135 - Removal,"USA, Gulf of Mexico",USA,Eugene Island - 135,Eugene Island 135,EOG,Completed,Fixed,2 Aug 2011,21,
Eugene Island 136,"USA, Gulf of Mexico",USA,Eugene Island - 136,Eugene Island 136,Apache,Cancelled,Infrastructure,1 Jul 2008,20,
Eugene Island 136,"USA, Gulf of Mexico",USA,Eugene Island - 136,Eugene Island 136,"Shell, Transcontinental Gas Pipeline",Completed,Fixed,1 Jul 1980,20,
Eugene Island 141,"USA, Gulf of Mexico",USA,Eugene Island - 141,Eugene Island 141,Walter Oil & Gas,Completed,Fixed,1 Jul 2006,16,
Eugene Island 142,"USA, Gulf of Mexico",USA,Eugene Island - 142,Eugene Island 142,"Anadarko, Chevron, Norcen",Completed,Fixed,1 Jul 1991,14,
Eugene Island 143,"USA, Gulf of Mexico",USA,Eugene Island - 143,Eugene Island 143,Walter Oil & Gas,Completed,Fixed,1 Jul 2003,12,
Eugene Island 143 Ph 2,"USA, Gulf of Mexico",USA,Eugene Island - 143,Eugene Island 143,Walter Oil & Gas,Completed,Fixed,30 Jun 2010,12,
Eugene Island 147,"USA, Gulf of Mexico",USA,"Eugene Island - 142, Eugene Island - 147, Eugene Island - 148",Eugene Island 147,"American Explorer, GOM Shelf, PetroQuest",Completed,Fixed,1 Jul 1991,17,
Eugene Island 148,"USA, Gulf of Mexico",USA,Eugene Island - 148,Eugene Island 148,"ERT, Samedan",Completed,Fixed,1 Jul 1998,18,
Eugene Island 152,"USA, Gulf of Mexico",USA,Eugene Island - 152,Eugene Island 152,Shell,Completed,Fixed,1 Jul 1997,22,
Eugene Island 153,"USA, Gulf of Mexico",USA,Eugene Island - 153,Eugene Island 153,Newfield Exploration,Cancelled,Fixed,1 Jul 2007,22,
Eugene Island 156,"USA, Gulf of Mexico",USA,Eugene Island - 156,Eugene Island 156,Devon Energy,Completed,Fixed,1 Jul 2000,25,
Eugene Island 158,"USA, Gulf of Mexico",USA,Eugene Island - 158,Eugene Island 158,"Shell, Transcontinental Gas Pipeline",Completed,Infrastructure,1 Jul 1980,24,
Eugene Island 159,"USA, Gulf of Mexico",USA,Eugene Island - 159,Eugene Island 159,Marathon,Completed,Fixed,1 Jul 1982,23,
Eugene Island 159 (2003),"USA, Gulf of Mexico",USA,Eugene Island - 159,Eugene Island 159,Tana Oil & Gas,Completed,Fixed,30 May 2003,23,
Eugene Island 162,"USA, Gulf of Mexico",USA,Eugene Island - 162,Eugene Island 162,"Anadarko, Norcen",Completed,Fixed,1 Jul 1992,20,
Eugene Island 163,"USA, Gulf of Mexico",USA,Eugene Island - 163,Eugene Island 163,"Flash Gas & Oil, Newfield Exploration, Titan Exploration",Completed,Fixed,1 Jul 1990,18,
Eugene Island 164,"USA, Gulf of Mexico",USA,Eugene Island - 164,Eugene Island 164,"Devon Energy, Total, Wayman Buchanan",Completed,Fixed,1 Jul 1987,18,
Eugene Island 166,"USA, Gulf of Mexico",USA,Eugene Island - 166,Eugene Island 166,Bois D'Arc Resources,Completed,Fixed,1 Jul 2006,14,
Eugene Island 172,"USA, Gulf of Mexico",USA,"Eugene Island - 172, Eugene Island - 184",Eugene Island 172,"Newfield Exploration, ODECO, Tenneco",Completed,Fixed,1 Jul 1956,24,
Eugene Island 173,"USA, Gulf of Mexico",USA,"Eugene Island - 158, Eugene Island - 173, Eugene Island - 174, Eugene Island - 175, Eugene Island - 176, Eugene Island - 182",Eugene Island 175,Vastar (A),Completed,Fixed,30 Jul 1985,26,
Eugene Island 174,"USA, Gulf of Mexico",USA,Eugene Island - 174,Eugene Island 174,"BP, Vastar (A)",Completed,Fixed,1 Jul 1986,61,
Eugene Island 175,"USA, Gulf of Mexico",USA,"Eugene Island - 158, Eugene Island - 173, Eugene Island - 174, Eugene Island - 175, Eugene Island - 176, Eugene Island - 182",Eugene Island 175,"Apache, BP, Shell, Vastar (A)",Completed,Fixed&SS,1 Jul 1956,26,
Eugene Island 176,"USA, Gulf of Mexico",USA,Eugene Island - 176,Eugene Island 176,"Apache, Shell",Completed,Fixed,1 Jul 1994,27,
Eugene Island 177,"USA, Gulf of Mexico",USA,Eugene Island - 177,Eugene Island 177,Devon Energy,Completed,Fixed,1 Jul 2003,26,
Eugene Island 179,"USA, Gulf of Mexico",USA,Eugene Island - 179,Eugene Island 179 (+ South Marsh 48),Anadarko,Completed,Fixed&SS,1 Jul 1991,30,
Eugene Island 182,"USA, Gulf of Mexico",USA,Eugene Island - 182,Eugene Island 182,"ExxonMobil, Newfield Exploration, Texas Eastern",Completed,Fixed,1 Jul 1983,29,
Eugene Island 184,"USA, Gulf of Mexico",USA,Eugene Island - 184,Eugene Island 184,Total,Completed,Fixed,1 Jul 1990,27,
Eugene Island 186,"USA, Gulf of Mexico",USA,Eugene Island - 186,Eugene Island 186,BP,Completed,Fixed,1 Jul 1994,23,
Eugene Island 187,"USA, Gulf of Mexico",USA,Eugene Island - 187,Eugene Island 187,"Apache, Shell",Completed,Fixed,1 Jul 1993,23,
Eugene Island 187 - Fieldwood,"USA, Gulf of Mexico",USA,Eugene Island - 187,Eugene Island 187,Fieldwood Energy,Construction,Fixed,28 Nov 2014,23,production timeline contingent on permitting
Eugene Island 188,"USA, Gulf of Mexico",USA,"Eugene Island - 187, Eugene Island - 188, Eugene Island - 189, Eugene Island - 190, Eugene Island - 191, Eugene Island - 192",Eugene Island 188,"ANR Pipeline, Apache, Millennium Offshore Inc, Newfield Exploration, Shell",Completed,Fixed,1 Jul 1956,21,
Eugene Island 189,"USA, Gulf of Mexico",USA,Eugene Island - 189,Eugene Island 189,"Cheiftain Intl, Hunt Oil, Shell",Completed,Fixed,1 Jul 1993,18,
Eugene Island 190,"USA, Gulf of Mexico",USA,Eugene Island - 190,Eugene Island 190,Forest Oil,Completed,Fixed,1 Jul 1988,24,
Eugene Island 191,"USA, Gulf of Mexico",USA,Eugene Island - 191,Eugene Island 191,McMoRan,Completed,Fixed,1 Jul 1983,25,
Eugene Island 193,"USA, Gulf of Mexico",USA,Eugene Island - 193,Eugene Island 193,BP,Completed,Infrastructure,1 Jul 1993,27,
Eugene Island 196,"USA, Gulf of Mexico",USA,Eugene Island - 196,Eugene Island 196,"Anadarko, Apache, Chevron, Prime Natural Resources, Sea Robin Pipeline Company",Completed,Fixed,1 Jul 1975,28,
Eugene Island 198,"USA, Gulf of Mexico",USA,"Eugene Island - 198, Eugene Island - 199",Eugene Island 198,"ANR Pipeline, Newfield Exploration, Occidental",Completed,Fixed,1 Jul 1958,34,
Eugene Island 199,"USA, Gulf of Mexico",USA,Eugene Island - 199,Eugene Island 199,"Delmar, Total",Completed,Fixed,1 Jul 1990,35,
Eugene Island 202,"USA, Gulf of Mexico",USA,Eugene Island - 202,Eugene Island 202,Newfield Exploration,Completed,Fixed,1 Jul 1999,34,
Eugene Island 203,"USA, Gulf of Mexico",USA,Eugene Island - 203,Eugene Island 203,Newfield Exploration,Completed,Fixed,1 Jul 2002,35,
Eugene Island 204,"USA, Gulf of Mexico",USA,Eugene Island - 204,Eugene Island 204,"Anadarko, ConocoPhillips, Sea Robin Pipeline Company",Completed,Fixed,1 Jul 1975,34,
Eugene Island 205,"USA, Gulf of Mexico",USA,"Eugene Island - 196, Eugene Island - 204, Eugene Island - 205, Eugene Island - 206, Eugene Island - 217, Eugene Island - 218, Eugene Island - 219",Eugene Island 205,"Anadarko, BP, ConocoPhillips, Newfield Exploration, Offshore Energy, Sandefer Offshore, Sea Robin Pipeline Company",Completed,Fixed,1 Jul 1969,30,
Eugene Island 205 removal,"USA, Gulf of Mexico",USA,"Eugene Island - 196, Eugene Island - 204, Eugene Island - 205, Eugene Island - 206, Eugene Island - 217, Eugene Island - 218, Eugene Island - 219","Eugene Island 205 (+ Eugene Island 204, Eugene Island 217)","Anadarko, BP, Newfield Exploration, Offshore Energy, Prime Natural Resources, Sandefer Offshore, Sea Robin Pipeline Company, W & T Offshore",Completed,Fixed,15 Dec 2011,30,
Eugene Island 206,"USA, Gulf of Mexico",USA,Eugene Island - 206,Eugene Island 206,Sea Robin Pipeline Company,Completed,Infrastructure,1 Jul 1972,29,
Eugene Island 207,"USA, Gulf of Mexico",USA,Eugene Island - 208,Eugene Island 208,"BP, ConocoPhillips, Devon Energy, Greenhill, Maritech Resources, McMoRan, Pioneer, Samedan, Tenneco",Completed,Fixed,1 Aug 1961,30,
Eugene Island 208,"USA, Gulf of Mexico",USA,"Eugene Island - 193, Eugene Island - 207, Eugene Island - 208, Eugene Island - 215",Eugene Island 208,"ANR Pipeline, BP, ConocoPhillips, Greenhill, Maritech Resources, McMoRan, Pioneer, Samedan, Tenneco",Completed,Fixed,1 Jul 1958,30,
