FieldsBase Fixed Platform Search - Data Download,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:02 for Dirk Rook,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Name,Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
Pryderi WHP,Australia/New Zealand,Australia,WA-424-P,Pryderi,Pryderi,Calenergy Gas,Possible,Unknown Fixed,2018,Wellhead,Oil,,,,,Y,90,Number of wells depend on exploration results
,Australia/New Zealand,Australia,WA-209-P,Caribou/Reindeer/Gnu,Reindeer/Devil Creek Development Project,Apache,Installed,Steel jacket,2011,Wellhead,Condensate & Gas,,,,,Y,57,9/09: First gas planned for 2nd half of 2011
Roller A,Australia/New Zealand,Australia,,Roller-Skate,Roller,WAPET,Installed,Monopod,1993,Production/Drilling,,Y,N,Y,N,Y,12,Tower and deck set 8/93.
Roller B,Australia/New Zealand,Australia,,Roller-Skate,Roller,WAPET,Installed,Monopod,1993,Drilling,,N,N,Y,N,Y,12,Tower and deck set 8/93.
Roller C,Australia/New Zealand,Australia,,Roller-Skate,Roller,WAPET,Installed,Monopod,1993,Production/Drilling,,Y,N,Y,N,Y,12,Tower and deck set 8/93.
Saladin A,Australia/New Zealand,Australia,,Saladin,Saladin,WAPET,Installed,Steel jacket,1989,Production,,Y,N,N,N,N,16,Jacket and deck set 9/89.
Saladin B,Australia/New Zealand,Australia,,Saladin,Saladin,WAPET,Installed,Steel jacket,1989,Production,,Y,N,N,N,N,15,Jacket and deck set 9/89.
Saladin C,Australia/New Zealand,Australia,,Saladin,Saladin,WAPET,Installed,Steel jacket,1989,Production,,Y,N,N,N,N,7,Jacket and deck set 9/89.
A,Australia/New Zealand,Australia,TL/1,Simpson,Simpson,Apache,Installed,Caisson,2001,Production,,Y,N,N,N,N,8,
B,Australia/New Zealand,Australia,TL/1,Simpson,Simpson,Apache,Installed,Caisson,2001,Production,,Y,N,N,N,N,8,
