FieldsBase Fixed Platform Search - Data Download,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:02 for Dirk Rook,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Name,Region,Country,Block,Field,Project,Operator,Status,Type,Installation year,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
A,"USA, Gulf of Mexico",USA,Grand Isle - 33,Grand Isle 33,Grand Isle 33,Shell,Installed,Steel jacket,1985,Production/Drilling,,Y,N,Y,N,Y,26,Jacket and deck set 1/85.
A,"USA, Gulf of Mexico",USA,Grand Isle - 33,Grand Isle 33,Grand Isle 33,Apache,Installed,Steel jacket,1986,Production/Drilling,Oil & Gas,,,,,,26,
B,"USA, Gulf of Mexico",USA,Grand Isle - 33,Grand Isle 33,Grand Isle 33,Apache,Installed,Steel jacket,2001,Production,Oil & Gas,Y,N,N,N,N,25,
#2 (A),"USA, Gulf of Mexico",USA,Grand Isle - 34,Grand Isle 34,Grand Isle 34,"Arena Offshore, LLC",Removed,Caisson,2005,Production,Gas,Y,N,,N,N,24,
B,"USA, Gulf of Mexico",USA,Grand Isle - 40,Grand Isle 40,Grand Isle 40,GOM Shelf,Removed,Steel jacket,1956,Production/Drilling,Oil & Gas,,,,,,25,Platform destroyed by hurricane katrina.
B-Aux,"USA, Gulf of Mexico",USA,Grand Isle - 40,Grand Isle 40,Grand Isle 40,BP,Installed,Caisson,2009,,,Y,N,,N,N,25,"a containment caisson to replace Platform B, which was toppled during Hurr Katrina."
F,"USA, Gulf of Mexico",USA,Grand Isle - 40,Grand Isle 40,Grand Isle 40,BP,Removed,Steel jacket,1959,Production/Drilling,Oil & Gas,,,,,,26,Platform destroyed by hurricane katrina.
G,"USA, Gulf of Mexico",USA,Grand Isle - 40,Grand Isle 40,Grand Isle 40,BP,Installed,Steel jacket,1968,Drilling,Oil & Gas,,,,,,26,
I,"USA, Gulf of Mexico",USA,Grand Isle - 40,Grand Isle 40,Grand Isle 40,BP,Removed,Steel jacket,1970,Production/Drilling,Oil & Gas,,,,,,26,
M,"USA, Gulf of Mexico",USA,Grand Isle - 40,Grand Isle 40,Grand Isle 40,,Installed,Caisson,1995,Production,Oil & Gas,Y,N,N,N,N,25,
A,"USA, Gulf of Mexico",USA,Grand Isle - 41,Grand Isle 41,Grand Isle 41,BP,Removed,Steel jacket,1964,Production/Drilling,Oil & Gas,,,,,,28,Platform destroyed by hurricane katrina.
A/B,"USA, Gulf of Mexico",USA,Grand Isle - 41,Grand Isle 41,Grand Isle 41,,Installed,Caisson,2000,Production,Gas,Y,N,N,N,N,31,
B,"USA, Gulf of Mexico",USA,Grand Isle - 41,Grand Isle 41,Grand Isle 41,BP,Installed,Steel jacket,1966,Production/Drilling,Oil & Gas,,,,,,28,
C,"USA, Gulf of Mexico",USA,Grand Isle - 42,Grand Isle 41,Grand Isle 41,BP,Installed,Steel jacket,1967,Production/Drilling,Oil & Gas,,,,,,30,
C/D,"USA, Gulf of Mexico",USA,Grand Isle - 41,Grand Isle 41,Grand Isle 41,,Installed,Caisson,2000,Production,Gas,Y,N,N,N,N,30,
D,"USA, Gulf of Mexico",USA,Grand Isle - 41,Grand Isle 41,Grand Isle 41,BP,Installed,Steel jacket,1968,Production/Drilling,Oil & Gas,,,,,,27,
E,"USA, Gulf of Mexico",USA,Grand Isle - 41,Grand Isle 41,Grand Isle 41,BP,Installed,Steel jacket,1968,Production/Drilling,Oil & Gas,,,,,,26,
H,"USA, Gulf of Mexico",USA,Grand Isle - 41,Grand Isle 41,Grand Isle 41,,Installed,Steel jacket,1988,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,28,
F,"USA, Gulf of Mexico",USA,Grand Isle - 42,Grand Isle 42,Grand Isle 42,,Installed,Steel jacket,1975,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,30,
1,"USA, Gulf of Mexico",USA,West Delta - 67,Grand Isle 43,Grand Isle 43,BP,Installed,Steel jacket,1984,Production,Oil,,,,,,30,
B,"USA, Gulf of Mexico",USA,West Delta - 71,Grand Isle 43,Grand Isle 43,ConocoPhillips,Removed,Steel jacket,1960,Production/Drilling,Oil & Gas,,,,,,44,
C,"USA, Gulf of Mexico",USA,West Delta - 69,Grand Isle 43,Grand Isle 43,BP,Removed,Steel jacket,1962,Production/Drilling,Oil & Gas,,,,,,37,Platform destroyed by hurricane katrina.
E,"USA, Gulf of Mexico",USA,West Delta - 93,Grand Isle 43,Grand Isle 43,ExxonMobil,Installed,Steel jacket,1965,Production/Drilling,Oil & Gas,,,,,,49,
E,"USA, Gulf of Mexico",USA,West Delta - 71,Grand Isle 43,Grand Isle 43,BP,Installed,Steel jacket,1962,Production/Drilling,Oil & Gas,,,,,,42,
F,"USA, Gulf of Mexico",USA,West Delta - 69,Grand Isle 43,Grand Isle 43,ConocoPhillips,Removed,Steel jacket,1963,Production/Drilling,Oil & Gas,,,,,,40,Sever with explosives & topple in place.
I,"USA, Gulf of Mexico",USA,West Delta - 70,Grand Isle 43,Grand Isle 43,BP,Installed,Steel jacket,1965,Production/Drilling,Oil & Gas,,,,,,41,
K,"USA, Gulf of Mexico",USA,West Delta - 69,Grand Isle 43,Grand Isle 43,BP,Removed,Steel jacket,1966,Production/Drilling,Oil & Gas,,,,,,41,Platform destroyed by hurricane katrina.
O,"USA, Gulf of Mexico",USA,West Delta - 71,Grand Isle 43,Grand Isle 43,BP,Installed,Steel jacket,1967,Production/Drilling,Oil & Gas,,,,,,43,
P,"USA, Gulf of Mexico",USA,West Delta - 95,Grand Isle 43,Grand Isle 43,ConocoPhillips,Removed,Steel jacket,1967,Production/Drilling,Oil & Gas,,,,,,44,
R,"USA, Gulf of Mexico",USA,West Delta - 96,Grand Isle 43,Grand Isle 43,BP,Removed,Steel jacket,1967,Production/Drilling,Oil & Gas,,,,,,45,
S,"USA, Gulf of Mexico",USA,West Delta - 95,Grand Isle 43,Grand Isle 43,BP,Installed,Steel jacket,1968,Production/Drilling,Oil & Gas,,,,,,46,Platform destroyed by hurricane katrina.
T,"USA, Gulf of Mexico",USA,West Delta - 95,Grand Isle 43,Grand Isle 43,ConocoPhillips,Removed,Steel jacket,1968,Production/Drilling,Oil & Gas,,,,,,46,Jacket and deck toppled in place.
U,"USA, Gulf of Mexico",USA,West Delta - 68,Grand Isle 43,Grand Isle 43,BP,Installed,Steel jacket,1970,Production/Drilling,Oil & Gas,,,,,,34,
V,"USA, Gulf of Mexico",USA,West Delta - 94,Grand Isle 43,Grand Isle 43,BP,Installed,Steel jacket,1970,Production/Drilling,Oil & Gas,,,,,,48,
W,"USA, Gulf of Mexico",USA,Grand Isle - 32,Grand Isle 43,Grand Isle 43,ConocoPhillips,Removed,Steel jacket,1972,Production/Drilling,Oil & Gas,,,,,,28,
X,"USA, Gulf of Mexico",USA,West Delta - 95,Grand Isle 43,Grand Isle 43,BP,Installed,Steel jacket,1973,Production/Drilling,Oil & Gas,,,,,,46,
A-COMP,"USA, Gulf of Mexico",USA,Grand Isle - 43,Grand Isle 43,"Grand Isle 43, Grand Isle 43 IRM project",BP,Installed,Steel jacket,1968,Compression,Oil & Gas,,,,,,34,
A-RISER,"USA, Gulf of Mexico",USA,Grand Isle - 43,Grand Isle 43,"Grand Isle 43, Grand Isle 43 IRM project",BP,Installed,Steel jacket,1968,Riser,Oil & Gas,,,,,,34,
A-SEPARATION,"USA, Gulf of Mexico",USA,Grand Isle - 43,Grand Isle 43,"Grand Isle 43, Grand Isle 43 IRM project",BP,Installed,Steel jacket,1968,Production,Oil & Gas,,,,,,34,
Q,"USA, Gulf of Mexico",USA,Grand Isle - 43,Grand Isle 43,"Grand Isle 43, Grand Isle 43 IRM project, Apache Platform Removals Phase II 2011",Apache,Scheduled for removal,Steel jacket,1967,Production/Drilling,Oil & Gas,,,,,,43,
A-PRDUCTION,"USA, Gulf of Mexico",USA,Grand Isle - 43,Grand Isle 43,"Grand Isle 43 IRM project, Grand Isle 43",BP,Installed,Steel jacket,1968,Production,Oil & Gas,,,,,,34,
A-QTR,"USA, Gulf of Mexico",USA,Grand Isle - 43,Grand Isle 43,"Grand Isle 43 IRM project, Grand Isle 43",BP,Installed,Steel jacket,1968,Accommodation,Oil & Gas,,,,,,34,
#3,"USA, Gulf of Mexico",USA,Grand Isle - 45,Grand Isle 45,Grand Isle 45,ConocoPhillips,Removed,Caisson,1976,Production,Gas,Y,N,,N,N,34,Jacket and deck set 1976. (Removed 1989)
3,"USA, Gulf of Mexico",USA,Grand Isle - 45,Grand Isle 45,Grand Isle 45,ConocoPhillips,Removed,Steel jacket,1976,Production,Gas,,,,,,34,
A,"USA, Gulf of Mexico",USA,"Grand Isle - 45, Grand Isle - 46",Grand Isle 45,"Grand Isle 45, Apache 2012 Phase IV removals",Apache,Removed,Steel jacket,1997,Production,Oil & Gas,Y,N,,N,N,35,
N,"USA, Gulf of Mexico",USA,Grand Isle - 46,Grand Isle 46,"Grand Isle 46, Apache 2012 Phase IV removals",GOM Shelf,Removed,Steel jacket,2006,Production,,Y,N,,N,N,34,
#6,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,,Removed,Caisson,1986,Production,,Y,N,,N,N,30,Jacket set 3/86. Deck set 5/86.
14,"USA, Gulf of Mexico",USA,Grand Isle - 48,Grand Isle 47,Grand Isle 47,BP,Installed,Steel jacket,1984,Production,Oil & Gas,,,,,,6,
A,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,BP,Installed,Steel jacket,1955,Production/Drilling,Oil & Gas,,,,,,27,
AP,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,GOM Shelf,Installed,Unknown Fixed,1992,,Oil & Gas,N,N,N,N,N,29,
AQ,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,BP,Installed,Steel jacket,1972,Accommodation,Oil & Gas,,,,,,27,
C,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,BP,Scheduled for removal,Steel jacket,1957,Production/Drilling,Oil & Gas,,,,,,27,Platform destroyed by hurricane katrina.
C-AUX,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,BP,Installed,Caisson,2006,,,N,N,,N,N,27,right of use easement
D,"USA, Gulf of Mexico",USA,Grand Isle - 48,Grand Isle 47,Grand Isle 47,BP,Removed,Steel jacket,1959,Production/Drilling,Oil & Gas,,,,,,26,Platform destroyed by hurricane katrina. - Platform D-AUX (single well caisson) to be set over it for containment purposes in the event it becomes necessary to collect hydrocarbons as a result of decomissioing operations.
E,"USA, Gulf of Mexico",USA,Grand Isle - 48,Grand Isle 47,Grand Isle 47,BP,Installed,Steel jacket,1958,Production/Drilling,Oil & Gas,,,,,,28,
J,"USA, Gulf of Mexico",USA,Grand Isle - 48,Grand Isle 47,Grand Isle 47,BP,Installed,Steel jacket,1973,Production/Drilling,Oil & Gas,,,,,,7,
L,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,GOM Shelf,Installed,Steel jacket,1983,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,30,
O,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,Grand Isle 47,,Installed,Steel jacket,2007,Production,,Y,N,,N,N,28,
H,"USA, Gulf of Mexico",USA,Grand Isle - 47,Grand Isle 47,"Grand Isle 47, Apache Platform Removals Phase II 2011",Apache,Removed,Steel jacket,1970,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,27,
K,"USA, Gulf of Mexico",USA,Grand Isle - 48,Grand Isle 48,Grand Isle 48,GOM Shelf,Removed,Steel jacket,1976,Production/Drilling,Gas,Y,N,Y,N,Y,27,
P,"USA, Gulf of Mexico",USA,Grand Isle - 48,Grand Isle 48,"Grand Isle 48, Grand Isle 39 Phase II",,Installed,Steel jacket,1984,Production,,Y,N,,N,N,28,"Jacket and deck set 1984.

8/09: Formerly Caisson #14"
,"USA, Gulf of Mexico",USA,Grand Isle - 48,Grand Isle 48,Grand Isle 48 Phase II,BP,Installed,Caisson,2008,Other,,,,,,,26,"Containment caisson - being set over hurricane toppled plat D located in Grand Isle 48, field GI 47.

No new pipelines will be associated with platform installation."
Caisson 2,"USA, Gulf of Mexico",USA,Grand Isle - 54,Grand Isle 54,Grand Isle 54,Walter Oil & Gas,Installed,Caisson,2008,Other,Oil,,,N,,,35,10/08 Caisson being installed as a well protection structure
A,"USA, Gulf of Mexico",USA,Grand Isle - 55,Grand Isle 55,Grand Isle 55,Total,Removed,Steel jacket,1991,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,45,Jacket set 9/91. Deck set 11/91. (Salvaged from High Island A-437) THE OPERATOR WILL USE EXPLOSIVES OR MECHANICALLY SEVER THE CONDUCTORS OR PILES.
A,"USA, Gulf of Mexico",USA,Grand Isle - 63,Grand Isle 63,Grand Isle 63,Walter Oil & Gas,Removed,Steel jacket,1999,Production,Oil & Gas,Y,N,N,N,N,35,Non-explosive removal proposed.
A,"USA, Gulf of Mexico",USA,Grand Isle - 65,Grand Isle 65,Grand Isle 65,Walter Oil & Gas,Removed,Steel jacket,1998,Production,Gas,Y,N,N,N,N,41,Operator will mechanically sever and remove the piles 15 feet below the mudline.
A,"USA, Gulf of Mexico",USA,Grand Isle - 68,Grand Isle 68,Grand Isle 68,Devon Energy,Removed,Steel jacket,1999,Production,Oil & Gas,Y,N,,N,N,59,"Tow abandoned EI 301 pfm and set in place. PROPOSED EXPLOSIVE REMOVAL, ALTERNATE PLAN = ABRASIVE.  TO BE REEFED AT ARTIFICIAL REEF SIGHT IN WD 134"
A,"USA, Gulf of Mexico",USA,Grand Isle - 70,Grand Isle 70,Grand Isle 70,Rooster Petroleum,Installed,Tripod,2011,Production,Gas,,,,,,47,"Complex ID 2445.1

A001 well completed Feb 2012."
A,"USA, Gulf of Mexico",USA,Grand Isle - 63,Grand Isle 72,Grand Isle 72,ConocoPhillips,Removed,Steel jacket,1967,Production/Drilling,Oil & Gas,,,,,,36,
A,"USA, Gulf of Mexico",USA,Grand Isle - 76,Grand Isle 76,Grand Isle 76,Forest Oil,Installed,Steel jacket,1973,Production/Drilling,Oil & Gas,,,,,,46,
A,"USA, Gulf of Mexico",USA,Grand Isle - 78,Grand Isle 78,Grand Isle 78,El Paso,Installed,Steel jacket,1996,Production/Drilling,Oil & Gas,,,,,,56,
A,"USA, Gulf of Mexico",USA,Grand Isle - 79,Grand Isle 79,Grand Isle 79,Samedan,Removed,Steel jacket,1990,Production/Drilling,Gas,Y,N,Y,N,Y,62,
A,"USA, Gulf of Mexico",USA,Grand Isle - 82,Grand Isle 82,Grand Isle 82,Energy Partners,Removed,Steel jacket,1990,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,59,Jacket and deck set 6/90. PROPOSED ABRASIVE CUTTING OR EXPLOSIVE REMOVAL
A,"USA, Gulf of Mexico",USA,Grand Isle - 81,Grand Isle 82,Grand Isle 82,Midcon,Removed,Steel jacket,1971,Production/Drilling,Gas,,,,,,54,
A,"USA, Gulf of Mexico",USA,Grand Isle - 82,Grand Isle 82,Grand Isle 82,El Paso,Installed,Tripod,1997,Production,Gas,Y,N,N,N,N,53,
A,"USA, Gulf of Mexico",USA,Grand Isle - 83,Grand Isle 83,Grand Isle 83,McMoRan,Installed,Steel jacket,1980,Production/Drilling,Gas,Y,N,Y,N,Y,47,
AA,"USA, Gulf of Mexico",USA,Grand Isle - 86,Grand Isle 86,Grand Isle 86,Chevron,Installed,Steel jacket,1985,Production,,Y,N,N,N,N,66,Jacket and deck set 5/85.
A,"USA, Gulf of Mexico",USA,Grand Isle - 9,Grand Isle 9,Grand Isle 9,ExxonMobil,Removed,Unknown Fixed,1997,,,N,N,,N,N,13,
D,"USA, Gulf of Mexico",USA,Grand Isle - 10,Grand Isle 9,Grand Isle 9,ExxonMobil,Installed,Steel jacket,1954,Production/Drilling,Oil & Gas,,,,,,13,
E,"USA, Gulf of Mexico",USA,Grand Isle - 9,Grand Isle 9,Grand Isle 9,ExxonMobil,Installed,Steel jacket,1954,Production/Drilling,,,,,,,14,
F,"USA, Gulf of Mexico",USA,Grand Isle - 9,Grand Isle 9,Grand Isle 9,ExxonMobil,Installed,Steel jacket,1955,Production/Drilling,,,,,,,14,
J,"USA, Gulf of Mexico",USA,Grand Isle - 9,Grand Isle 9,Grand Isle 9,ExxonMobil,Installed,Steel jacket,1956,Production/Drilling,,,,,,,13,
A,"USA, Gulf of Mexico",USA,Grand Isle - 90,Grand Isle 90,Grand Isle 90,Apache,Installed,Steel jacket,1985,Production/Drilling,Gas,Y,N,Y,N,Y,69,
C,"USA, Gulf of Mexico",USA,Grand Isle - 93,Grand Isle 93,Grand Isle 93,ExxonMobil,Installed,Steel jacket,1975,Production/Drilling,Gas,Y,N,Y,N,Y,62,
B,"USA, Gulf of Mexico",USA,Grand Isle - 94,Grand Isle 95,Grand Isle 95,BP,Installed,Steel jacket,1974,Production/Drilling,Gas,,,,,,64,
C,"USA, Gulf of Mexico",USA,Grand Isle - 95,Grand Isle 95,Grand Isle 95,ExxonMobil,Installed,Steel jacket,1977,Production/Drilling,Gas,Y,N,Y,N,Y,61,
A (BOXER),"USA, Gulf of Mexico",USA,Green Canyon - 19,Green Canyon 19,Green Canyon 19,Shell,Installed,Steel jacket,1986,Production/Drilling,Oil & Gas,,,,,,229,
A,"USA, Gulf of Mexico",USA,Green Canyon - 6,Green Canyon 6,"Green Canyon 6, Green Canyon 6 - Removal",Chevron,Removed,Steel jacket,1989,Production/Drilling,Oil & Gas,,,,,,189,
A (BULLWINKLE),"USA, Gulf of Mexico",USA,Green Canyon - 65,Green Canyon 65,Green Canyon 65,Shell,Installed,Steel jacket,1988,Production/Drilling,Oil & Gas,,,,,,412,
A,"USA, Gulf of Mexico",USA,High Island - 46,Green Pepper,Green Pepper,Mariner Energy,Removed,Steel jacket,2004,Production,Gas,,,,,,8,"1,558"
,"USA, Gulf of Mexico",USA,West Cameron - 603,West Cameron 603,"Gulf Gateway LNG, Gulf Gateway LNG decommissioning",Excelerate Energy,Scheduled for removal,Steel jacket,2005,Other,,,,,,,91,A gas metering platform for measurement of volume and composition of gas flowing to downstream pipelines.
A,"USA, Gulf of Mexico",USA,Galveston - 298,Guns N Roses,Guns n Roses,Devon Energy,Removed,Caisson,1995,Production,Gas,Y,N,N,N,N,19,Operator used explosives.
C,"USA, Gulf of Mexico",USA,Galveston - 298,Guns N Roses,Guns n Roses,Dynamic Offshore Resources,Scheduled for removal,Caisson,2006,Production,Gas,Y,N,,N,N,15,
Cliff's Drlg #4,"USA, Gulf of Mexico",USA,West Cameron - 44,Harvest,Harvest,Chevron,Installed,Jackup,2003,Production,,Y,N,N,N,N,10,
A,"USA, Gulf of Mexico",USA,Main Pass - 120,Main Pass 120,Heathen Prospect,Chevron,Installed,Caisson,2007,,Gas,,,,,,31,
A (HICKORY),"USA, Gulf of Mexico",USA,Grand Isle - 116,Hickory,Hickory,Anadarko,Installed,Steel jacket,2000,Production,Oil & Gas,Y,,,N,N,99,Sub-salt field.
1,"USA, Gulf of Mexico",USA,Eugene Island - 56,Eugene Island 56,High Country West,Contango Oil & Gas,Removed,Caisson,2009,Production,Condensate & Gas,,,,,,4,
A,"USA, Gulf of Mexico",USA,High Island - A-260,High Island - A-260,High Island - A-260,,Installed,Tripod,2007,Wellhead,Gas,,,,,,47,
A,"USA, Gulf of Mexico",USA,High Island - 10-L,High Island 10-L,High Island 10-L,Centex,Installed,Steel jacket,1979,Production/Drilling,Gas,Y,N,Y,N,Y,11,
A,"USA, Gulf of Mexico",USA,High Island - 105,High Island 105,High Island 105,Samedan,Removed,Steel jacket,1986,Production/Drilling,Gas,Y,N,Y,N,Y,14,
A-AUX,"USA, Gulf of Mexico",USA,High Island - 108,High Island 108,High Island 108,IP Petroleum,Removed,Unknown Fixed,1996,,,,,,,,15,Sever w/abrasive cutting
CLIFFS 14,"USA, Gulf of Mexico",USA,High Island - 108,High Island 108,High Island 108,IP Petroleum,Removed,Jackup,1996,Production,Oil & Gas,,,,,,15,"MOPU ""Cliffs Drilling No. 14""."
B,"USA, Gulf of Mexico",USA,High Island - 110,High Island 110,High Island 110,Chevron,Installed,Steel jacket,1977,Production/Drilling,Gas,Y,N,Y,N,Y,14,
2,"USA, Gulf of Mexico",USA,High Island - 138,High Island 111,High Island 111,Merit Energy,Installed,Unknown Fixed,1990,,,,,,,,15,
A,"USA, Gulf of Mexico",USA,High Island - 110,High Island 111,High Island 111,W & T Offshore,Installed,Steel jacket,1975,Production/Drilling,Gas,,,,,,7,
#3,"USA, Gulf of Mexico",USA,High Island - 115,High Island 115,High Island 115,Merit Energy,Removed,Unknown Fixed,2001,,,,,,,,14,813
B,"USA, Gulf of Mexico",USA,High Island - 115,High Island 115,High Island 115,El Paso,Installed,Steel jacket,2003,Production,,Y,N,N,N,N,13,
A,"USA, Gulf of Mexico",USA,High Island - 116,High Island 116,High Island 116,Vastar (A),Installed,Steel jacket,1985,Production/Drilling,Gas,Y,N,Y,N,Y,13,
B,"USA, Gulf of Mexico",USA,High Island - 116,High Island 116,High Island 116,Vastar (A),Installed,Steel jacket,1994,Production/Drilling,,Y,N,Y,N,Y,14,Jacket set 12/93. Deck set 1/94. (Formerly operated by ARCO)
B,"USA, Gulf of Mexico",USA,High Island - 116,High Island 116,High Island 116,El Paso,Installed,Caisson,1996,Production,Gas,Y,N,N,N,N,14,
CAIS #2,"USA, Gulf of Mexico",USA,High Island - 116,High Island 116,High Island 116,Forest Oil,Installed,Unknown Fixed,1999,,,,,,,,14,
A,"USA, Gulf of Mexico",USA,High Island - 119,High Island 119,High Island 119,WESTPORT RESOURCES,Installed,Steel jacket,2004,Production,,Y,N,N,N,N,15,
JC,"USA, Gulf of Mexico",USA,High Island - 119,High Island 119,High Island 119,Shell,Removed,Steel jacket,1997,Production,Gas,Y,N,N,N,N,15,
A,"USA, Gulf of Mexico",USA,High Island - 120,High Island 120,High Island 120,Devon Energy,Installed,Steel jacket,1988,Production/Drilling,Gas,Y,N,Y,N,Y,15,
A,"USA, Gulf of Mexico",USA,High Island - 128,High Island 128,High Island 128,Chevron,Installed,Steel jacket,1988,Production/Drilling,,Y,N,Y,N,Y,15,Jacket and deck set 4/88. (Formerly operated by Tenneco)
A,"USA, Gulf of Mexico",USA,High Island - 128,High Island 128,High Island 128,Millennium Offshore Inc,Installed,Steel jacket,1987,Production/Drilling,Gas,,,,,,15,
1,"USA, Gulf of Mexico",USA,High Island - 130,High Island 129,High Island 129,ExxonMobil,Removed,Steel jacket,1988,Production,Gas,,,,,,16,
12,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Anadarko,Removed,Steel jacket,1988,Production,Gas,,,,,,15,
19,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Helis Oil & Gas,Removed,Caisson,2004,Wellhead,,,,,,N,15,"1,566"
2,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Anadarko,Removed,Steel jacket,1970,Production,Gas,,,,,,12,
20,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Helis Oil & Gas,Removed,Caisson,2005,Wellhead,Gas,,,,,,15,"1,743"
3,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Anadarko,Removed,Steel jacket,1971,Production,Gas,,,,,,15,
4,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Anadarko,Removed,Steel jacket,1973,Production,Gas,,,,,,12,
5,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Anadarko,Installed,Steel jacket,1976,Production/Drilling,Gas,,,,,,15,
5/6,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Devon Energy,Installed,Steel jacket,1984,Production,Gas,Y,N,N,N,N,15,
5/CF,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Devon Energy,Installed,Steel jacket,1976,Production/Drilling,,Y,N,Y,N,Y,15,Jacket and deck set 1Q/76. (Oryx Energy formerly Sun E&P)
7,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Anadarko,Removed,Steel jacket,1981,Production,Gas,Y,N,N,N,N,15,Jacket and deck set 1981. (Oryx Energy formerly Sun E&P) SEVER WITH EXPLOSIVES.
9,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Devon Energy,Removed,Steel jacket,1984,Production,Gas,Y,N,,N,N,15,
CPF,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Anadarko,Installed,Unknown Fixed,1976,,Gas,,,,,,15,
No 12,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,High Island 129,Anadarko,Removed,Steel jacket,1988,Production,,Y,N,N,N,N,15,Jacket and deck set 6/88. (Oryx Energy formerly Sun E&P)
1,"USA, Gulf of Mexico",USA,High Island - 129,High Island 129,"High Island 129, Apache 2013 Phase II removals",Anadarko,Scheduled for removal,Steel jacket,1968,Production,Gas,,,,,,12,
#1,"USA, Gulf of Mexico",USA,High Island - 130,High Island 130,High Island 130,ExxonMobil,Installed,Steel jacket,1988,Production,,Y,N,N,N,N,16,Jacket and deck set 7/88.
A,"USA, Gulf of Mexico",USA,High Island - 130,High Island 130,High Island 130,ExxonMobil,Removed,Steel jacket,1985,Production/Drilling,,Y,N,Y,N,Y,15,Jacket and deck set 5/85. OPERATOR PROPOSES TO REMOVE STRUCTURE MECHANICALLY.
B,"USA, Gulf of Mexico",USA,High Island - 131,High Island 131,"High Island 131 Removal, High Island 131",McMoRan,Removed,Caisson,2006,Production,Gas,Y,N,,N,N,14,
A,"USA, Gulf of Mexico",USA,High Island - 133,High Island 133,High Island 133,SPN,Removed,Unknown Fixed,1999,,,,,,,,16,Proposed explosive removal
A,"USA, Gulf of Mexico",USA,High Island - 134,High Island 134,High Island 134,ConocoPhillips,Removed,Steel jacket,1988,Production,,Y,N,,N,N,15,Jacket and deck set 9/87.
B,"USA, Gulf of Mexico",USA,High Island - 134,High Island 134,High Island 134,SPN,Removed,Unknown Fixed,1999,,Gas,,,,,,15,Proposed explosive removal
A,"USA, Gulf of Mexico",USA,High Island - 138,High Island 138,High Island 138,Merit Energy,Removed,Steel jacket,1991,Production/Drilling,Gas,Y,N,Y,N,Y,15,
C,"USA, Gulf of Mexico",USA,High Island - 138,High Island 138,High Island 138,Chevron,Removed,Steel jacket,1982,Production/Drilling,Gas,Y,N,Y,N,Y,15,Jacket and deck set 3/82. (Formerly operated by Conoco) J RAY MCDERMOTT = SUBCONTRACTOR.
A,"USA, Gulf of Mexico",USA,High Island - 138,High Island 138,High Island 138 Phase II,LLOG,Installed,Unknown Fixed,2008,Production,,,,,,,16,
A,"USA, Gulf of Mexico",USA,High Island - 139,High Island 139,High Island 139,ExxonMobil,Removed,Steel jacket,1980,Production/Drilling,Oil & Gas,Y,N,Y,N,Y,16,Jacket and deck set 1980. REMOVED WITH EXPLOSIVES.
7,"USA, Gulf of Mexico",USA,High Island - 140,High Island 140,High Island 140,Nippon Oil,Installed,Unknown Fixed,1981,,,,,,,,16,
8,"USA, Gulf of Mexico",USA,High Island - 140,High Island 140,High Island 140,Nippon Oil,Removed,Steel jacket,1982,Production,,,,,,,16,Proposed explosive removal.
A,"USA, Gulf of Mexico",USA,High Island - 140,High Island 140,High Island 140,Devon Energy,Installed,Steel jacket,1963,Production/Drilling,Gas,,,,,,16,
