FieldsBase Awarded Contract Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:52 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract type,Work scope,Value (mil usd),Contractor,Contractor bids,Award date,Start date,End date,Duration (month),Remark
Northwest Europe,Norway,30/7,Martin Linge (ex-Hild),Martin Linge Phase I (ex-Hild),Total,Construction/Fabrication,Living Quarters Module,,Apply Leirvik,,1 Feb 2013,1 Feb 2013,20 May 2016,39.5,"2/13: 95 cabins over 7 floors and  3,700 sq meters. To be delivered in Q2 2016."
Northwest Europe,Norway,,Martin Linge (ex-Hild),Martin Linge Phase I (ex-Hild),Total,EPC,Subsea structures,,Agility Group,,4 Jun 2013,4 Jun 2013,30 Jun 2014,12.8,
Northwest Europe,Norway,,Martin Linge (ex-Hild),Martin Linge Phase I (ex-Hild),Total,Engineering,FSO conversion design,,ICE,,9 Sep 2013,7 Mar 2014,21 Nov 2016,32.5,"05/14: Contract for the design the conversion of the North Sea shuttle tanker “MT Hanne Knutsen” into the floating storage and offloading (“FSO”) vessel for the Martin Linge oil field on the Norwegian Continental Shelf. The design work actually started last year, under a Letter of Intent arrangement. Total E&P Norge AS, the operator of the field, awarded the prestigious FSO contract to KNOT following a competitive FEED study. ICE acted as KNOT’s technical consultant during the FEED study, with Ramboll providing process engineering expertise as a subcontractor to ICE."
Northwest Europe,Norway,30/7,Martin Linge (ex-Hild),Martin Linge Phase I (ex-Hild),Total,Installation,Jacket transport and installation,,Heerema,,23 Jan 2013,2 Jun 2014,1 Sep 2014,3.0,
Northwest Europe,Norway,,Martin Linge (ex-Hild),Martin Linge Phase I (ex-Hild),Total,Installation,Unknown workscope,,Havila,,,8 Sep 2014,30 Sep 2014,0.7,
Northwest Europe,Norway,30/7,Martin Linge (ex-Hild),Martin Linge Phase I (ex-Hild),Total,Installation,Installation of subsea cable,,EMAS AMC,EMAS AMC,6 Aug 2014,1 Apr 2015,30 Jun 2015,3.0,"08/14: Emas AMC has been awarded a contract by ABB for the installation of a 162km subsea cable for Total’s Martin Linge development, offshore Norway. The contractor will carry out work to lay the high-voltage power line from Kollsnes, Norway, to Martin Linge in the second quarter of 2015."
Northwest Europe,Norway,,Marulk,Marulk,Eni,Construction/Fabrication,Template/manifold,,Grenland,,9 Mar 2010,14 Jun 2010,,,Greenland Group will fabricate the 340t template/manifold under frame agreement
Northwest Europe,Norway,6507/1,Marulk,Marulk,Eni,EPC,Subsea equipment,62,FMC,,9 Mar 2010,15 Jun 2010,,,"FMC awarded contract by Statoil (partner of Eni on field).
Scope of supply includes the manufacture of two subsea trees, one manifold, one template, subsea control modules and associated topside controls and connection equipment. Greenland Group will fabricate the 340t template/manifold under frame agreement"
Northwest Europe,Norway,"6507/1, 6608/10",Marulk (+ Norne),Marulk,Eni,EPIC,Pipelines,37,Technip,,19 May 2010,15 Jun 2010,2 May 2011,10.5,Technip awarded EPIC contract for the pipe-in-pipe flowline by Statoil on behalf of operator Eni. The 30.5km PIP system will be fabricated at spoolbase at Orkanger
Northwest Europe,Norway,,Marulk,Marulk,Eni,Installation,Tie-ins,19,Aker Solutions,,31 Aug 2010,31 Aug 2010,,,
Northwest Europe,Norway,,Marulk,Marulk,Eni,EPC,Umbilical,14,Nexans,,18 Nov 2010,18 Nov 2010,4 Apr 2011,4.5,
Northwest Europe,Norway,,Marulk,Marulk,Statoil,Support,Support and Survey,,Deepocean,,23 Dec 2010,1 Feb 2011,,,"01/11: Awarded to DeepOcean by Statoil.

Award is for 3 months with 3 monthly options."
Northwest Europe,Norway,6407/6,Mikkel Sor,Mikkel Sor,Statoil,EPC,subsea trees,,,,5 Mar 2012,26 Mar 2012,,,
Northwest Europe,Norway,6407/6,Mikkel Sor (+ Mikkel),Mikkel Sor,Statoil,EPIC,Flowlines and umbilicals,,,,5 Mar 2012,26 Mar 2012,,,
Northwest Europe,Norway,,Morvin,Morvin,Statoil,EPC,,181,Aker Kvaerner,,3 Dec 2007,,,,"12/07: StatoilHydro has awarded a NOK 1 billion EPC contract to Aker Kvaerner Subsea for a subsea production system to be utilised on the Morvin field in the Norwegian Sea.  Morvin will be developed as a 20km subsea tieback to the Aasgard B platform, with two four-slot manifolds, three horizontal subsea trees, a production control system, steel tube umbilicals, tie-in system and intervention tools. The production system to be used on the high pressure, high temperature field will be based on technology developed for the Kristin field development, and will be capable of handling pressures up to 15,000psi and temperatures up to 170 degrees Celsius. Contract documents are expected to be signed by Aker Kvaerner Subsea and StatoilHydro in December 2007, with final delivery of the production system due in May 2009. StatoilHydro intends to submit a PDO for Morvin in February 2008."
Northwest Europe,Norway,6506/11,Morvin,Morvin,Statoil,Installation,Installation of 2 templates,,Saipem,Saipem,28 Mar 2008,16 May 2008,31 Dec 2008,7.5,
Northwest Europe,Norway,,Morvin,Morvin,Statoil,Installation,"Morvin- Riser, umbilical and heating installation",,Acergy,Acergy,28 Mar 2008,25 Jun 2008,12 Aug 2008,1.6,"04/08: Installation of flexible riser, a diect electrical heating riser, a dynamical umbilical at Aasgard B and two static umbilicals from Morvin to Aasgard."
Northwest Europe,Norway,,Morvin,Morvin,Statoil,Support,Construction support Morvin,4,DOF Subsea,,5 Oct 2009,6 Oct 2009,7 Dec 2009,2.0,Call-off contract for construction support utilising Skandi Bergen.
Northwest Europe,Norway,6407/7,Njord,Njord,Statoil,EPIC,Upgrade to Njord Bravo,,Bergen Group BMV,,15 Aug 2012,27 Aug 2012,12 May 2014,20.4,
Northwest Europe,Norway,6407/7,Njord (+ Norne),Njord,Statoil,Installation,Change out of FPSO moorings,,DOF Subsea,,21 Feb 2013,15 Jul 2013,2 Sep 2013,1.6,The  contract will involve changing out mooring segments on the Njord B FSU  and Norne FPSO installations
Northwest Europe,Norway,6608/10,Norne,Norne,Statoil,EPC,,87,FMC,,9 Jul 2008,,,,
Northwest Europe,Norway,6608/10,Norne,Norne,Statoil,EPIC,"Riser fabrication, removal & replacement",,Technip,,14 May 2013,14 May 2013,15 Oct 2014,17.0,"Engineering and fabrication of two flexible smoothbore gas export risers, marine operations to remove one existing roughbore riser connecting the Norne floating production storage and offloading (FPSO) unit with the gas export pipeline, and replace it with one of the new flexible smoothbore risers. The contract also covers the provision of the second flexible smoothbore gas export riser on a reel to Statoil as a spare for future use. Scheduled for completion in the second half of 2014."
Northwest Europe,Norway,6608/10,Norne,Norne,Statoil,Installation,,,Saipem,,,24 Apr 2014,30 Apr 2014,0.2,
Northwest Europe,Norway,6608/10,Norne,Norne M,Statoil,EPIC,Topsides Modifications,10,Aker Solutions,,30 Jun 2008,30 Jun 2008,30 Nov 2009,17.0,07/08: Aker Solutions has been awarded a NOK 50 million contract with StatoilHydro for work on its Norne M project.  The EPIC contract will include topside modifications for the tie-in of the M-template to the Norne FPSO. A new subsea template will be installed in the south sector of the Norne reservoir to increase production. The template will be connected both to the existing subsea infrastructure and to the Norne facility through a dedicated flowline and production riser. Aker Solutions' contract will cover execution of all topside modification work at the Norne FPSO to facilitate tie-in of the new production riser. Design and procurement work has started and fabrication work will begin in January 2009. Offshore installation will start early in 2009 with project completion and start-up due in November 2009. The Norne FPSO is one of the facilities included in the long term maintenance and modification contract with StatoilHydro in the Halten-Nordland area.
Northwest Europe,Norway,,Offshore Norway,Offshore Norway,Statoil,Installation,SURF replacement and installation,55,Ocean Installer,,3 Sep 2013,3 Sep 2013,1 Sep 2016,35.9,"9/13: The value is approximately USD 55 million, with options of approximately USD 95 million. The work scope comprises marine operations for replacement and installation of flexible risers, flowlines, jumpers, subsea structures and umbilicals, including all associated tie-in activities. Offshore operations will take place during the summer seasons of 2014, 2015, 2016 and potentially 2017, using Normand Vision, with the possibility of a light construction support vessel also being employed for this contract."
Northwest Europe,Norway,,Offshore Norway,Offshore Norway,Statoil,Installation,SURF removal and replacement,,Subsea 7,,4 Sep 2013,1 Jan 2014,31 Dec 2016,35.9,"09/13: The USD 140 million contract is for the removal and replacement of risers, flowlines and associated subsea structures on various fields in Norway. A variety of Subsea 7 vessels will be utilized for the work which is expected to commence in 2014 and run until 2017."
Northwest Europe,Norway,,Offshore Norway,Offshore Norway,Statoil,Construction/Fabrication,Fabricate and supply flexible risers,,Technip,,24 Sep 2013,12 Feb 2014,12 Feb 2016,23.9,09/13: Technip to fabricate and supply flexible risers for several of Statoil's fields on the Norwegian Continental Shelf. The contract also includes options for further risers and flowlines.The flexible pipes will be used to renew the flexible pipe based infrastructure on Statoil's operated fields. Scheduled to be completed between 2014 and 2016 with options in 2017.
Northwest Europe,Norway,6305/05,Ormen Lange (+ Draugen),Ormen Lange Phase I,Shell,Support,Various Shell fields offshore Norway,,Swire Pacific Offshore,,,25 Jun 2014,17 Oct 2014,3.7,
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase III-North,Shell,EPC,"1 eight slot manifold, 4 PLEMS & control systems",95,FMC,,16 Dec 2010,16 Dec 2010,9 May 2011,4.7,
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase III-North,Shell,Construction/Fabrication,Eight slot manifold and foundation base structure,25,Grenland,,15 Mar 2011,15 Mar 2011,,,
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase III-North,Shell,EPIC,Pipeline installation,,Subsea 7,,18 Apr 2011,18 Apr 2011,1 Oct 2012,17.4,"4/11: Installation of two 12-in prod pipelines, a 6-in service line and an umbilical will take place in 2012"
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase III-North,Shell,EPC,Infield umbilical fabrication,7,Nexans,,5 May 2011,5 May 2011,21 May 2012,12.5,
Northwest Europe,Norway,6305/05,Ormen Lange,Ormen Lange Phase III-North,Shell,Installation,Infield umbilical pipelay,,Ocean Installer,,21 Nov 2011,25 Jun 2012,,,
Northwest Europe,Norway,30/6,Oseberg,Oseberg C (North),Statoil,EPIC,Accomodation module,25,Aibel,,11 Jul 2014,1 Aug 2014,,,"Statoil has awarded Aibel the contract for the hook-up of living quarters to the Oseberg C platform. The project, called the Oseberg C Continuous Drilling (LQ Extension) is an EPCI contract that involves full responsibility for engineering, procurement, construction and installation. The new module will be connected to the existing living quarters on the Oseberg C platform and will mean 30 additional cabins offshore. The main task for Aibel will be the preparation and hook-up of the new module. In addition, Aibel will have overall responsibility for the interface of the project. Prefabrication will be performed in Haugesund. Work will start on 1 August and the connection is scheduled for spring 2016."
Northwest Europe,Norway,30/9,Oseberg (+ Aasgard),Oseberg Delta 2,Statoil,EPC,static & dynamic umbilicals manufacture,,Nexans,,12 Dec 2012,,,,12/12: Nexans has been awarded a USD 58 million contract to supply static and dynamic umbilicals for three of Statoil’s fast-track projects on the Norwegian Continental Shelf.
Northwest Europe,Norway,30/9,Oseberg,Oseberg Delta 2,Statoil,EPC,Trees EPC,,FMC,,12 Dec 2012,12 Dec 2012,29 Sep 2014,21.5,
Northwest Europe,Norway,30/9,Oseberg,Oseberg Delta 2,Statoil,EPIC,Pipeline EPIC,160,Subsea 7,"Cecon, EMAS AMC, Subsea 7, Technip",21 Jan 2013,21 Jan 2013,30 Jun 2014,17.2,"02/13: Award includes fabrication and installation of two rigid pipelines, two flexible gas injection lines, installation of two umbilicals and manifolds installation and tie-in work. 
02/13: Award is thought to have gone to either Technip or SS7.
Award has been made, Cecon not successful but currently unclear who has been awarded this. 
ITTs to be issued on September 17"
Northwest Europe,Norway,,Oseberg,Oseberg Future Development,Statoil,Engineering,Concept Study - Slim legs plat.,,Kvaerner,,1 Aug 2014,1 Aug 2014,31 Dec 2014,5.0,
Northwest Europe,Norway,1/3,Oselvar,Oselvar,DONG,EPC,"Subsea equiment (trees, ppl & umb)",56,Aker Solutions,Aker Solutions,11 Jun 2009,,,,"4 slot template + 3 trees, control system and 28 km steel umbilical. Contract is 350 million NOK"
Northwest Europe,Norway,1/3,Oselvar (+ Ula),Oselvar,DONG,EPIC,pnp flowline umb tie-ins,66,Technip,,23 Sep 2009,23 Sep 2009,23 Sep 2011,23.9,"Contract covers turnkey delivery of an approximately 27 kilometer-long pipe-in-pipe flowline(2), installation of an umbilical(3) and subsea equipment and tie-ins."
Northwest Europe,Norway,6707/10,Aasta Hansteen (ex-Luva) (+ Gina Krog/Eirin),Polarled (Norwegian Sea Gas Infrastructure),Statoil,Engineering,Pipeline design,,Ramboll Group,,9 Jan 2013,,9 Jan 2017,,"Detailed design contract for the 36inch Polarled pipeline which will be installed at a water depth of 1.3km, awarded to Ramboll. Also detailed design for the 30km 18inch Kristin Gas Export pipeline connecting to the Polarled pipeline."
Northwest Europe,Norway,6707/10,Aasta Hansteen (ex-Luva),Polarled (Norwegian Sea Gas Infrastructure),Statoil,Construction/Fabrication,Pipeline fabrication,360,Marubeni Itochu/JFE,,18 Feb 2013,18 Feb 2013,23 Feb 2015,24.1,Pipeline fabrication contract awarded to Marubeni Itochu/JFE.
Northwest Europe,Norway,6707/10,Aasta Hansteen (ex-Luva),Polarled (Norwegian Sea Gas Infrastructure),Statoil,EPC,Subsea structures and tie-ins,65,Kongsberg (Maritime),,12 Aug 2013,12 Aug 2013,12 Aug 2016,35.9,"Delivery of subsea structures, in-line tees, tie-in and connection systems for the Polarled gas pipeline, including the branch pipeline to the Kristin field. Fabrication will be sub-contracted to companies in the UK and Norway."
Northwest Europe,Norway,6707/10,Aasta Hansteen (ex-Luva) (+ Gina Krog/Eirin),Polarled (Norwegian Sea Gas Infrastructure),Statoil,Installation,Pipeline installation,,Allseas,"Allseas, Saipem",4 Feb 2013,15 Jun 2015,28 Sep 2015,3.4,02/13: Award is understood to have gone to Allseas.
Northwest Europe,Norway,34/10,Rimfaks Valley (+ Gullfaks),Rimfaks Valley (Rutil/Opal),Statoil,Construction/Fabrication,9km of static umbilicals,11,Nexans,,20 Sep 2013,,,,"09/13: The EUR 8 million (USD 10.8 million) contract covers the manufacture of 9km of static umbilicals to be deployed in around 137 msw (450 fsw) to provide the subsea tie-back between the Rutil and Opal gas discoveries and the existing Gullfaks A platform. The umbilicals will be manufactured at Nexans’ specialised facility in Halden, Norway."
Northwest Europe,Norway,34/10,Rimfaks Valley,Rimfaks Valley (Rutil/Opal),Statoil,EPIC,Gullfaks A topside modifications,110,Agility Group,,23 Jul 2013,23 Jul 2013,1 Nov 2014,15.3,"Engineering, procurement, construction and commissioning for the topside modifications of the Gullfaks A platform prior to the tie-in of the Ruril and Opal fields"
Northwest Europe,Norway,34/10,Rimfaks Valley,Rimfaks Valley (Rutil/Opal),Statoil,EPC,"Subsea Equipment (trees, wellheads, manifold)",90,FMC,,5 Sep 2013,5 Sep 2013,5 Sep 2014,12.0,"09/13: FMC receives order for supply of subsea trees, wellheads, a manifold, control systems integration and other associated equipment. Order value = USD 90 million."
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Engineering/Procurement,FPSO Topside Engineering,,Aker Solutions,,26 Sep 2007,,,,Aker Kvaerner awarded EPcma contract
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Construction/Fabrication,,28,Duco,,6 Sep 2008,,,,09/08: fabricate six static umbilicals with a combined length of 23.1km
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,EPC,heating system,14,Nexans,,15 Jan 2009,,,,2/09 for electric heating system for the 12in. production line
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,EPIC,Flowlines and umbilicals,140,Subsea 7,,3 Dec 2007,1 Jan 2009,31 Dec 2011,35.9,
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Installation,"Skarv, riser and umbilcals",60,Acergy,"Acergy, Subsea 7, Technip",28 Aug 2008,6 Aug 2010,29 Aug 2010,0.8,"10/08 install 10 flexible risers, 2 umbilicals, and direct heating cable"
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Installation,subsea structure installation,,Fred Olsen Energy,,1 Sep 2010,1 Sep 2010,,,Borgland Dolphin
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Installation,Skarv FPSO Tow & Installation,55,Aker Marine Contractors,,19 Dec 2007,25 Jul 2011,12 Aug 2011,0.6,"BP has awarded Aker Kvaerner a NOK 300 million contract for tow and installation of the Skarv FPSO.  Aker Kvaerner's workscope includes pre-installation of the 15-leg mooring system, tow from Samsung Heavy Industries in South Korea to Norway, transportation and installation of the FPSO. The work will be carried out by Aker Kvaerner subsidiary Aker Marine Contractors. Aker Marine Contractors will use the newly-built vessel Boa Sub C for mooring pre-installation, which will take place in 2010. Transportation and installation of the complete FPSO will take place in 2011. Planning and engineering for the work will start in January 2008."
Northwest Europe,Norway,6507/5,Skarv Idun,Skarv Phase I,BP,Installation,Tree and subsea installation,,Island Offshore,,6 Feb 2012,10 Jun 2012,20 Dec 2013,18.3,
Northwest Europe,Norway,6608/10,Skuld (Fossekall-Dompap),Skuld (Fossekall-Dompap),Statoil,EPC,Subsea production system,179,Aker Solutions,,30 Mar 2011,,,,"Scope of work will include three template-manifold structures, 11 subsea trees, a control system and a tie-in system. The contract also contains several options for other field developments on the Norwegian continental shelf, which Statoil may exercise."
Northwest Europe,Norway,6608/10,Skuld (Fossekall-Dompap) (+ Norne),Skuld (Fossekall-Dompap),Statoil,EPC,Supply of Umbilicals,36,Aker Solutions,,22 Mar 2011,23 Mar 2011,15 May 2012,13.7,Fabrication of 26km of umbilicals. Final deliveries will be made in the second quarter of 2012.
Northwest Europe,Norway,6608/10,Skuld (Fossekall-Dompap) (+ Norne),Skuld (Fossekall-Dompap),Statoil,EPC,Direct Electrical Heating (DEH) system for flowlines,30,Nexans,,3 May 2011,3 May 2011,16 Apr 2012,11.4,System will consist of multi-core cables. This includes riser cable and 25km piggyback cable.
Northwest Europe,Norway,6608/10,Skuld (Fossekall-Dompap) (+ Norne),Skuld (Fossekall-Dompap),Statoil,EPIC,Flowline supply and flwline/umb installation,,Subsea 7,,6 May 2011,9 May 2011,,,
Northwest Europe,Norway,6506/12,Smoerbukk North East (+ Aasgard),Smoerbukk Northeast,Statoil,Construction/Fabrication,Umbilical supply,,Parker Hannifin,,22 Nov 2010,22 Nov 2010,30 Jun 2011,7.2,
Northwest Europe,Norway,,Aasgard,Smorbukk South Extension,Statoil,EPC,EPC trees,96,FMC,,3 Apr 2013,3 Apr 2013,10 Dec 2014,20.2,"04/13: FMC is to deliver the subsea trees, wellheads, a manifold and control systems as well as other associated equipment."
Northwest Europe,Norway,,Aasgard,Smorbukk South Extension,Statoil,EPIC,SURF EPIC,75,EMAS AMC,,2 May 2013,2 May 2014,24 Aug 2015,15.7,"Engineering, Procurement, Construction and Installation of flexible flowlines, tie-in spools, manifold and umbilical as well as associated abandonment and removal activities. Offshore activities will commence in Q2 2014 and the project is expected to last through 2015."
Northwest Europe,Norway,7121/4a,Snoehvit,Snoehvit CO2 well,Statoil,EPC,subsea tree,147,GE Oil & Gas,,19 Jun 2013,19 Jun 2013,30 Jun 2013,0.4,GE has been awarded the supply of the subsea production system and injection equipment to be delivered by the second quarter of 2015.
Northwest Europe,Norway,7121/4a,Snoehvit,Snoehvit CO2 well,Statoil,EPIC,Flowline & umbilical,,Technip,,26 Jun 2013,26 Jun 2013,26 Jun 2015,23.9,"06/13:This contract covers:	
- fabrication and installation of flowlines, including two 5-kilometer 13% chrome stainless steel production flowline and a 5-kilometer CO2 injection flowline,
- installation and tie-ins of spools, jumpers and umbilicals,
- installation of a new combined production and injection template and manifold."
Northwest Europe,Norway,7121/4a,Snoehvit,Snoehvit Ph I (Snoehvit/Albatross),Statoil,Installation,Installation/survey,,Deepocean,,,1 Mar 2013,1 Sep 2013,6.0,VARIOUS FIELDS. Six-month contract with six months of options. Awarded under DeepOcean's frame agreement with Statoil.
Northwest Europe,Norway,,Snorre,Snorre,Statoil,Construction/Fabrication,Production Risers,40,FMC,,1 Feb 2010,,,,Provide new production risers and tieback connectors for Snorre TLP
Northwest Europe,Norway,34/4,Snorre,Snorre,Statoil,Installation,Installation of PRM system on Snorre,,Deepocean,,12 Dec 2012,1 May 2013,30 Oct 2015,29.9,"Award from Statoil AS for the installation and trenching of a Permanent Reservoir Monitoring (PRM) System on the Snorre oil field in the North Sea, Norwegian Sector. The multi-year project commences in 2013 and consists of the installation and trenching of circa 500km of subsea seismic cables and associated riser in water depths in excess of 300m. Once installed, the large seismic monitoring array will assist Statoil in increasing oil recovery from the Snorre reservoir throughout the field’s life."
Northwest Europe,Norway,,Snorre,Snorre A platform upgrade,Statoil,EPIC,Replace and upgrade drilling equipment,180,Aker Solutions,,28 Feb 2012,28 Feb 2012,25 May 2015,38.8,
Northwest Europe,Norway,,Snorre,Snorre B,Statoil,Installation,Snorre B Riser Replacement,17,Subsea 7,,4 Mar 2009,1 Apr 2009,1 Oct 2009,6.0,
Northwest Europe,Norway,,Snorre,Snorre C,Statoil,Engineering,Concept sutdy,,Ramboll Group,,26 Mar 2012,26 Mar 2012,17 Dec 2012,8.7,
Northwest Europe,Norway,34/7,Snorre,Snorre C,Statoil,FEED,Pre-FEED for Snorre C TLP,,Wood Group,,14 Oct 2014,14 Oct 2014,14 Oct 2015,12.0,"10/14: Wood Group Mustang is performing the Pre-FEED study and is responsible for project management, topsides design, and integration of the hull, drilling and riser facilities. Wood Group Kenny is responsible for engineering of the production, injection and drilling top tensioned risers, the import/export flexible and umbilical systems, and subsea drilling template."
Northwest Europe,Norway,,Statfjord,Statfjord,Statoil,EPIC,EPIC modification work,4,Bergen Group BMV,,31 Jan 2011,1 Feb 2011,27 Aug 2012,18.8,Will be carried out on Statfjord B and C. upgrade of control system for the diesel engines for generators and fire water pumps. Also preparations for and assistance in connection with the systems commissioning.
Northwest Europe,Norway,,Statfjord,Statoil/Shell ROV services,Statoil,Support,ROV Services,,Reef Subsea,,10 Oct 2012,31 Oct 2012,28 Nov 2012,0.9,
Northwest Europe,Norway,30/9,Stjerne (ex Katla),Stjerne (ex Katla),Statoil,EPC,Katla subsea equip.,75,FMC,,22 Sep 2010,,,,"3 trees and a manifold

understood to be an option on the original fast-track project for Pan/Pandora"
Northwest Europe,Norway,30/9,Stjerne (ex Katla),Stjerne (ex Katla),Statoil,Installation,Spoolpieces,,Subsea 7,,2 Jul 2012,,,,Includes installation of spoolpieces.
Northwest Europe,Norway,30/9,Stjerne (ex Katla),Stjerne (ex Katla),Statoil,Construction/Fabrication,Manifold and template,7,Grenland,,12 Nov 2010,,,,"One integrated template structure and one manifold, totalling 350 tonnes"
Northwest Europe,Norway,30/9,Stjerne (ex Katla) (+ Oseberg),Stjerne (ex Katla),Statoil,EPIC,Umbilicals and flowlines,40,Subsea 7,,12 Nov 2010,12 Nov 2010,26 Mar 2012,16.4,two contracts for Katla and Pan/Pandora - combined value of USD 90 million
Northwest Europe,Norway,25/11,Svalin C (ex-Grane-C),Svalin C (ex-Grane C),Statoil,EPC,Subsea trees,67,Aker Solutions,Aker Solutions,30 Jan 2012,29 Dec 2011,30 Sep 2013,21.0,"Scope of work includes two subsea trees, one four-slot integrated template structure with process distribution manifold, subsea and topside production control systems, wellhead systems and remote connection systems"
Northwest Europe,Norway,25/11,Svalin C (ex-Grane-C) (+ Grane),Svalin C (ex-Grane C),Statoil,EPIC,Flowlines & umbilicals,80,Subsea 7,,16 Feb 2012,16 Feb 2012,,,"6km 12-in prod flowline (Cr or clad steel); 6km, 8-in PiP gas injection flowline, tie-ins, 6km umbilical."
Northwest Europe,Norway,25/11,Svalin C (ex-Grane-C) (+ Grane),Svalin C (ex-Grane C),Statoil,EPC,6km umbilical,,Aker Solutions,,23 Apr 2012,23 Apr 2012,13 May 2013,12.6,Sub-contract from Subsea 7
Northwest Europe,Norway,1/3,"Tambar (+ Skarv Idun, Ula, Valhall)",Tambar,BP,Engineering,"engineering, modifications and maintenance",302,Aker Solutions,,28 May 2014,28 May 2014,28 May 2016,24.0,"05/14: Aker awarded frame agreement to provide engineering, modifications and maintentance services for BP-operated fields, Ula, Tambar, Hod, Skarv, Valhall. - as well as preparation work for decommissioning offshore Norway.  Contract is for period of 2 years with options to extend work by as many as 4 years. Valued at a maximum of NOK 1.8 billion."
Northwest Europe,Norway,31/5,Troll East (Gas),TOGI Decommissioning,Statoil,Removal EPIC,Template removal,,Saipem,,,1 Apr 2012,31 Aug 2012,5.0,
Northwest Europe,Norway,,Tommeliten Alpha,Tommeliten Alpha (Huldra Reuse project),ConocoPhillips,FEED,FEED,,Wood Group,,,7 Jan 2013,26 May 2014,16.5,
Northwest Europe,Norway,34/7,Tordis,Tordis Extension 3,Statoil,EPIC,Manifold installation,70,Subsea 7,,15 Apr 2011,18 Apr 2011,31 Aug 2012,16.4,"supply and installation of two 12km, 10-in oil production pipelines between the Tordis manifold and the Gullfaks C platform"
Northwest Europe,Norway,34/7,Tordis,Tordis Flex Jumper Replacement,Statoil,EPIC,,,DOF Subsea,,8 Oct 2012,8 Oct 2012,8 Oct 2013,12.0,10/12: Engineering commencing imminently - offshore installation in summer-2013.
Northwest Europe,Norway,31/2,Troll West (Oil),Troll 2015,Statoil,EPC,Subsea trees and tool package,60,Aker Solutions,,,16 Feb 2012,31 Dec 2015,46.4,"The scope of work includes six subsea trees, with a possible option for nine further subsea trees"
Northwest Europe,Norway,31/2,Troll West (Oil),Troll 2015,Statoil,EPC,3 additional subsea trees (call off contract),44,Aker Solutions,,28 Sep 2012,28 Sep 2012,,,"09/12: Extension to contract awarded in Feb 2012. 3 additional subsea trees, tubing hangers and a tool package to the Troll field on the Norwegian Continental Shelf. Estimated contract value is NOK 250 million."
Northwest Europe,Norway,,Troll East (Gas),Troll A Compressors,Statoil,EPIC,EPIC Modules x 3 Troll A platform,473,Aibel,,19 Sep 2011,19 Sep 2011,31 Aug 2015,47.3,08/14: Contract EPIC for 3 new modules which will expand the gas compression capacity on the Troll A platform. M11 compressor module. M12 electrical module. M13 (auxiliary systems) module.
Northwest Europe,Norway,,Troll East (Gas),Troll A Compressors,Statoil,EPC,Power cable Kollsnes to Troll A,25,ABB,,5 Dec 2011,5 Dec 2011,17 Nov 2014,35.3,"ABB to rpovide 69km of 3-core cables with integrated fibreoptics, accessories and joints. This is expected to be completed in 2014."
Northwest Europe,Norway,,Troll East (Gas),Troll A Compressors,Statoil,Installation,installation of power cables,,EMAS AMC,,7 Sep 2012,5 May 2014,2 Jun 2014,0.9,
Northwest Europe,Norway,,Troll East (Gas),Troll A to Kollsnes pipe (P12),Shell,Installation,Installation on Troll A,,Subsea 7,,,13 Apr 2011,29 Apr 2011,0.5,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll B Gas Injection,Statoil,Construction/Fabrication,Subsea sub-contract,5,Grenland,,2 Mar 2009,,,,Grenland Group. The contract includes fabrication of two integrated satellite structures (ISS) and two flow modules. Delivery is scheduled for 4Q 2010.
Northwest Europe,Norway,31/2,Troll West (Oil),Troll B Gas Injection,Statoil,EPC,Subsea structures,38,FMC,,1 Jul 2008,,,,"two subsea trees and associated flow base systems, wellheads, tubing hangers and related control and communication systems"
Northwest Europe,Norway,31/2,Troll West (Oil),Troll B Gas Injection,Statoil,EPIC,Pipelines & trees installation,100,Subsea 7,,12 Aug 2008,,,,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll O2,Statoil,EPIC,SURF,,Subsea 7,,17 Aug 2008,,,,
Northwest Europe,Norway,31/2,Troll West (Oil),Troll O2,Statoil,EPIC,Subsea trees & template,,FMC,,19 Apr 2007,26 Apr 2007,15 Jun 2009,25.6,
