FieldsBase Awarded Contract Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:52 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract type,Work scope,Value (mil usd),Contractor,Contractor bids,Award date,Start date,End date,Duration (month),Remark
,,,,,Operator Tba,Installation,Transport and Installation - Africa,,EMAS AMC,,5 Aug 2014,3 Nov 2014,,,
,,,,,Husky Energy,Support,ROV Services,,Subsea 7,Subsea 7,3 Mar 2014,1 Jun 2015,,,"Husky is seeking EOIs ROV Services. The primary area for these services is the MODU West Mira which will be used in Husky’s Atlantic
Region drilling and completions operations starting in mid-2015."
,,,,East Area Project (EAP) EPC4A,ExxonMobil,Installation,"Hook up, platform repair and maintenance",,Subsea 7,,12 Nov 2012,12 Nov 2012,,,
,,,,Emirates LNG Terminal,Emirates LNG,Engineering,,,,,1 Jan 2012,1 Jan 2012,1 Jan 2013,12.0,"South Korea's KOGAS provided technical consulting, project philosophies and basis of design preparation, FEED & EPC deliverables reviwe, technical audit and site supervision"
,,,,Fujairah Refinery,IPIC,EPC,EPC,"3,500",,,23 Jun 2014,23 Jun 2014,15 Jun 2016,23.7,"Ecomar Energy Solutions FZC (EES), Fujairah, through a contractor, has let a contract to Cylingas Co. LLC, a subsidiary of Emirates National Oil Co. (ENOC), for a 7,500-b/d modular refinery to be located in Fujairah, UAE"
,,,,Peterhead CCS,Shell,FEED,Subsea and pipeline FEED,,Wood Group,,20 Oct 2014,20 Oct 2014,24 Apr 2015,6.1,"10/14: ). Wood Group will provide front end engineering and design (FEED) for the subsea and pipeline element of the project in Aberdeenshire, UK. Work will be carried out over a six-month period and includes developing a landfall solution at the Peterhead Power Station, design of a new carbon dioxide (CO2) export pipeline from the power station to a subsea tie-in with the existing pipeline at Shell's Goldeneye field, and a new subsea intervention valve (SSIV) including controls system and tie-in spools."
,,,,San Pedro de Marcoris LNG,,FEED,LNG receiving terminal FEED,,Foster Wheeler,,12 Mar 2012,12 Mar 2012,30 Sep 2012,6.6,"Complejo GNL del Este, a Consortium formed by Dominican and Colombian companies awarded contract for the basic design and front-end engineering design for a new LNG receiving terminal and jetty to be built in San Pedro de Marcor¡s in the Dominican Republic."
,,,,Yamal LNG,NOVATEK,EPC,"engineering, procurement, supply, construction & commissioning",,Technip,,3 Apr 2013,3 Apr 2013,3 Apr 2014,12.0,"Technip has been awarded a contract by JSC Yamal LNG (NOVATEK - 80 per cent, Total - 20 per cent) to carry out the engineering, procurement, supply, construction and commissioning of an integrated facility for natural gas liquefaction for the Yamal LNG project in Russia."
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),,Woodside,Support,,,DOF Subsea,,,16 Mar 2008,4 Apr 2008,0.6,"4/08: performing electrical diagnostics and maintenance on the Wanaea, Cossack and Lambert-Hermes fields on behalf of Woodside."
Australia/New Zealand,Australia,,,,Operator Tba,Support,"Bass Strait, Victoria",,DOF Subsea,,,1 Aug 2008,31 Mar 2009,7.9,"1/09: Working in various fields in Bass Strait, Australia."
Australia/New Zealand,Australia,,,,PTTEP,Support,Support Work,,DOF Subsea,,,16 Mar 2009,17 Mar 2009,0.0,3/09: The vessel is on a 2-day assignment off Darwin for PTTEP Australasia
Australia/New Zealand,Australia,,,,Operator Tba,Support,,,DOF Subsea,,,1 Sep 2009,14 Oct 2009,1.4,10/09: Geobay has extended work in the Bass Straits for one more month.
Australia/New Zealand,Australia,WA-255-P,Stybarrow/Eskdale,,BHP Billiton,Support,FPSO MV16 Inspection,,DOF Subsea,,19 Aug 2009,10 Sep 2009,15 Jan 2010,4.2,
Australia/New Zealand,Australia,,,,Woodside,Installation,,,TSMarine,,,17 Oct 2009,5 Nov 2009,0.6,
Australia/New Zealand,Australia,WA-209-P,Caribou/Reindeer/Gnu,,Apache,Installation,Support,,TSMarine,,25 Feb 2010,9 Mar 2010,31 Mar 2010,0.7,
Australia/New Zealand,Australia,,,,Apache,Support,Support,,TSMarine,,25 Feb 2010,20 Apr 2010,20 May 2010,1.0,
Australia/New Zealand,Australia,,,,,Installation,Spar buoy installation,,Clough Offshore,,,25 May 2010,30 Jun 2010,1.2,05/10: on a three-week charter with Dalmarine Pty Ltd to install spar buoys near the Pluto wharf in Dampier
Australia/New Zealand,Australia,,,,,Support,Sat dive services,,DOF Subsea,,,7 Sep 2010,10 Oct 2010,1.1,
Australia/New Zealand,Australia,WA-3-L,Angel,Angel,Woodside,Support,Survey and ROV services,10,Fugro,Fugro,4 Jun 2007,1 Sep 2007,31 Jul 2008,11.0,"Fugro provided survey and ROV services for the Angel substructure and pipelay contract. This includes the provision of two Sealion workclass ROVs for construction support on both DB 30 and the ROVSV Pacific Valhalla. It was a subcontract from Hydro Marine Services (HMS), a subsidiary of J Ray Mcdermott."
Australia/New Zealand,Australia,WA-3-L,Angel (+ North Rankin),Angel,Woodside,Installation,Umbilical Inst.,20,CTC,"100,034,239",10 Dec 2007,1 Feb 2008,30 Apr 2008,2.9,"CTC, a subsidiary of DeepOcean installed 51km of umbilicals."
Australia/New Zealand,Australia,,,Australia Pacific LNG,ConocoPhillips,EPC,,,Bechtel,,,30 Jul 2011,1 May 2015,45.0,
Australia/New Zealand,Australia,WA-356-P,Balnaves,Balnaves,Apache,FEED,FPSO FEED,,Rubicon Offshore,,1 Oct 2010,15 Dec 2010,28 Feb 2011,2.5,02/11: Rubicon Offshore's FPSO FEED will be finalised end-February
Australia/New Zealand,Australia,WA-356-P,Balnaves,Balnaves,Apache,Construction/Fabrication,Umbilical Supply,,Oceaneering,,2 Jul 2012,2 Jul 2012,,,2.7km of static plus a dynamic riser umbilical
Australia/New Zealand,Australia,WA-356-P,Balnaves,Balnaves,Apache,EPIC,Subsea Installation,62,Technip,,10 Jul 2012,10 Jul 2012,,,"07/12: Contract includes project management, design, engineering and installation of flowlines, risers, umbilicals, manifolds, spools, flying leads and jumpers, a mooring system and riser column. Project scheduled for completion in H2 2013."
Australia/New Zealand,Australia,WA-356-P,Balnaves,Balnaves,Apache,EPC,Subsea trees,,VetcoGray,,3 Sep 2012,3 Sep 2012,,,
Australia/New Zealand,Australia,WA-356-P,Balnaves,Balnaves,Apache,Lease,Lease of FPSO,458,Bumi Armada,"Bumi Armada, Rubicon Offshore",30 Sep 2011,30 Jun 2014,30 Jun 2018,47.9,"10/11: The contract term is for an initial four years fixed time charter with four year annual extension options. Refurbishment work has commenced for the Armada Claire FPSO (the former Armada Prima and/or Griffin Venture) to hit the first oil target of first quarter 2014. The unit has been designed with a disconnectable riser turret mooring system for cyclonic weather and to sit in 135 msw (443 fsw). The transport and installation of the riser turret mooring will fall under a separate tender not yet launched and Bumi Armada has disclosed that it is already a qualified bidder. 
12/10: Operator sounded FPSO companies on the lease of an existing FPSO on a fixed four-year contract, with annual extension options. Bumi Armada has Griffin Venture unit to offer and Rubicon has Front Puffin to offer. Sources said Bumi Armada and Rubicon Offshore are now competing directly, and that a design competition will be held to decide who wins the FPSO supply contract."
Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Barrow Island LNG,Chevron,EPIC,Gorgon LNG Jetty and Marine Structures,762,Leighton Contractors,,23 Sep 2010,23 Sep 2010,31 Dec 2013,39.2,"09/13: Current firm period until Dec 2013. Options to extend until April 2014.
9/10: Work scope entails earthworks, concrete and underground services, which includes drainage, piping, electrical and instrumentation cabling within the onshore gas plant. Work has commenced and will likely be completed by June 2013."
Australia/New Zealand,Australia,WA-2-R,Gorgon/Jansz/Io,Barrow Island LNG,Chevron,Construction/Fabrication,process module fabrication,180,COOEC,,10 May 2010,1 Jan 2011,31 Oct 2012,21.9,"11/10 COOEC will provide more than 157 process modules. The work includes project management, shop design, materials procurement, construction, commissioning assistance and load-out."
Australia/New Zealand,Australia,VIC/L26,Basker-Manta-Gummy (BMG),Basker-Manta-Gummy (BMG) Phase IA,Roc Oil,Installation,5.5km of 6-inch flowline tie back to manifold,,TSMarine,,1 Jun 2009,15 Jul 2009,14 Sep 2009,2.0,
Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,Bayu-Undan Phase III,ConocoPhillips,EPC,Subsea Supply,26,FMC,,15 May 2013,15 May 2013,,,"05/13 scope of supply includes subsea trees, wellheads, jumper kits and associated control systems."
Australia/New Zealand,Australia,ZOCA 91-12,Bayu-Undan,Bayu-Undan Phase III,ConocoPhillips,Installation,,,Subsea 7,,1 Jun 2014,1 Sep 2014,15 Sep 2014,0.5,09/14: Pipelay scope by Seven Eagle
Australia/New Zealand,Australia,,Bayu-Undan,Bayu-Undan Survey work,ConocoPhillips,Support,ROV and survey work,,Neptune Marine,,15 Jun 2009,29 Aug 2009,20 Oct 2009,1.7,9/09: It is carrying out ROV and survey work until October 20.
Australia/New Zealand,Australia,WA-279-P,Blacktip,Blacktip,Eni,EPIC,EPIC WH plat/pipelines,,Saipem,Saipem,9 Apr 2007,1 Oct 2008,31 Dec 2008,3.0,Wellhead platform and 108 km of pipeline.
Australia/New Zealand,Australia,WA-279-P,Blacktip,Blacktip,Eni,Support,support work,,DOF Subsea,,19 Dec 2008,18 Mar 2009,30 Apr 2009,1.4,3/09: The vessel is doing support work for the Blacktip project.
Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,Bonaparte LNG,GDF Suez,FEED,Upstream Pre-FEED,,Granherne,,10 Jan 2011,10 Jan 2011,10 Jan 2012,12.0,
Australia/New Zealand,Australia,NT/RL1,Bonaparte LNG,Bonaparte LNG,GDF Suez,FEED,Subsea Pre-FEED (Concept Def Study),,Wood Group,,13 May 2013,13 May 2013,,,"05/13: Contract award announced on May 13, 2013"
Australia/New Zealand,Australia,,Browse LNG,Browse LNG (Onshore),Woodside,FEED,Pre-FEED (central processing facility),,Fluor,,1 Jan 2011,1 Jan 2011,30 Jun 2011,5.9,
Australia/New Zealand,Australia,,Browse LNG,Browse LNG (Onshore),Woodside,Support,Survey Accommodation/Support,,Neptune Marine,,1 Dec 2010,24 Jan 2011,30 Apr 2011,3.1,
Australia/New Zealand,Australia,WA-31-R,Browse LNG,Browse LNG (Onshore),Woodside,FEED,FEED pkg 4: subsea and pipelines,,Wood Group,,14 Apr 2011,1 Feb 2011,30 Apr 2012,14.9,04/11: Commenced 02/11 and will last 12-15 months.
Australia/New Zealand,Australia,,Browse LNG,Browse LNG (Onshore),Woodside,FEED,FEED pkg 5: Onshore facilities,,KBR,,22 Feb 2011,22 Feb 2011,29 Feb 2012,12.2,"02/11: The work scope includes FEED studies for the development of a three four-million tonne per annum LNG trains, associated infrastructure, accommodation and marine facilities. Dual contracting strategy with consortium of Chiyoda, Saipem and CB&I also conducting FEED studies."
Australia/New Zealand,Australia,,Browse LNG,Browse LNG (Onshore),Woodside,FEED,FEED pkg 3: Risers,,"J P Kenny, Inc.",,1 Feb 2011,23 Feb 2011,23 Feb 2012,12.0,"04/11: Wood Group Kenny is participating in this contract through MCS Kenny, and will support Aker Solutions in delivering design and engineering solutions for the steel catenary risers on Browse."
Australia/New Zealand,Australia,WA-31-R,Browse LNG,Browse LNG (Onshore),Woodside,FEED,FEED pkg 1: CPF & Accomm plat,,Fluor,"Aker Solutions, Amec, Fluor, KBR",21 Feb 2011,31 Mar 2011,31 Dec 2011,9.0,"02/11: Scope pertains to a Central Gas Processing and Compression platform & a utilities and accommodation platform. 
03/11: Fluor Offshore Solutions will lead the FEED of two platforms and McDermott will provide the team with design expertise in large jackets and heavy topside float-over installations."
Australia/New Zealand,Australia,,Browse LNG,Browse LNG (Onshore),Woodside,FEED,FEED pkg 2: 2 dry tree units,,Aker Solutions,"600,000,675, Aker Solutions, Floatec, Modec, Technip",13 Apr 2011,13 Apr 2011,31 Aug 2011,4.6,"04/11: Dual FEED contracting strategy with MODEC also selected to perform FEED for two DTUs.

The FEED contract involves Aker Solutions designing two DTUs for the Calliance and Brecknock fields and these will be configured as Tension Leg Platforms (TLPs). The DTUs gather well stream fluids from both subsea and dry-tree wells and then provide phase separation including free water knockout. The gas and condensate from the DTUs is then exported to the Central Processing Facility (CPF) in separate pipelines for further processing."
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,Cash-Maple Development,PTTEP,Engineering,FLNG Pre-FEED,,SBM,,1 Feb 2011,16 May 2011,31 Dec 2011,7.5,07/11: with Linde Engineering. Possibly with EPCI of FLNG vessel included in contract.
Australia/New Zealand,Australia,AC/RL7,Cash-Maple Development,Cash-Maple Development,PTTEP,Engineering,2nd FLNG Pre-FEED,,Hoegh LNG,,1 May 2012,1 Jun 2012,31 Dec 2012,7.0,3/13 w/KBR; SBM/Linde are no longer involved in project
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,Challis and Jabiru decommissioning,PTTEP,Project Management,Subsea facilities removal project mgt,5,AGR Group,,9 Mar 2011,9 Mar 2011,9 Jan 2012,10.0,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,Challis and Jabiru decommissioning,PTTEP,Support,Subsea trees removal,,Greatship,,18 Apr 2011,1 May 2011,18 Jul 2011,2.6,"06/11: Supporting Diamond Offshore's semi Ocean Patriot, which has been chartered for the two-phase subsea decommissioning operations. The initial phase subsea decommissioning that is expected to last 15 days. The rig is committed to a 200-day firm charter for nineteen one-well abandonment operations plus two options, and the exploratory drilling of three wells."
Australia/New Zealand,Australia,WA-28-L,Cimatti,Cimatti,Woodside,Engineering,Conceptual Design/Pre-FEED,,IntecSea,,1 Jan 2012,1 Jan 2012,30 Jun 2013,17.9,04/13: Original dev. concept subsea tie-back to Enfield's FPSO is scrapped. Woodside to consider other alternatives.
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,Coniston-Novara Development,Apache,EPC,Supply of subsea trees,,VetcoGray,,1 Jan 2012,1 Jan 2012,31 Jan 2014,25.0,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara (+ Van Gogh),Coniston-Novara Development,Apache,Installation,T&I for subsea facilities and pipelines,100,EMAS AMC,,29 Feb 2012,1 Apr 2013,31 Dec 2013,9.0,"Worth up to USD 100 million, the work scope includes the transportation and installation of PLEMs (pipeline end manifolds), manifold, umbilicals and flexible flowlines. In addition, Emas AMC will also be responsible for the spool fabrication and the recovery of two existing flow-lines, in approximately 380 msw (1,246 fsw). The base scope of the contract is worth USD 70 million, but there are potential add-ons of up to USD 30 million."
Australia/New Zealand,Australia,AC/L9,Crux,Crux Liquids Project,Nexus Energy,EPC,Flexible f/lines supply,79,Wellstream,,26 Jun 2008,1 Jan 2009,31 Dec 2009,11.9,07/08: Wellstream to supply flexible flowlines and risers.
Australia/New Zealand,Australia,AC/L9,Crux,Crux Liquids Project,Nexus Energy,EPC,,,Cameron,,1 Jan 2009,1 Jan 2009,31 Dec 2009,11.9,
Australia/New Zealand,Australia,AC/L9,Crux,Crux Liquids Project,Nexus Energy,Project Management,Project management,,Wood Group,,6 May 2011,6 May 2011,,,
Australia/New Zealand,Australia,AC/L9,Crux,Crux Liquids Project,Nexus Energy,Engineering,Engineering and strategy review,,J. Ray McDermott,,11 May 2011,11 May 2011,,,
Australia/New Zealand,Australia,AC/L9,Crux,Crux Liquids Project,Nexus Energy,Engineering,Engineering works,,Fluor,,11 May 2011,11 May 2011,,,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),CWLH redevelopment,Woodside,EPC,Cossack Pioneer Replacement,700,Keppel O&M,,1 Dec 2009,1 Dec 2009,31 Mar 2011,15.9,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),CWLH redevelopment,Woodside,Installation,,,Nor Offshore,,26 Jan 2010,1 Nov 2010,24 Dec 2010,1.7,
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),CWLH redevelopment,Woodside,Installation,Installation of 20km of flowlines,,Technip,,26 Jan 2010,22 Dec 2010,,,"01/10: Contract also covers project management, recovery and installation of three risers, riser base rectification works and pre-commissioning assistance."
Australia/New Zealand,Australia,WA-9-L,Cossack Wanaea Lambert Hermes (CWLH),CWLH redevelopment,Woodside,Installation,FPSO Okha and pipelay,,Subsea 7,,,6 Feb 2011,1 Aug 2011,5.8,
Australia/New Zealand,Australia,WA-28-L,Enfield,Enfield,Woodside,Installation,,,TS7,,15 Apr 2007,,,,
