FieldsBase Floating Platform Installation Search - Data Download,,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:03 for Dirk Rook,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Region,Country,Block,Field,Platform name,Project,Operator,Owner,Status,Installation year,Removal year,Type,Function,Production type,Process module,Accommodation module,Drilling module,Utility module,Well head module,Water depth (m),Remark
Indian Ocean,Bangladesh,,,Bangladesh FSRU,Bangladesh FSRU,Petrobangla,,Contracted,2016,,Ship,Floating Storage Regasification Unit,Gas,,,,,,,LNG handling capacity of 500 Mcf/d
Indian Ocean,Bangladesh,,,Bay of Bengal LNG FSO,Bay of Bengal FSO,Petrobangla,,Tendering,2016,,Ship,FSO,Gas,,,,,,,01/11: Pre qual stage
Indian Ocean,India,,,Paradip FSRU,Paradip FSRU,,,Planned,2015,,Ship,Floating Storage Regasification Unit,Gas,,,,,,,Capacity of 4 MMTPA
Indian Ocean,India,,Bombay High North,BW Athena,Mumbai High North,Ithaca Energy,,Removed,2006,2006,Ship,FPSO,Oil & Gas,Y,Y,,Y,N,61,formerly BW Carmen
Indian Ocean,India,Mumbai High,Cluster 7,Armada C7 (ex. Albany),Cluster 7,ONGC,,Contracted,2015,2024,Ship,FPSO,Oil & Gas,,,,,,90,4/14: Vessel used for conversion was MT Albany
Indian Ocean,India,D-1,D-1,Armada Sterling (ex D1),D-1 Expansion (FPSO),ONGC,,Installed,2013,2019,Ship,FPSO,Oil & Gas,Y,,,,,85,
Indian Ocean,India,D-18,D-18,D-18 FSO,D-18,ONGC,,Installed,1989,,Ship,FSO,,,Y,,,,91,
Indian Ocean,India,KG-DWN-98/3 (KG-D6),Dhirubhai-26 (MA),Dhirubhai-1,MA (D26) Phase II,Reliance,,Installed,2008,2018,Ship,FPSO,Oil & Gas,Y,Y,,Y,,"1,200",
Indian Ocean,India,Godavari PML,GS-29,GS-29 FPSO,GS-29,ONGC,,Planned,2017,,Ship,FPSO,Oil,Y,,,Y,,122,
Indian Ocean,India,,Krishna,Krisna FSO,Krishna,Maxus,,Installed,1983,,Ship,FSO,,,Y,,,,40,
Indian Ocean,India,Mumbai High,Mumbai High,Bombay FSO,Mumbai High 1976,ONGC,,Installed,1983,,Ship,FSO,,,Y,,,,73,
Indian Ocean,India,Godavari PML,Northern Development Area (NDA),Krishna FPSO,Northern Discovery Area (NDA),,,Planned,2018,,Ship,FPSO,Oil & Gas,,,,,,225,
Indian Ocean,India,Panna,Panna,Panna FSO,Panna,BG,,Installed,1985,,Ship,FSO,,,Y,,,,44,
Indian Ocean,India,CY-OS-90/1 (PY-3),PY-3,FPU Tahara,PY-3,Hardy,,Removed,1997,2012,Semi,Other,Oil & Gas,Y,Y,N,Y,Y,135,
