FieldsBase Pipeline Search - Data Download,,,,,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:14 for Dirk Rook,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,
Start region,End region,Start country,End country,Start block,End block,Start field,End field,Start water depth (m),End water depth (m),Project,Operator,Status,Type,Function,Product,Diameter (inch),Length (km),Installation year,Remark
,Mediterranean/Black Sea,,Italy,,,,Barbara,,70,Barbara,Eni,Installed,Umbilical,Production,Chemical,,,1979,
,South America,,Brazil,,,,,,,Barracuda Subsea Multiphase Pump,Petrobras,Installed,Umbilical,,,2,15,2011,
,South America,,Brazil,,,,,"1,200","1,200",Barracuda-Caratinga,Petrobras,Installed,Umbilical,,,,27,2004,
,South America,,Brazil,,,,,"1,200",,Barracuda-Caratinga,Petrobras,Installed,Umbilical,,,,33,2004,
,Australia/New Zealand,,Australia,,VIC/L26,,Basker-Manta-Gummy (BMG),200,200,Basker-Manta-Gummy (BMG) Phase I,"Roc Oil, Cooper Energy, Anzon",Installed,Umbilical,Production,,2,20,2006,
,Australia/New Zealand,,Australia,,,,,120,120,Basker-Manta-Gummy (BMG) Phase IB,"Roc Oil, Cooper Energy",Installed,Umbilical,,,2,10,2009,
,Australia/New Zealand,,Australia,,VIC/L26,,Basker-Manta-Gummy (BMG),120,125,Basker-Manta-Gummy (BMG) Phase II,"Roc Oil, Cooper Energy",Cancelled,Umbilical,,,2,0,2015,
,,,,,,,,17,0,Bay of Campeche - CALM Buoy,CFE Engineers,Installed,Exportline,Production,Fuel,30,3,1994,
,,,,,,,,17,0,Bay of Campeche - CALM Buoy,CFE Engineers,Installed,Flowline,Production,Fuel,8,3,1994,
,,,,,,,,46,46,Bay of Campeche Area,Pemex,Installed,Exportline,Production,Oil,8,35,1992,
,,,,,,,,30,,Bay of Campeche Export Lines,Pemex,Installed,Exportline,Production,,20,1,1995,
,,,,,,,,61,0,Bay of Campeche PR1 (Phase II),Pemex,Installed,Trunkline,Production,Oil,36,38,1996,HUASTECO buried line.
,Australia/New Zealand,,Australia,,,,Bayu-Undan,80,80,Bayu-Undan Phase I,ConocoPhillips,Installed,Umbilical,,,2,8,2004,
,Australia/New Zealand,,Australia,,,,Bayu-Undan,80,80,Bayu-Undan Phase I,ConocoPhillips,Installed,Umbilical,,,2,8,2004,
,,,,,,,,15,,Beach,KNPC,Installed,Exportline,Production,,12,5,1986,
,,,,,,,,15,,Beach,KNPC,Installed,Exportline,Production,,24,5,1986,
,,,,,,,,15,,Beach,KNPC,Installed,Exportline,Production,,24,5,1986,
,,,,,,,,15,,Beach,KNPC,Installed,Exportline,Production,,24,5,1986,
,,,,,,,,15,,Beach,KNPC,Installed,Exportline,Production,,24,5,1986,
,,,,,,,,15,,Beach,KNPC,Installed,Exportline,Production,,24,5,1986,
,,,,,,,,6,,Beach Pull No 1,KNPC,Installed,Exportline,Production,,48,0,1986,
,,,,,,,,6,,Beach Pull No 2,KNPC,Installed,Exportline,Production,,48,0,1986,
,Southeast Asia,,Indonesia,,,,,90,,Belanak Eastern Hub LPG,ConocoPhillips,Installed,Umbilical,,,,14,2004,Power/Communication cable between platforms
,Southeast Asia,,Malaysia,,,,,,,Berantai Phase I,Petrofac,Installed,Umbilical,,,2,3,2011,
,Southeast Asia,,Malaysia,,,,,,,Bertam,Lundin Petroleum,Planned,Umbilical,,,2,5,2015,
,South America,,Brazil,,,,,600,600,BG Santos Basin FSO (OTF),Petrobras,Possible,Umbilical,,,2,2,2017,
,South America,,Brazil,,,,,600,600,BG Santos Basin FSO (OTF),Petrobras,Possible,Umbilical,,,2,2,2017,
,South America,,Brazil,,BES-100,,Bia/Camarupim,790,790,Bia/Camarupim (ESS-164),Petrobras,Installed,Umbilical,,,2,5,2009,
,Mediterranean/Black Sea,,Italy,,,,Bianca/Luisella,,50,Bianca,Eni,Planned,Umbilical,,,,,2016,
,"USA, Gulf of Mexico",,USA,,Miss Canyon - 698,,Rio Grande Complex,,"2,195",Big Bend/Dantzler/Troubadour,Noble Energy,Possible,Umbilical,,,2,8,2016,
,South America,,Brazil,,,,,675,,Bijupira Salema,Shell,Installed,Umbilical,,,,4,2003,
,South America,,Brazil,,,,,675,,Bijupira Salema,Shell,Installed,Umbilical,,,,5,2003,
,,,,,,,,30,0,Bioko Island,CMS Nomeco,Installed,Exportline,Production,Water,63,0,1999,"To methanol prod plant on island. High Density Polyethylene. Chem inject sys lines to prevent marine growth inside intake lines. Del 98,000 gallons seawater/minute."
,,,,,,,,30,0,Bioko Island,CMS Nomeco,Installed,Umbilical,Production,Chemical,3,0,1999,"To methanol prod plant on island. High Density Polyethylene. Chem inject sys lines to prevent marine growth inside intake lines. Del 98,000 gallons seawater/minute."
,,,,,,,,30,0,Bioko Island,CMS Nomeco,Installed,Exportline,Production,Water,63,0,1999,"To methanol prod plant on island. High Density Polyethylene. Chem inject sys lines to prevent marine growth inside intake lines. Del 98,000 gallons seawater/minute."
,,,,,,,,30,0,Bioko Island,CMS Nomeco,Installed,Umbilical,Production,Chemical,3,0,1999,"To methanol prod plant on island. High Density Polyethylene. Chem inject sys lines to prevent marine growth inside intake lines. Del 98,000 gallons seawater/minute."
,Mediterranean/Black Sea,,Tunisia,,,,Birsa,80,80,Birsa,,Cancelled,Umbilical,Production,,2,10,2016,Birsa-1 = 724B/D Birsa-2 =2634B/D Birsa-3 =4560B/D Oil
,,,,,,,,20,0,Black Sea SALM Buoy,St C Ukraine,Installed,Exportline,Production,Oil,42,4,1994,
,Northwest Europe,,United Kingdom,,,,,100,,Blake Flank,BG,Installed,Umbilical,,,,3,2003,
,Northwest Europe,,United Kingdom,,,,,100,,Blake Flank,BG,Installed,Umbilical,,,,1,2003,
,,,,,,,,305,0,Blanquilla,PDVSA,Possible,Exportline,Production,Gas,36,29,2016,3/09 once on land travel to CIGMA Train 3
,Caspian Sea,,Turkmenistan,,Block 1,,Magtymguly (East Livanov),,55,Block 1 Gas Development Phase 1,Petronas Carigali,Installed,Umbilical,,,4,73,2010,
,West Africa,,Angola,,,,,,,Block 15 Gas Gathering Project,ExxonMobil,Installed,Umbilical,,,,20,2009,a number of umbilicals with a total length of 10-20km
,West Africa,,Congo,,,,,127,127,Boatou,Total,Possible,Umbilical,,,2,5,2018,
,Far East,,China,,Bonan,,Bonan,,,Bonan Phase 2,CNOOC,Installed,Umbilical,,,2,10,2009,
,West Africa,,Nigeria,,,,,"1,019","1,019",Bonga North,Shell,Possible,Umbilical,,,0,5,2022,
,West Africa,,Nigeria,,,,,"1,019","1,019",Bonga North,Shell,Possible,Umbilical,,,0,5,2022,
,West Africa,,Nigeria,,,,,"1,019","1,019",Bonga North,Shell,Possible,Umbilical,,,0,5,2022,
,West Africa,,Nigeria,,,,,"1,030",,Bonga Phase I,Shell,Installed,Umbilical,,,,10,2004,
