FieldsBase Field Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:44 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Project,Operator,Status,Production type,Production start date,Water depth (m),Remark
Boomvang,"USA, Gulf of Mexico",USA,"East Breaks - 598, East Breaks - 599, East Breaks - 642, East Breaks - 643, East Breaks - 688","Boomvang, North Boomvang Loop, Boomvang pipeline replacement, East Boomvang decommissioning",Anadarko,Production,,24 Jun 2002,"1,110",
Boris,"USA, Gulf of Mexico",USA,Green Canyon - 282,Boris,BHP Billiton,Production,,12 Feb 2003,762,Contains boris north and south wells partners chevron & samedan with 25% each
Boudin,"USA, Gulf of Mexico",USA,Eugene Island - 26,,McMoRan,Prospect,Gas,,6,10/11 McMoRan drilling Boudin deep gas exploration well w/ jackup Rowan Louisiana. Caisson well protector has been installed.
Boxer,"USA, Gulf of Mexico",USA,Green Canyon - 19,Boxer,Shell,Production,,1 Jan 1989,229,Single steel platform exporting via line to s.Shoal 241. Also takes production from eb 989 subsea dev.
Boxer,"USA, Gulf of Mexico",USA,Mobile - 1002,Boxer 2007,Royal Production,Abandoned,,1 Jul 2007,26,
Brazos 335,"USA, Gulf of Mexico",USA,Brazos - 335,Brazos 335,Rutherford,Production,,1 Jul 1989,19,
Brazos 335-L,"USA, Gulf of Mexico",USA,Brazos - 335-L,Brazos 335-L,Rutherford,Production,,1 Jul 1977,19,
Brazos 336-L,"USA, Gulf of Mexico",USA,Brazos - 336-L,Brazos 336-L,Rutherford,Production,,1 Jul 1990,16,
Brazos 338-L,"USA, Gulf of Mexico",USA,Brazos - 338-L,Brazos 338-L,Kelley,Production,,1 Jul 1991,,
Brazos 339,"USA, Gulf of Mexico",USA,Brazos - 339,Brazos 339,Nicor Exploration,Production,,1 Jul 1993,14,
Brazos 339-L,"USA, Gulf of Mexico",USA,Brazos - 339-L,Brazos 339-L,"Scana Petroleum, Kelley",Production,,1 Jul 1992,15,
Brazos 340-L,"USA, Gulf of Mexico",USA,Brazos - 340-L,Brazos 340-L,American Exploration,Production,,1 Jul 1979,13,
Brazos 364-G,"USA, Gulf of Mexico",USA,Brazos - 364G,Brazos 364-G,Agip,Production,,1 Jul 1992,20,
Brazos 365,"USA, Gulf of Mexico",USA,Brazos - 365,Brazos 365,Walter Oil & Gas,Abandoned,,1 Jul 1992,19,
Brazos 366-L,"USA, Gulf of Mexico",USA,Brazos - 366-L,Brazos 366-L,Rutherford,Abandoned,,1 Jul 1979,18,
Brazos 367,"USA, Gulf of Mexico",USA,Brazos - 367,Brazos 367,Torch Energy,Production,,1 Jul 1992,18,
Brazos 367-L,"USA, Gulf of Mexico",USA,Brazos - 367-L,Brazos 367-L,"Florida Gas Transmission, Kilroy (A)",Production,,1 Jul 1981,17,
Brazos 368,"USA, Gulf of Mexico",USA,Brazos - 368,Brazos 368,El Paso,Production,,1 Jul 1997,15,
Brazos 375,"USA, Gulf of Mexico",USA,Brazos - 375,Brazos 375,"Chevron, Seneca Resources",Production,,1 Jul 1990,19,
Brazos 376,"USA, Gulf of Mexico",USA,Brazos - 376,Brazos 376,Unocal,Production,,1 Jul 1990,18,
Brazos 377,"USA, Gulf of Mexico",USA,Brazos - 377,Brazos 377,Devon Energy,Production,,1 Jul 1996,22,
Brazos 397,"USA, Gulf of Mexico",USA,"Brazos - 396, Brazos - 397","Brazos 397, Brazos 397 - Removal",Devon Energy,Abandoned,,1 Jul 1992,24,
Brazos 398,"USA, Gulf of Mexico",USA,"Brazos - 398, Brazos - 399",Brazos 398,Falcon Seaboard,Production,,1 Jul 1993,23,
Brazos 399,"USA, Gulf of Mexico",USA,"Brazos - 375, Brazos - 399G",Brazos 399,Devon Energy,Production,,1 Jul 1991,,
Brazos 399-G,"USA, Gulf of Mexico",USA,"Brazos - 375, Brazos - 399, Brazos - 399G",Brazos 399-G,Devon Energy,Production,,1 Jul 1990,21,
Brazos 400,"USA, Gulf of Mexico",USA,Brazos - 400,Brazos 400,Anadarko,Production,,1 Jul 1991,19,
Brazos 403-L,"USA, Gulf of Mexico",USA,Brazos - 403-L,Brazos 403-L,Presidio Oil,Production,,1 Jul 1991,6,
Brazos 405,"USA, Gulf of Mexico",USA,Brazos - 405,Brazos 405,Valero Gathering,Production,,1 Jul 1988,6,
Brazos 405-L,"USA, Gulf of Mexico",USA,Brazos - 405-L,Brazos 405-L,"Louis Dreyfus, Conquest Exploration Company",Production,,1 Jul 1982,15,
Brazos 409-L,"USA, Gulf of Mexico",USA,Brazos - 409-L,Brazos 409-L,Pioneer,Production,,1 Jul 1978,16,
Brazos 409-S,"USA, Gulf of Mexico",USA,Brazos - 409-S,Brazos 409-S,Seastar Energy Corporation,Production,,1 Jul 1988,12,
Brazos 411,"USA, Gulf of Mexico",USA,Brazos - 411,Brazos 411,Enserch,Production,,1 Jul 1989,17,
Brazos 412,"USA, Gulf of Mexico",USA,"Brazos - 412, Brazos - 435F, Brazos - 436",Brazos 412,"ERT, ConocoPhillips",Abandoned,,1 Jul 1985,21,
Brazos 412-L,"USA, Gulf of Mexico",USA,Brazos - 412-L,Brazos 412-L,Maxus,Production,,1 Jul 1990,21,
Brazos 413,"USA, Gulf of Mexico",USA,Brazos - 413,Brazos 413,ConocoPhillips,Production,,1 Jul 1993,15,
Brazos 415,"USA, Gulf of Mexico",USA,Brazos - 415,Brazos 415,XTO Energy,Abandoned,,1 Jul 2001,25,
Brazos 417,"USA, Gulf of Mexico",USA,Brazos - 417,Brazos 417,William G. Helis,Abandoned,,1 Jul 2001,27,
Brazos 431,"USA, Gulf of Mexico",USA,"Brazos - 431, Brazos - 432",Brazos 431,"Devon Energy, Maritech Resources",Production,,1 Jul 1991,27,
Brazos 432,"USA, Gulf of Mexico",USA,Brazos - 432,Brazos 432,Devon Energy,Production,,1 Jul 1993,,
Brazos 435-F,"USA, Gulf of Mexico",USA,Brazos - 435F,Brazos 435-F,Maxus,Production,,1 Jul 1990,24,
Brazos 437,"USA, Gulf of Mexico",USA,"Brazos - 437, Brazos - 438",Brazos 437,"Enserch, NCX, Newfield Exploration, Barrett Resources (A)",Abandoned,,1 Jul 1981,20,
Brazos 437 B,"USA, Gulf of Mexico",USA,Brazos - 437,Brazos 437 B,,Abandoned,Gas,7 Aug 2007,20,Udaluli prospect
Brazos 438,"USA, Gulf of Mexico",USA,Brazos - 438,Brazos 438,Dalen Resources,Production,,1 Jul 1985,20,
Brazos 439,"USA, Gulf of Mexico",USA,Brazos - 439,Brazos 439,Tri-Union (A),Production,,1 Jul 1991,35,
Brazos 440-L,"USA, Gulf of Mexico",USA,Brazos - 440-L,Brazos 440-L,Conquest Exploration Company,Production,,1 Jul 1985,18,
Brazos 441-L,"USA, Gulf of Mexico",USA,Brazos - 441-L,Brazos 441-L,Louis Dreyfus,Abandoned,,15 May 1998,,
Brazos 442-L,"USA, Gulf of Mexico",USA,Brazos - 442-L,Brazos 442-L,Devon Energy,Production,,1 Jul 1982,14,
Brazos 444-L,"USA, Gulf of Mexico",USA,Brazos - 444-L,Brazos 444-L,Scana Petroleum,Production,,1 Jul 1992,13,
Brazos 446-L,"USA, Gulf of Mexico",USA,Brazos - 446-L,Brazos 446-L,Zapex,Abandoned,,1 Jul 1980,18,
Brazos 449-L,"USA, Gulf of Mexico",USA,Brazos - 449-L,Brazos 449-L,Enron,Production,,1 Jul 1986,18,
Brazos 451,"USA, Gulf of Mexico",USA,"Brazos - 439, Brazos - 451","Brazos 451, Brazos 451 - Removal","Devon Energy, Vastar (A)",Abandoned,,1 Jul 1981,21,
Brazos 452,"USA, Gulf of Mexico",USA,Brazos - 452,Brazos 452,"ExxonMobil, ERT",Abandoned,,1 Jul 1988,22,
Brazos 453,"USA, Gulf of Mexico",USA,"Brazos - 436, Brazos - 453","Brazos 436, Brazos 453, Brazos 436 Phase 2, Brazos 453 Decommissioning",ERT,Production,,1 Jul 1985,23,
Brazos 455,"USA, Gulf of Mexico",USA,Brazos - 455,Brazos 455,Enserch,Production,,1 Jul 1993,28,
Brazos 474,"USA, Gulf of Mexico",USA,Brazos - 474,Brazos 474,Aquila,Production,,1 Jul 1995,27,
Brazos 478,"USA, Gulf of Mexico",USA,Brazos - 478,Brazos 478,American Exploration,Abandoned,,1 Jul 1997,20,
Brazos 491,"USA, Gulf of Mexico",USA,"Brazos - 476, Brazos - 491","Brazos 491, Brazos 491 Phase II",Forest Oil,Production,,1 Sep 1990,22,
Brazos 492,"USA, Gulf of Mexico",USA,Brazos - 492,Brazos 492,Enron,Production,,1 Jul 1996,14,
Brazos 494,"USA, Gulf of Mexico",USA,Brazos - 494,Brazos 494,Sandefer Offshore,Production,,1 Jul 1989,26,
Brazos 495-S,"USA, Gulf of Mexico",USA,,,Energy Partners,Abandoned,Gas,,13,SL 102741
Brazos 501,"USA, Gulf of Mexico",USA,"Brazos - 501, Brazos - 504",,Seneca Resources,Abandoned,,,35,
Brazos 502,"USA, Gulf of Mexico",USA,Brazos - 502,Brazos 502,Seneca Resources,Production,Oil & Gas,1 Oct 2008,34,
Brazos 504,"USA, Gulf of Mexico",USA,Brazos - 504,"Brazos 504, Freeport McMoRan 2014 Decommissioning Program",Seneca Resources,Production,,1 Jul 1980,35,
Brazos 507,"USA, Gulf of Mexico",USA,Brazos - 507,Brazos 507,W & T Offshore,Production,,1 Jul 1994,30,
Brazos 515,"USA, Gulf of Mexico",USA,Brazos - 515,Brazos 515,Devon Energy,Production,,1 Jul 1994,23,
Brazos 517,"USA, Gulf of Mexico",USA,Brazos - 517,Brazos 517,Santa Fe Snyder,Production,,1 Jul 1990,21,
Brazos 538,"USA, Gulf of Mexico",USA,Brazos - 538,Brazos 538,Transco Inc,Production,,1 Jul 1969,,
Brazos 541,"USA, Gulf of Mexico",USA,Brazos - 541,"Brazos 541, Brazos 541 Removal","Chevron, Cockrell",Production,,1 Jul 1972,37,
Brazos 542,"USA, Gulf of Mexico",USA,Brazos - 542,"Brazos 542, Brazos 542 Removal",Mariner Energy,Production,,1 Jul 1991,36,
Brazos 544,"USA, Gulf of Mexico",USA,Brazos - 544,Brazos 544,"Cockrell, ATP Oil & Gas",Production,,1 Jul 1994,36,
Brazos 550,"USA, Gulf of Mexico",USA,"Brazos - 550, Brazos - 572, Brazos - 583",Brazos 550,Walter Oil & Gas,Production,,1 Jul 1988,29,
Brazos 552,"USA, Gulf of Mexico",USA,Brazos - 552,Brazos 552,Devon Energy,Production,,1 Jul 1994,24,
Brazos 569,"USA, Gulf of Mexico",USA,Brazos - 569,Brazos 569,Enserch,Production,,1 Jul 1990,24,
Brazos 572,"USA, Gulf of Mexico",USA,Brazos - 572,Brazos 572,Walter Oil & Gas,Production,,1 Jul 1989,30,
Brazos 578,"USA, Gulf of Mexico",USA,Brazos - 578,Brazos 578,"Challenger Minerals, ATP Oil & Gas",Production,,1 Jul 1982,36,
Brazos 580,"USA, Gulf of Mexico",USA,Brazos - 580,Brazos 580,CXY Energy (A),Production,,1 Jul 1994,36,
Brazos 583,"USA, Gulf of Mexico",USA,Brazos - 583,Brazos 583,Walter Oil & Gas,Production,,1 Jul 1989,29,
Brazos A-1,"USA, Gulf of Mexico",USA,Brazos - A-1,Brazos A-1,Samedan,Abandoned,,1 Jul 1972,,
Brazos A-104,"USA, Gulf of Mexico",USA,Brazos - A-104,"Brazos A-104, Brazos A-104 Removal",Energy Partners,Production,,1 Jul 1990,60,
Brazos A-105,"USA, Gulf of Mexico",USA,Brazos - A-105,Brazos A-105,"Chevron, Unocal",Production,,1 Jul 1975,58,
Brazos A-106,"USA, Gulf of Mexico",USA,Brazos - A-106,Brazos A-106,Shell,Abandoned,,1 Jul 1981,60,
Brazos A-132,"USA, Gulf of Mexico",USA,Brazos - A-132,Brazos A-132,BP,Production,,1 Jul 1980,61,
Brazos A-133,"USA, Gulf of Mexico",USA,"Brazos - A-104, Brazos - A-132, Brazos - A-133",Brazos A-133,"BP, Oxy Petroleum, Inc., GOM Shelf",Production,,1 Jul 1976,62,
Brazos A-16,"USA, Gulf of Mexico",USA,Brazos - A-16,Brazos A-16,Chevron,Production,,1 Jul 1984,45,
Brazos A-17,"USA, Gulf of Mexico",USA,"Brazos - A-16, Brazos - A-17, Brazos - A-28","Brazos A-17, Apache 2013 Phase II removals","Chevron, Hydro (A), Samedan",Production,,1 Jul 1979,41,
Brazos A-19,"USA, Gulf of Mexico",USA,Brazos - A-19,Brazos A-19,Shell,Production,,1 Jul 1980,40,
Brazos A-2,"USA, Gulf of Mexico",USA,Brazos - A-2,Brazos A-2,Anadarko,Production,,1 Jul 1990,30,
Brazos A-20,"USA, Gulf of Mexico",USA,"Brazos - A-19, Brazos - A-20",Brazos A-20,Shell,Production,,1 Jul 1979,39,
Brazos A-21,"USA, Gulf of Mexico",USA,Brazos - A-21,"Brazos A-21, Freeport McMoRan 2014 Decommissioning Program","Devon Energy, Denbury Resources",Production,,1 Jul 1992,38,
Brazos A-22,"USA, Gulf of Mexico",USA,"Brazos - A-22, Brazos - A-23, Brazos - A-39, Brazos - A-40",Brazos A-22,"Chevron, Shell, ConocoPhillips, Pioneer",Production,,1 Jul 1981,41,
Brazos A-23,"USA, Gulf of Mexico",USA,Brazos - A-23,"Brazos A-23, Freeport McMoRan 2014 Decommissioning Program",Shell,Production,,1 Jul 1981,40,
Brazos A-28,"USA, Gulf of Mexico",USA,Brazos - A-28,Brazos A-28,Samedan,Abandoned,,1 Jul 1981,34,
Brazos A-39,"USA, Gulf of Mexico",USA,Brazos - A-39,Brazos A-39,Pioneer,Abandoned,,1 Nov 1984,,
Brazos A-40,"USA, Gulf of Mexico",USA,Brazos - A-40,Brazos A-40,"Chevron, ConocoPhillips",Production,,1 Jul 1982,43,
Brazos A-41,"USA, Gulf of Mexico",USA,Brazos - A-41,Brazos A-41,Chevron,Abandoned,,1 Jul 1983,41,
Brazos A-47,"USA, Gulf of Mexico",USA,Brazos - A-47,Brazos A-47,Total,Production,,1 Jul 1982,43,
Brazos A-51,"USA, Gulf of Mexico",USA,Brazos - A-51,Brazos A-51,Samedan,Production,,1 Jul 1993,49,
Brazos A-52,"USA, Gulf of Mexico",USA,"Brazos - A-51, Brazos - A-52, Brazos - A-53, Brazos - A-66",Brazos A-52,"Samedan, Arena Offshore, LLC",Production,,1 Jul 1984,49,
Brazos A-53,"USA, Gulf of Mexico",USA,Brazos - A-53,Brazos A-53,Samedan,Production,,1 Jul 1990,50,
Brazos A-66,"USA, Gulf of Mexico",USA,Brazos - A-66,Brazos A-66,Samedan,Production,,1 Jul 1989,50,
Brazos A-7,"USA, Gulf of Mexico",USA,Brazos - A-7,Brazos A-7,"Newfield Exploration, Pioneer",Production,,1 Jul 1981,37,
Brazos A-70,"USA, Gulf of Mexico",USA,"Brazos - A-47, Brazos - A-70","Brazos A-70, Apache 2013 Phase I removals","Oxy Petroleum, Inc.",Production,,1 Jul 1975,47,
Brazos A-76,"USA, Gulf of Mexico",USA,Brazos - A-76,"Brazos A-76, Brazos A-76 - 2007","Oxy Petroleum, Inc.",Production,,1 Jul 1969,51,
Brazos ST-449-L,"USA, Gulf of Mexico",USA,Brazos - 449-L,Brazos ST-449-L,Enron,Abandoned,,1 Jul 1986,18,
Breton Sound 1,"USA, Gulf of Mexico",USA,Breton Sound - 1,Breton Sound 1,"Chevron, Unocal",Production,,1 Jul 1985,4,
Breton Sound 11,"USA, Gulf of Mexico",USA,Breton Sound - 11,Breton Sound 11,Total,Production,,1 Jul 1983,5,
Breton Sound 13,"USA, Gulf of Mexico",USA,Breton Sound - 13,Breton Sound 13,Denbury Resources,Production,,1 Jul 1996,6,
Breton Sound 17,"USA, Gulf of Mexico",USA,Breton Sound - 17,Breton Sound 17,Southern Natural Gas Company,Production,,1 Jul 1981,6,
Breton Sound 18-L,"USA, Gulf of Mexico",USA,Breton Sound - 18-L,Breton Sound 18-L,Hess,Production,,1 Jul 2000,3,
Breton Sound 2,"USA, Gulf of Mexico",USA,Breton Sound - 2,Breton Sound 2,Chevron,Production,,1 Jul 1986,3,
Breton Sound 20,"USA, Gulf of Mexico",USA,"Breton Sound - 20, Breton Sound - 21, Breton Sound - 22, Breton Sound - 28, Breton Sound - 29",Breton Sound 20,Anadarko,Production,,1 Jul 1979,6,
Breton Sound 21,"USA, Gulf of Mexico",USA,Breton Sound - 21,Breton Sound 21,Anadarko,Production,,1 Jul 1983,5,
Breton Sound 28,"USA, Gulf of Mexico",USA,Breton Sound - 28,,,Planned,,,,
Breton Sound 30,"USA, Gulf of Mexico",USA,Breton Sound - 30,Breton Sound 30,Devon Energy,Production,,1 Jul 1994,6,
Breton Sound 31,"USA, Gulf of Mexico",USA,Breton Sound - 31,,Hess,Discovery,,,14,"Cibicides carstensi sand, reservoir a in breton sand block 31-plan single drilling and prod unit for prod of gas and cond"
Breton Sound 32,"USA, Gulf of Mexico",USA,Breton Sound - 32,Breton Sound 32,Anadarko,Production,,1 Jul 1992,20,
Breton Sound 34,"USA, Gulf of Mexico",USA,Breton Sound - 34,Breton Sound 34,ExxonMobil,Production,,1 Jul 1996,9,
Breton Sound 39,"USA, Gulf of Mexico",USA,Breton Sound - 39,Breton Sound 39,"ConocoPhillips, Samedan",Production,,1 Jul 1984,5,
Breton Sound 41,"USA, Gulf of Mexico",USA,Breton Sound - 41,"Breton Sound 41, Breton Sound 41 Removal","NCX, Hess",Production,,1 Jul 2002,10,
Breton Sound 42,"USA, Gulf of Mexico",USA,Breton Sound - 42,Breton Sound 42,ConocoPhillips,Production,,1 Jul 1984,5,
Breton Sound 45,"USA, Gulf of Mexico",USA,Breton Sound - 45,Breton Sound 45,El Paso,Production,,1 Jul 1978,12,
Breton Sound 51,"USA, Gulf of Mexico",USA,Breton Sound - 51,Breton Sound 51,Century Exploration,Production,,24 Sep 2012,11,
Breton Sound 53,"USA, Gulf of Mexico",USA,Breton Sound - 53,Breton Sound 53,Century Offshore Management,Production,,1 Jul 1978,5,
Breton Sound 54,"USA, Gulf of Mexico",USA,Breton Sound - 54,Breton Sound 54,Hess,Production,,1 Jul 1983,5,
Breton Sound 55,"USA, Gulf of Mexico",USA,Breton Sound - 55,Breton Sound 55,Hess,Production,,1 Jul 1983,5,
Breton Sound 56,"USA, Gulf of Mexico",USA,Breton Sound - 56,Breton Sound 56,Chevron,Production,,1 Jul 1981,12,
Bright,"USA, Gulf of Mexico",USA,Atwater Valley - 364,,BP,Sub-Commercial,,,"1,707","8/14: Found sub commercial amounts of hydrocarbons

estimated to hold b/n 90-350 million boe"
Brisbane,"USA, Gulf of Mexico",USA,Alaminos Canyon - 187,,Woodside,Prospect,Oil & Gas,,"1,224",8/10: Woodside has filed plans to drill exporation wells beginning 1/2011 thorugh 2/2013. - Total of 5 exploration wells
Bronze Eye Popper,"USA, Gulf of Mexico",USA,Ship Shoal - 93,Bronze Eye Popper,Stone Energy,Production,,1 Feb 2011,7,
Brutus,"USA, Gulf of Mexico",USA,Green Canyon - 158,"Brutus, Brutus Export Lines, Brutus - IRM",Shell,Production,,14 Aug 2001,910,"TLP to act as area hub, poss inc glider dev. Oil api low-mid 30s. TLP shut in feb 02. Plan to inc prod cap to 130,000 b/d"
Brutus Ru,"USA, Gulf of Mexico",USA,Green Canyon - 202,,Shell,Discovery,,,963,Petro economist 09/03
Buckskin/Moccasin,"USA, Gulf of Mexico",USA,"Keathley Canyon - 736, Keathley Canyon - 872",Buckskin/Moccasin,Chevron,Possible,,1 Feb 2019,"2,080",
Bullseye,"USA, Gulf of Mexico",USA,West Cameron - 528,Bullseye,Devon Energy,Abandoned,,1 Jul 1998,53,
Bullwinkle,"USA, Gulf of Mexico",USA,Green Canyon - 65,"Bullwinkle, Droshky, Bullwinkle Decommissioning project, Bullwinkle 2015",Fieldwood Energy,Production,,15 Jun 1989,412,World's largest fixed steel platform exports to boxer platform. Manatee/troika/rocky/angus all tied back to bullwinkle
Busch,"USA, Gulf of Mexico",USA,Main Pass - 255,Busch,Delmar,Production,,1 Jul 1994,101,
Bushwood,"USA, Gulf of Mexico",USA,Garden Banks - 463,Bushwood,Mariner Energy,Production,Gas,30 Nov 2011,853,Formerly called Geauxpher No.3; No additional lines needed...to be tied into existing Geauxpher lines
Butch Cassidy,"USA, Gulf of Mexico",USA,South Timbalier - 81,Butch Cassidy,Stone Energy,Abandoned,,30 Sep 2008,19,
Cabrito,"USA, Gulf of Mexico",USA,Garden Banks - 186,,ATP Oil & Gas,Production,,,166,12/03: drilled as xreach well from matia
Cadillac,"USA, Gulf of Mexico",USA,Viosca Knoll - 251,Cadillac,,Production,,1 Jul 1998,,
Caesar Pipeline,"USA, Gulf of Mexico",USA,Green Canyon - 645,,BP,Production,,,"1,341",
Caesar-Tonga,"USA, Gulf of Mexico",USA,"Green Canyon - 680, Green Canyon - 683, Green Canyon - 726, Green Canyon - 727","Caesar-Tonga, Caesar-Tonga Phase II",Anadarko,Production,Oil & Gas,7 Mar 2012,"1,422","Caesar-Tonga project includes production from Caesar, Tonga and Tonga West fields"
Callisto (USA),"USA, Gulf of Mexico",USA,"Miss Canyon - 875/876, Miss Canyon - 876",Callisto,Anadarko,Production,,19 Jan 2011,"2,373",
Camden Hills,"USA, Gulf of Mexico",USA,Miss Canyon - 348,Camden Hills,Marathon,Production,,25 Oct 2002,"2,195",Deepest water for turnkey well.Daisy-chain to aconcagua-king's peak -mp261.Part canyon express proj. See c.Express pipe. Cameron trees?
Cameron Highway,"USA, Gulf of Mexico",USA,High Island - A-5,,El Paso,Production,,,"1,523","Prod from holstein, mad dog & atlantis to be carried on pipeline. Pipeline will deliver 500,000 b/d. Bids in from contractors"
Canvasback,"USA, Gulf of Mexico",USA,"East Cameron - 378, East Cameron - 62",Canvasback,Energy Partners,Production,,31 Dec 2004,140,Completion plans pending drilling and evaluation operations
Canyon Station,"USA, Gulf of Mexico",USA,Main Pass - 261,Canyon Station,Williams,Production,,15 Sep 2002,91,Host production from canyon express. See canyon express for facilities and pipelines.
Capricorn,"USA, Gulf of Mexico",USA,High Island - A-341,Capricorn,Mariner Energy,Production,,1 Jul 1979,73,
Cardamom,"USA, Gulf of Mexico",USA,"Garden Banks - 427, Garden Banks - 471","Cardamom Deep, Cardamom",Shell,Production,Oil & Gas,15 Oct 1997,872,Dev by xreach from auger.2 wells drilled 2q97.1st prod from 1 well. No plans for prod from 2nd well 8/99 due to capacity limit at auger
Cascade/Chinook,"USA, Gulf of Mexico",USA,"Walker Ridge - 206, Walker Ridge - 249, Walker Ridge - 469","Cascade/Chinook Phase 1, Cascade/Chinook Phase 3, Cascade/Chinook Phase 2",Petrobras,Construction,Oil & Gas,25 Feb 2012,"2,591",
Castleton,"USA, Gulf of Mexico",USA,Garden Banks - 668,,Nexen,Prospect,,,913,05/06 nexen is going to wait for dawson deep to begin prod and monitor before deciding on castleton due to poor well results
Caterpillar,"USA, Gulf of Mexico",USA,South Marsh Is - 7,,Chevron,Sub-Commercial,,,"2,033","08/06 CURRENTLY APPRAISING, DEVON SAYS IT COULD POSSIBLY BE A SUB. TIEBACK TO BLIND FAITH IF SUCCESSFUL

1/2/07 permanently abandoned. Did not encounter hydrocarbons."
Cerveza,"USA, Gulf of Mexico",USA,East Breaks - 160,"East Breaks 160, Cerveza","Chevron, Unocal",Production,Oil & Gas,1 Jul 1981,285,Lat in eb160.Also takes prod from <200msw eb117 wetsat (Via 2x 5km 4-in flow).Long delay btwn instn+start due to well probs + blowout
Cerveza Ligera,"USA, Gulf of Mexico",USA,East Breaks - 159,Cerveza Ligera,Unocal,Production,,15 Aug 1986,282,Plat in eb 159. Exports gas+condensate via flowlines to cerveza plt in eb160. Delay btwn instn+start due well probs+blowout on cerveza.
Chandeleur 13,"USA, Gulf of Mexico",USA,Chandeleur - 13,Chandeleur 13,Palace Operating,Abandoned,,1 Jul 2004,,
Chandeleur 14,"USA, Gulf of Mexico",USA,Chandeleur - 14,Chandeleur 14,Chandeleur Ltd,Production,,1 Jul 1984,12,
Chandeleur 17,"USA, Gulf of Mexico",USA,Chandeleur - 17,Chandeleur 17,Chevron,Production,,1 Jul 1982,16,
Chandeleur 18,"USA, Gulf of Mexico",USA,Chandeleur - 18,Chandeleur 18,Anadarko,Production,,1 Jul 1984,17,
Chandeleur 21,"USA, Gulf of Mexico",USA,Chandeleur - 21,Chandeleur 21,NCX,Production,,1 Jul 1996,30,
Chandeleur 22,"USA, Gulf of Mexico",USA,Chandeleur - 22,Chandeleur 22,Devon Energy,Production,,1 Jul 1988,28,
Chandeleur 24,"USA, Gulf of Mexico",USA,Chandeleur - 24,Chandeleur 24,Century Offshore Management,Production,,1 Jul 1989,20,
Chandeleur 25,"USA, Gulf of Mexico",USA,"Chandeleur - 17, Chandeleur - 18, Chandeleur - 25",Chandeleur 25,"Anadarko, Chevron, Forest Oil, Chandeleur Ltd",Abandoned,,1 Jul 1982,16,
Chandeleur 27,"USA, Gulf of Mexico",USA,Chandeleur - 27,Chandeleur 27,Manti,Production,,1 Jul 2003,11,
Chandeleur 29,"USA, Gulf of Mexico",USA,Chandeleur - 29,Chandeleur 29,"Chevron, Entre Energy",Production,,1 Jul 1984,12,
Chandeleur 3,"USA, Gulf of Mexico",USA,Chandeleur - 3,Chandeleur 3,Palace Operating,Production,,1 Jul 2005,17,
Chandeleur 30,"USA, Gulf of Mexico",USA,Chandeleur - 30,Chandeleur 30,"Devon Energy, Energy Partners",Production,,1 Jul 1986,18,
Chandeleur 31,"USA, Gulf of Mexico",USA,Chandeleur - 31,Chandeleur 31,Energy Partners,Production,,1 Jul 1987,18,
Chandeleur 32,"USA, Gulf of Mexico",USA,Chandeleur - 32,Chandeleur 32,Hess,Production,,1 Jul 2007,18,
Chandeleur 34,"USA, Gulf of Mexico",USA,Chandeleur - 34,Chandeleur 34,Devon Energy,Production,,1 Jul 1988,28,
Chandeleur 37,"USA, Gulf of Mexico",USA,Chandeleur - 37,"Chandeleur 37, Apache Removals Phase III 2011",Gulfstar,Production,,1 Jul 1994,35,
Chandeleur 38,"USA, Gulf of Mexico",USA,Chandeleur - 38,"Chandeleur 38, Chandeleur 38 Decommissioning",Samedan,Production,,1 Jul 1988,34,
Chandeleur 40,"USA, Gulf of Mexico",USA,"Chandeleur - 22, Chandeleur - 34, Chandeleur - 40",Chandeleur 40,"Devon Energy, ConocoPhillips",Production,,1 Jul 1987,30,
Chandeleur 41,"USA, Gulf of Mexico",USA,Chandeleur - 41,Chandeleur 41,Callon Petroleum,Production,,1 Jul 1989,37,
Chandeleur 43,"USA, Gulf of Mexico",USA,Chandeleur - 43,Fairlane,Phoenix Exploration,Production,Gas,10 Mar 2010,39,
Chandeleur 49,"USA, Gulf of Mexico",USA,Chandeleur - 49,Chandeleur 49,P&O Falco,Planned,,1 Jul 1984,,
Chandeleur 8,"USA, Gulf of Mexico",USA,Chandeleur - 8,Chandeleur 8,Energy Partners,Production,,1 Jul 1994,12,
Chandeleur Sound 25,"USA, Gulf of Mexico",USA,Chandeleur Sound - 25,Chandeleur Sound 25,Vastar (A),Production,,1 Jul 1983,2,
Chandeleur Sound 27,"USA, Gulf of Mexico",USA,Chandeleur Sound - 27,,Manti,Production,,,13,
Chandeleur Sound 49,"USA, Gulf of Mexico",USA,Chandeleur - 49,Chandeleur Sound 49,P&O Falco,Production,,1 Jul 1984,6,
Chandeleur Sound 69,"USA, Gulf of Mexico",USA,Chandeleur Sound - 69,,Pogo,Discovery,,,,Company in process of completing blocks no.1 well
Chandeleur Sound 70,"USA, Gulf of Mexico",USA,Chandeleur - 70,Chandeleur Sound 70,Texas Oil & Gas,Production,,1 Jul 1983,6,
