FieldsBase Field Search - Data Download,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:44 for Dirk Rook,,,,,,,,,,
,,,,,,,,,,
Filters:,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
Name,Region,Country,Block,Project,Operator,Status,Production type,Production start date,Water depth (m),Remark
Chrysaor,Australia/New Zealand,Australia,WA-205-P,Chrysaor,Chevron,Possible,,30 Jun 2016,792,Dev planned 2-3 yrs after gorgon.Ph ii.App continues:exp wells 99. Dev with nw shelf proj?subsea tieback-gorgon.Intec has eng study
Cimatti,Australia/New Zealand,Australia,WA-28-L,Cimatti,Woodside,Possible,Oil,30 Sep 2018,547,"12/13: Woodside updated that it is back to drawing board pn development concept for Cimatti field. 

04/13: Conceptual Design/Pre-FEED for Cimatti
02/11: To be developed as tieback to Enfield"
Cliff Head,Australia/New Zealand,Australia,WA-286-P,Cliff Head,Roc Oil,Production,Oil,15 May 2006,18,"10/11: Roc increased its interest by five per cent, obtaining CIECO's stake. Est reserves 80-130 million bbl.  
03/05: fid taken."
Clio,Australia/New Zealand,Australia,WA-205-P,,Chevron,Discovery,,,960,"11/06: further work in mid-dec to determine potential of field, following which will determine development options"
Cobia,Australia/New Zealand,Australia,,Cobia,ExxonMobil,Production,,30 Jun 1979,79,Single platform development producing to halibut - field was shut in in 1988 for economic reasons
Concerto,Australia/New Zealand,Australia,WA-371-P,Concerto,Shell,Planned,Gas,18 Jun 2016,237,
Coniston/Novara,Australia/New Zealand,Australia,"WA-225-P, WA-35-L",Coniston-Novara Development,Apache,Construction,Oil,31 Dec 2014,385,
Cooper,Australia/New Zealand,Australia,388,Cooper (Australia),Woodside,Production,,1 Jul 1995,120,
Cooper (WA-377-P),Australia/New Zealand,Australia,"WA-341-P, WA-377-P",,,Prospect,Condensate & Gas,,184,
Corallina Laminaria,Australia/New Zealand,Australia,"AC/L5, WA-18-L",Corallina Laminaria,Woodside,Production,,7 Nov 1999,399,
Cormorant,Australia/New Zealand,Australia,T/P3 then T/47P,,,Discovery,Oil,,73,
Cornea,Australia/New Zealand,Australia,WA-241-P,,Shell,Sub-Commercial,,,83,'promising disc'-shell&cultus to explore.2 wells+3 sidetrack wells in 96.App drilling 97/98. 5 dry wells '98 - 'disappointing results'
