FieldsBase Requirement Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:50 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract status,Contract type,Work scope,Contractor bids,Commercial bids due,Award date,Start date,End date,Duration (month),Remark
Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Idd El Shargi North Dome Phase 5,Occidental,Tendering,EPIC,"Package 1:(1) processing platform, (1) flare tower, (2) tripods, (3) bridges",,31 Oct 2014,31 Dec 2014,31 Dec 2014,31 Dec 2018,47.9,"03/2014: industry sources suggest that the list of contractors invited to bid for package 1 include McDermott, NPCC, Technip, Saipem and Hyundai"
Middle East,Qatar,Idd El Shargi North Dome,Idd El Shargi,Idd El Shargi North Dome Phase 5,Occidental,Tendering,EPIC,"Package 2: (2) WH jackets, (15) facility plats",,31 Oct 2014,31 Dec 2014,31 Dec 2014,31 Dec 2018,47.9,"03/2014: industry sources suggest that the list of contractors invited to bid for package 2 include McDermott, NPCC, Technip, Saipem and Hyundai"
Middle East,Saudi Arabia,,,Abqaiq-Sitrah pipeline replacement,Saudi Aramco,Planned,EPIC,EPIC A/B 45km Pipeline offshore Saudi Arabia,"Algosaibi Diving & Marine, Cal Dive, McDermott, Saipem",,31 Dec 2014,31 Dec 2014,10 Jan 2019,48.2,
Middle East,Saudi Arabia,,Dorra,Dorra,KJO,Planned,EPIC,EPIC,,,5 Aug 2015,5 Aug 2015,5 Aug 2019,47.9,
Middle East,Saudi Arabia,,Safaniya/Zuluf/Berri,Maintain Potential Program 2016-2020,Saudi Aramco,Tendering,EPIC,MPP 2015-2020 (LTA-3),,,1 Jan 2016,1 Jan 2016,1 Jan 2020,47.9,
Middle East,Saudi Arabia,,Safaniya/Zuluf/Berri,Maintain Potential Program 2016-2020,Saudi Aramco,Tendering,EPIC,MPP 2015-2020 (LTA-2),,,1 Jan 2016,1 Jan 2016,,,
Middle East,Saudi Arabia,,Safaniya/Zuluf/Berri,Maintain Potential Program 2016-2020,Saudi Aramco,Tendering,EPIC,MPP 2015-2020 (LTA-4),,,31 Jan 2015,31 Jan 2015,1 Jan 2020,58.9,
Middle East,Saudi Arabia,593,Safaniya/Zuluf/Berri,Maintain Potential Program 2016-2020,Saudi Aramco,Tendering,Engineering,Engineering Services MPP 2015-2020,,,1 Jun 2015,1 Jun 2015,30 Jun 2020,60.9,
Middle East,Saudi Arabia,593,Safaniya/Zuluf/Berri,Maintain Potential Program 2016-2020,Saudi Aramco,Tendering,EPIC,MPP 2015-2020 (LTA-1 Safaniya),,30 Oct 2014,1 Jan 2016,1 Jan 2016,1 Jan 2020,47.9,"09/14: It is understood the first LTA package will relate to guaranteed scope to be bid under a lump sum contract basis. This package will be awarded to a single contractor, while the other three LTA agreements will be awarded to multi-contractors, and are understood to be bid under unit rate basis."
Middle East,United Arab Emirates,,Hail,Hail Gas Development,GASCO,Planned,EPIC,EPIC Hail Gas Development,,,5 Apr 2017,5 Apr 2017,1 Sep 2020,40.8,
Middle East,United Arab Emirates,Ruwais,Das Island,Integrated Gas Devt (IGD) expansion,GASCO,Tendering,EPIC,EPIC for trunkline Das Island to onshore,"Hyundai Heavy Industries, McDermott, NPCC",15 Dec 2014,15 Apr 2015,15 Apr 2015,31 Mar 2019,47.4,"10/14: Yet to call for commercial proposals. Meanwhile, the company has also made some changes to the scope of work. These include changing the foundation type for the two tripods to grouting piles, among others.
09/14: Bid clarification meeting to take place this month, followed by an issue of the commercial tender shortly after. Offshore installation is scheduled for commencement between late 2016 and early 2017. 
07/14: Three pre-qualified bidders invited to bid."
Middle East,United Arab Emirates,,RAK B,RAK B tie-back to Saleh,DNO,Planned,EPIC,1 unmanned platform tied back to Saleh,,,15 Apr 2015,15 Apr 2015,15 Apr 2017,24.0,
Northwest Europe,Norway,17/12,Bream,Bream (Norway),Premier,Tendering,EPIC,Flowlines and umbilicals,,,2 Feb 2015,2 Feb 2015,,,"04/14: Premier understood to be considering splitting general construction and diving tasks into separate tenders. 

Technip and Subsea 7 currently believed to control the only capable vessels to carry out the diving scope."
Northwest Europe,Norway,17/12,Bream,Bream (Norway),Premier,Tendering,EPC,Subsea trees,,,2 Feb 2015,2 Feb 2015,,,"04/14: Premier understood to be considering splitting general construction and diving tasks into separate tenders. 

Technip and Subsea 7 currently believed to control the only capable vessels to carry out the diving scope."
Northwest Europe,Norway,17/12,Bream,Bream (Norway),Premier,Tendering,Lease,FPSO supply,Teekay Offshore,,14 Sep 2015,8 Oct 2018,,,"03/14: No FPSO contract awarded yet, but looks to be a Sevan/Teekay unit if the project goes ahead.
01/14: Operatorship has transferred to Premier; unclear whether Teekay contract will still stand. 
6/13: Teekay supplying newbuild FPSO.  
11/12: Petrojarl 1 no longer considered a contender for this project.

03/12: FPSO contract expected in Q2, 2012, vessel selected, says Premier. 
07/11: project delayed until 2016

3/11: tender exercise for an FPSO being completed and a contractor/vessel being shortlisted

11/10: Award now expected in the first quarter of 2011"
Northwest Europe,Norway,PL532,Skrugard/Havis,Johan Castberg (Skrugard/Havis),Statoil,Planned,EPIC,Flowlines & umbilicals,,,27 Oct 2016,27 Oct 2016,,,
Northwest Europe,Norway,PL532,Skrugard/Havis,Johan Castberg (Skrugard/Havis),Statoil,Planned,EPC,Subsea trees,,,3 Nov 2016,3 Nov 2016,,,
Northwest Europe,Norway,,Skrugard/Havis,Johan Castberg (Skrugard/Havis),Statoil,Planned,EPIC,EPIC export line,,,3 Nov 2015,1 Sep 2016,5 Nov 2019,38.0,
Northwest Europe,Norway,16/2,Johan Sverdrup (Avaldsnes/Aldous Major South),Johan Sverdrup Phase I (Aldous/Avaldsnes),Statoil,Planned,Installation,Install 4 platforms,,,1 Jan 2015,1 Jul 2017,,,
Northwest Europe,Norway,16/2,Johan Sverdrup (Avaldsnes/Aldous Major South),Johan Sverdrup Phase I (Aldous/Avaldsnes),Statoil,Planned,EPIC,Pipelines,,,1 Jul 2015,27 Oct 2015,3 Apr 2017,17.2,
Northwest Europe,Norway,16/2,Johan Sverdrup (Avaldsnes/Aldous Major South),Johan Sverdrup Phase I (Aldous/Avaldsnes),Statoil,Planned,EPC,Prod + Accom plats Jackets,,,1 Nov 2014,1 Mar 2015,1 Dec 2017,33.0,"07/14: Statoil has launched the prequalification process covering four platforms for the first phase of its Johan Sverdrup development. Jackets for processing and accommodation not specifically mentioned in this prequalification process. Kvaerner has secured a letter of intent from Statoil to engineer, procure and fabricate the sub-structures for the drilling and riser platforms."
Northwest Europe,Norway,16/2,Johan Sverdrup (Avaldsnes/Aldous Major South),Johan Sverdrup Phase I (Aldous/Avaldsnes),Statoil,Prequalification,EPC,Topsides fabrication EPC,Kvaerner,,1 Nov 2014,1 Mar 2015,1 Dec 2017,33.0,
Northwest Europe,Norway,"6406/3, 6507/7","Maria (+ Tyrihans, Heidrun)",Maria (Norway),Wintershall,Planned,EPC,"Pipeline, subsea and construction",,,6 Jun 2016,6 Jun 2016,,,"10/14: Because of delays to the schedule and prices offered this will be retendered in early 2016 to existing bidders. Terms and conditions finalised, looking for repriced offers. 
05/14: Tender being evaluated. Will not be awarded before August."
Northwest Europe,Norway,34/7,Snorre,Snorre C,Statoil,Planned,Construction/Fabrication,Newbuild TLP,,,31 Dec 2016,31 Dec 2016,,,
Northwest Europe,Norway,,Snorre,Snorre C,Statoil,Planned,Installation,Platform Snorre C TLP,,,31 Dec 2017,31 Dec 2017,,,
Northwest Europe,Norway,34/11,Valemon,Valemon,Statoil,Planned,Installation,Valemon-Huldra exportline,,,1 May 2015,1 May 2015,,,07/14: Statoil has received consent from the Petroleum Safety Authority Norway to use the Valemon facility and associated installations on the Valemon field. The gas pipeline comprises the altered Heimdal-Huldra pipe and a new Huldra-Valemon pipe
Northwest Europe,United Kingdom,"23/16b, 23/16c, 23/21",Arran (+ Lomond),Arran,Dana Petroleum,Planned,EPIC,Flowlines and umbilicals,"Saipem, Subsea 7, Technip",,3 Oct 2016,3 Oct 2016,,,"08/12: Operator said to prefer ""big players"" for award."
Northwest Europe,United Kingdom,30/13,Austen (Jacqui) (+ Judy),Austen (Jacqui),GDF Suez,Planned,EPIC,Flowlines and umbilicals,,,16 Jun 2015,16 Jun 2015,,,
Northwest Europe,United Kingdom,30/13,Austen (Jacqui),Austen (Jacqui),GDF Suez,Planned,EPC,Subsea tree,,,16 Jun 2015,16 Jun 2015,,,
Northwest Europe,United Kingdom,22/7,Aviat,Aviat,Apache,Tendering,EPC,Umbilical,,,6 Nov 2014,6 Nov 2014,24 Aug 2015,9.5,
Northwest Europe,United Kingdom,22/7,Aviat,Aviat,Apache,Tendering,EPIC,Flowline,,,6 Nov 2014,6 Nov 2014,24 Aug 2015,9.5,
Northwest Europe,United Kingdom,9/3b,Bentley,Bentley First Phase Development (FPD),Xcite Energy Resources,Planned,EPIC,EPIC flowlines and umbilicals,,,10 Nov 2014,4 Apr 2016,3 Apr 2017,11.9,
Northwest Europe,United Kingdom,9/3b,Bentley,Bentley First Phase Development (FPD),Xcite Energy Resources,Planned,EPC,Subsea trees EPC,,,10 Nov 2014,2 Feb 2015,29 May 2017,27.8,
Northwest Europe,United Kingdom,42/13,Breagh,Breagh Phase II,RWE Dea,Planned,Installation,Breagh Bravo installation,,,2 Feb 2015,6 Jun 2016,6 Nov 2017,17.0,
Northwest Europe,United Kingdom,42/13,Breagh,Breagh Phase II,RWE Dea,Planned,EPC,Breagh Bravo platform,,,3 Nov 2014,3 Nov 2014,,,
Northwest Europe,United Kingdom,42/13,Breagh,Breagh Phase II,RWE Dea,Planned,EPC,Pipeline,,,3 Nov 2014,3 Nov 2014,,,
Northwest Europe,United Kingdom,3/28a,Bressay,Bressay,Statoil,Planned,EPIC,Flowlines,,,11 Nov 2015,11 Nov 2015,,,05/13: Mariner flowlines EPIC to be awarded within May. Contract will include option for Bressay. Contract award decision will be made close to the end of 2013 when the project final investment decision will be made.
Northwest Europe,United Kingdom,3/28a,Bressay,Bressay,Statoil,Planned,EPC,Platform jacket,,,11 Nov 2015,11 Nov 2015,,,"01/14: FID was due to be made at end of 2013 but decision has been made to delay development to rework concept. FID timeline unknown but development delayed for at least a year. 
05/13: Decision to either excercise Bressay option awarded to Dragados on Mariner contract or to go back into market will made when final investment decision is made close to the end of 2013. 
This contract is an option on the Mariner tender. 
DG3 - Oct 2013"
Northwest Europe,United Kingdom,3/28a,Bressay,Bressay,Statoil,Planned,EPC,Topsides,,,11 Nov 2015,11 Nov 2015,,,"01/14: FID was due to be made at end of 2013 but decision has been made to delay development to rework concept. FID timeline unknown but development delayed for at least a year. 
05/13: Decision to either excercise Bressay option awarded to DSME on Mariner contract or to go back into market will made when final investment decision is made close to the end of 2013. 
This contract is likely to be an option on the Mariner contract."
Northwest Europe,United Kingdom,16/26,Caledonia,Caledonia Redevelopment,Premier,Planned,EPC,Subsea EPC,,,6 Jul 2015,6 Jul 2015,4 Apr 2016,9.0,
Northwest Europe,United Kingdom,16/26,"Caledonia (+ Britannia, Glamis)",Caledonia Redevelopment,Premier,Planned,EPIC,Pipelines EPIC,,,22 Jun 2015,22 Jun 2015,4 Apr 2016,9.4,
Northwest Europe,United Kingdom,23/16,Columbus (+ Lomond),Columbus,Serica Energy,Planned,EPIC,Flowlines and umbilicals,,,4 May 2015,4 May 2015,11 Aug 2016,15.2,"07/14: Serica started pre-qualifying contractors in Q1 2013, but the process was put on hold, after BG cancelled the construction of the Lomond BLP, to which Columbus was planned to be tied to"
Northwest Europe,United Kingdom,23/16,Columbus,Columbus,Serica Energy,Planned,EPC,Subsea trees,,,4 May 2015,4 May 2015,7 Mar 2016,10.1,"07/14: Serica started pre-qualifying contractors in Q1 2013, but the process was put on hold, after BG cancelled the construction of the Lomond BLP, to which Columbus was planned to be tied to"
Northwest Europe,United Kingdom,9/28a,Crawford/Porter,Crawford/Porter,EnQuest,Planned,EPC,Subsea Trees,,,3 Oct 2016,3 Oct 2016,,,
Northwest Europe,United Kingdom,9/28a,Crawford/Porter,Crawford/Porter,EnQuest,Planned,EPIC,Pipelay,,,3 Oct 2016,3 Oct 2016,,,
Northwest Europe,United Kingdom,22/25a,Culzean,Culzean,Maersk Oil,Planned,EPIC,Flowlines & umbilicals,,,10 Nov 2014,10 Nov 2014,,,
Northwest Europe,United Kingdom,211/23,Dunlin,Dunlin Decommissioning,Fairfield,Planned,EPIC,Removal EPIC,,,5 Jun 2017,1 May 2018,6 Jul 2020,26.1,"If reverse installation is chosen, then there would be two disconnection and module separation campaigns - campaign 1, 130 days for preparation of removal of all topsides modules, cranes and flare boom. Campaign 2 - 80 days prepartion of removal of the module support frame. This would take 80 days. Accommodation unit would also be rquired. The removal campagin would be carried out by a heavy lift vessel in two further campaigns, one 30-day campaign and one 14-day campaign."
Northwest Europe,United Kingdom,,,Gateway Gas Storage Project,Gateway Storage Company,Planned,EPC,EPC for 20 platforms,,,28 May 2018,28 May 2018,22 Feb 2021,32.8,
Northwest Europe,United Kingdom,,,Gateway Gas Storage Project,Gateway Storage Company,Planned,EPIC,Flowlines and umbilicals EPIC,,,28 May 2018,28 May 2018,,,
Northwest Europe,United Kingdom,,,Gateway Gas Storage Project,Gateway Storage Company,Planned,EPIC,Export lines EPIC,,,28 May 2018,28 May 2018,,,
Northwest Europe,United Kingdom,,,Gateway Gas Storage Project,Gateway Storage Company,Planned,Installation,Installation of 20 platforms,,,28 May 2018,4 May 2020,,,
Northwest Europe,United Kingdom,"3/3, 3/3b, 3/8b","Staffa (+ Ninian, Orlando)",Kells (ex-Staffa Redevelopment),Iona Energy,Planned,EPIC,Pipelines EPIC,,,28 Aug 2015,28 Aug 2015,28 Aug 2017,24.0,"2013: Iona Energy is reassessing the contracting strategy for Orlando and Kells since taking on 100 per cent interest in Orlando. Likely that there will be one contract covering both, but things are still up in the air at the moment.  MPX had started the contracting process and had recevied bids."
Northwest Europe,United Kingdom,205/21a,Lancaster,Lancaster,Hurricane Exploration,Planned,EPC,Subsea EPC,,,6 Apr 2015,6 Apr 2015,3 Sep 2018,40.9,"RFI issued to vendors. plan is to install 3 trees in 2014, 4 in 2015 and a further 3 in 2016."
Northwest Europe,United Kingdom,205/21a,Lancaster,Lancaster,Hurricane Exploration,Planned,Lease,FPSO lease,,,1 Apr 2015,28 Nov 2018,,,
Northwest Europe,United Kingdom,205/21a,Lancaster,Lancaster,Hurricane Exploration,Planned,Engineering,FEED,,,29 Sep 2015,29 Sep 2015,28 Dec 2016,15.0,
Northwest Europe,United Kingdom,,Leadon,Leadon Decommissioning,Maersk Oil,Planned,Removal EPIC,Removal of pipeline bundles,,,1 Dec 2014,6 Apr 2015,3 Aug 2015,3.9,
Northwest Europe,United Kingdom,,Leadon,Leadon Decommissioning,Maersk Oil,Planned,Removal EPIC,Removal of 3x300 tonne manifolds,,,1 Dec 2014,6 Apr 2015,29 Jun 2015,2.8,
Northwest Europe,United Kingdom,211/19a,Murchison,Murchison Decommissioning,CNR International,Tendering,Removal EPIC,Subsea removal EPIC,,,21 Nov 2014,21 Nov 2014,1 Nov 2019,59.2,
Northwest Europe,United Kingdom,15/21b,Perth/Lowlander,Perth,Parkmead Group,Planned,Lease,FPSO lease,,,1 Jul 2016,1 Nov 2019,,,
Northwest Europe,United Kingdom,15/21b,Perth/Lowlander,Perth,DEO,Planned,EPIC,Pipelines EPIC,,,26 Jan 2015,26 Jan 2015,25 Sep 2017,31.9,
Northwest Europe,United Kingdom,15/21b,Perth/Lowlander,Perth,DEO,Planned,EPC,Subsea EPC,,,19 Jan 2015,19 Jan 2015,25 Sep 2017,32.1,
Northwest Europe,United Kingdom,Port Meridian LNG,Port Meridian LNG,Port Meridian LNG,Port Meridian Energy,Planned,EPIC,Pipeline,,,6 Jul 2015,6 Jul 2015,,,7/11: tender to start in Q1 2012.
Northwest Europe,United Kingdom,Port Meridian LNG,Port Meridian LNG,Port Meridian LNG,Port Meridian Energy,Tendering,EPC,FSRU EPC,,,3 Nov 2014,3 Nov 2014,31 Oct 2018,47.8,
Northwest Europe,United Kingdom,213/26,Rosebank Lochnagar,Rosebank,Chevron,Tendering,Installation,Pipelay,,,12 Jan 2015,12 Jan 2015,18 Apr 2016,15.1,
Northwest Europe,United Kingdom,213/26,Rosebank Lochnagar,Rosebank,Chevron,Tendering,EPC,FPSO turret,"APL, Bluewater, SBM, Sembawang Shipyard Pte Limited",,12 Jan 2015,12 Jan 2015,19 Jun 2017,29.1,
Northwest Europe,United Kingdom,213/26,Rosebank Lochnagar,Rosebank,Chevron,Tendering,EPIC,Flowlines and umbilicals,Technip,,12 Jan 2015,7 Sep 2015,4 Sep 2017,23.9,
Northwest Europe,United Kingdom,213/26,Rosebank Lochnagar,Rosebank,Chevron,Tendering,EPC,Pipelines,,,12 Jan 2015,6 Apr 2015,7 Aug 2017,28.0,
Northwest Europe,United Kingdom,,Thames,Thames decommissioning,Perenco,Planned,Removal EPIC,Subsea well P&A,,,30 Oct 2014,4 May 2015,29 Jun 2015,1.8,Well Ops has already carried out a study for this.
Northwest Europe,United Kingdom,,Thames,Thames decommissioning,Perenco,Planned,Removal EPIC,Platform removal EPIC,,,30 Oct 2014,4 Jan 2016,5 Dec 2016,11.0,"Platforms to be removed in 2016. As it is shallow water, some wind farm installation jackups are likely to be interested. Scaldis' Rambiz is also a likely contender."
Northwest Europe,United Kingdom,13/21a,West Wick (+ Captain),West Wick,Iona Energy,Planned,EPIC,Pipelines,,,4 Apr 2016,4 Apr 2016,,,7/11: tender to start in Q1 2012
Northwest Europe,United Kingdom,13/21a,West Wick,West Wick,Iona Energy,Planned,EPC,Subsea system,,,4 Apr 2016,4 Apr 2016,,,7/11: tender to start in Q1 2012
South America,Brazil,BS-4,Atlanta,Atlanta,Queiroz Galvao E&P,Planned,EPIC,Pipelines,,,1 Dec 2014,1 Jun 2016,31 Mar 2017,9.9,
South America,Brazil,BS-4,Atlanta,Atlanta EPS,Queiroz Galvao E&P,Tendering,Lease,Supply of an FPSO,"SBM, Teekay Offshore",,12 Nov 2014,20 Jan 2016,,,"10/14: QGEP is analyzing economic proposals in order to decide if it will get a 30,000 or a 80,000 b/d FPSO."
South America,Brazil,BS-4,Atlanta,Atlanta EPS,Queiroz Galvao E&P,Planned,EPIC,SURF,,,1 Dec 2014,1 Dec 2014,1 Dec 2015,12.0,
South America,Brazil,,Bonito,Bonito 2019,Petrobras,Planned,EPIC,Fixed platform,,,1 Aug 2017,1 Aug 2017,1 Aug 2019,23.9,
South America,Brazil,BS-500,Carapia,Carapia,Petrobras,Planned,Construction/Fabrication,3 subsea trees,,,1 Jul 2015,1 Jul 2015,,,
South America,Brazil,BS-500,Carapia (+ Urugua/Tambau),Carapia,Petrobras,Planned,Installation,pipelay of ppls/umbls,,,1 Jul 2015,1 Jul 2015,,,
South America,Brazil,BM-S-8,Carcara,Carcara,Petrobras,Planned,EPC,FPSO supply,,,1 Aug 2015,1 Aug 2015,15 Dec 2018,40.4,
South America,Brazil,BC-60,Catua,Catua,Petrobras,Planned,Lease,FPSO Lease,,,1 Aug 2016,6 Sep 2018,,,
South America,Brazil,,Espada,Espada Complementary,Petrobras,Planned,EPIC,EPIC,,,1 Dec 2014,1 Dec 2014,,,
South America,Brazil,,Espada,Espada Complementary,Petrobras,Planned,EPC,EPC,,,1 Dec 2014,1 Dec 2014,,,
South America,Brazil,,Espadarte,Espadarte 1 FPSO replacement,Petrobras,Planned,EPC,FPSO Supply,,,1 Sep 2015,1 Sep 2015,30 Nov 2018,38.9,
South America,Brazil,,Espadarte,Espadarte Module 3,Petrobras,Planned,Lease,FPSO Lease,,,14 Jul 2017,16 Jul 2020,,,
South America,Brazil,Transfer of Rights,Buzios (Franco),Franco 1 (P-74),Petrobras,Planned,EPC,Flexibles for Transfer of Rights projects,,,1 Jun 2015,1 Jun 2015,31 Aug 2018,38.9,
South America,Brazil,BM-S-9,Lapa (Carioca),Lapa (Carioca),Petrobras,Planned,EPIC,Carioca risers,,,30 Jun 2015,30 Jun 2015,,,"6/14: Petrobras pushed back plans and contract award is expected to be in 2015. 
5/13: bids are due back on July 19th. Installation to take place in 2015. Invited companies include Saipem, Technip, Subsea 7, Odebrecht and McDermott."
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-4 (Lula Central) - Phase 1A,Petrobras,Planned,EPIC,Riser Systems for Lula Alto and Central,,,10 Dec 2014,10 Dec 2014,1 Dec 2016,23.7,"3/13: Petrobras told IHS Petrodata that the tender will be launched soon. The previous tender was cancelled, as Petrobras only wants to see the flexible risers solution, as opposed to de-coupled riser systems."
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-7 (Lula Extremo Sul),Petrobras,Planned,Installation,Two exportlines to Rota 3,,,10 Feb 2015,2 May 2016,,,Tender for the installation of two gas exportlines to connect P-67 and P-68 to Rota 3
South America,Brazil,BM-S-11,Lula (ex-Tupi),Lula-7 (Lula Extremo Sul),Petrobras,Planned,EPC,Pre-salt Flexibles (FPSOs P 68-71),,,1 Dec 2014,1 Dec 2014,1 Aug 2018,43.9,
South America,Brazil,,Marlim Sul,Marlim Sul Module 4,Petrobras,Planned,Lease,Lease of an FPSO,,,10 Jul 2015,1 Jul 2018,,,
South America,Brazil,BC-20,Maromba,Maromba,Petrobras,Planned,Lease,FPSO Lease,,,1 Sep 2016,1 Mar 2019,,,
South America,Brazil,,Badejo,Membro Siri,Petrobras,Planned,Lease,FPSO  - Membro Siri (Badejo),,,2 May 2016,1 Oct 2019,,,
South America,Brazil,,Badejo,Membro Siri,Petrobras,Planned,EPC,SURF,,,3 Oct 2016,3 Oct 2016,3 Oct 2018,23.9,
South America,Brazil,,Badejo,Membro Siri,Petrobras,Planned,EPC,EPIC fixed plats,,,1 Nov 2016,1 Nov 2016,1 Aug 2018,20.9,
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Sul,Petrobras,Planned,EPIC,FPSO Supply,,,1 Oct 2015,1 Oct 2015,1 Sep 2018,35.0,
South America,Brazil,BC-60,Parque das Baleias,Parque das Baleias Sul,Petrobras,Planned,EPIC,SURF,,,1 May 2015,1 May 2015,1 Aug 2018,39.0,
South America,Brazil,ES-M-525 / BM-ES-23 (Parque dos Doces),Parque dos Doces,Parque dos Doces,Petrobras,Planned,Lease,FPSO supply,,,2 Jun 2015,1 Jun 2018,,,
South America,Brazil,C-M-529 / BM-C-47,Pitangola - Peregrino South,Peregrino Phase 2,Statoil,Planned,EPIC,Plaform jacket,,,10 Feb 2016,10 Feb 2016,,,
South America,Brazil,C-M-529 / BM-C-47,Pitangola - Peregrino South,Peregrino Phase 2,Statoil,Planned,EPIC,Platform topsides,,,10 Feb 2016,10 Feb 2016,,,
South America,Brazil,C-M-529 / BM-C-47,Pitangola - Peregrino South,Peregrino Phase 2,Statoil,Planned,EPIC,Peregrino Ph.2 Pipelines,,,15 Jan 2016,15 Jan 2016,15 Jan 2020,47.9,
South America,Brazil,BM-S-11,Lula (ex-Tupi),Rota 3 (Comperj/Marica),Petrobras,Tendering,Installation,Rota 3 retender (shallow waters),Allseas,12 May 2014,20 Nov 2014,30 Jun 2015,,,
South America,Brazil,BM-S-11,Lula (ex-Tupi),Rota 3 (Comperj/Marica),Petrobras,Tendering,Installation,Rota 3 retender (ultradeep waters),Allseas,12 May 2014,20 Nov 2014,30 Jun 2015,,,
South America,Brazil,BM-S-11,Lula (ex-Tupi),Rota 3 (Comperj/Marica),Petrobras,Tendering,Installation,Rota 3 retender (deep waters),Allseas,12 May 2014,20 Nov 2014,30 Jun 2015,,,
South America,Brazil,Transfer of Rights,Sepia (Nordeste de Tupi),Sepia (P-72),Petrobras,Planned,EPC,Topsides integration for P-72 & P-73,,,10 Feb 2015,10 Feb 2015,15 Aug 2017,30.1,
South America,Brazil,Transfer of Rights,Sepia (Nordeste de Tupi),Sepia (P-72),Petrobras,Planned,EPC,Flexibles for P-72 and P-73,,,10 Feb 2015,10 Feb 2015,31 Aug 2017,30.6,
South America,Brazil,SEAL-M-495 / BM-SEAL-10,Piranema Sul,Sergipe Aguas Profundas,Petrobras,Planned,Lease,FPSO Lease,,,1 Jun 2015,30 Jun 2018,,,
South America,Brazil,C-M-401 / BM-C-36,Tartaruga,Tartaruga,Petrobras,Tendering,Lease,FPSO Lease,"Bumi Armada, Modec",28 Jul 2014,20 Nov 2014,1 Dec 2017,1 Dec 2037,239.5,"08/2014: Interested companies are: Schahin/Modec, UTC Engenharia/Bumi Armada, and Odebrecht/Teekay
FPSO CAPEX estimated at USD 1.3B; 20-yr lease"
South America,Falkland Islands,14/10 (PL032),Sea Lion Ph 2/Casper/Casper South,Sea Lion Phase 1,Premier,Tendering,FEED,FSO FEED,,,31 Dec 2014,31 Dec 2014,,,
South America,Falkland Islands,14/10 (PL032),Sea Lion Ph 2/Casper/Casper South,Sea Lion Phase 1,Rockhopper,Planned,Lease,Platform Lease,,,15 May 2015,30 Nov 2017,,,"7/12: start up pushed back by a year. FDP expected to be submitted in 1H 2014.
4/12: Lease contract planned to be awarded in Q2 2013. Rockhopper has estimated an annual lease cost for the FPSO at USD 325,000 per day over the life of the field."
South America,Falkland Islands,14/10 (PL032),Sea Lion Ph 2/Casper/Casper South,Sea Lion Phase 1,Rockhopper,Planned,EPC,Subsea Production System,,,10 Mar 2015,10 Mar 2015,1 Dec 2017,32.7,
Southeast Asia,Brunei Darussalam,,,Berakas Power gas pipeline,Berakas Power Management Company (BPMC),Prequalification,EPIC,Installation of 44km offshore pipeline,,,31 Oct 2014,31 Oct 2014,31 Mar 2015,5.0,"07/14: Invitation to bid will be delayed.
03/14: EOI to close March 20, followed by Pre-Q process to end April 11."
Southeast Asia,Brunei Darussalam,14,Champion (+ Champion West),Champion Main Oil Line (MOL),BSP,Tendering,Installation,BSP multi-year pipeline replacement (2015-2017),"GOM Resources, McDermott, TL Offshore",,30 Nov 2014,30 Nov 2014,30 Nov 2015,12.0,"08/14: Tender still in progress.
06/14: Programme will also include riser installation scope. The rigid riser will have a 24-in outer diameter and bidders for the tender are expected to mobilise a derrick barge.
06/14: Shell conducting technical clarifications. South Korea's Hyundai Heavy Industries declined while Swiber Offshore did not participate. The 24-in 80km long and the 12-in short pipeline fall under the PID 2020 replacement, the remainder as pipeline replacement scope.
05/14: The work scope for 2015 will cover a new 24-in 80km long export pipeline, and eight other pipelines with various lengths from 0.5km until 7km and diameters from 4-in to 12-in measuring a total length of 20km. The scope for 2016 and 2017 are smaller, covering seven and six pipelines respectively; with lengths ranging between 0.5km and 7km, and diameters between 4-in and 8-in."
Southeast Asia,Brunei Darussalam,14,Champion,Champion Waterflood: Phase B2/3,BSP,Tendering,Installation,T&I for 10 topsides + 2 pipelines (2015-2017),COOEC,,30 Nov 2014,1 Apr 2015,30 Jun 2017,26.9,"10/14: BSP expected to award tender soon.
06/14: Bid evaluation still ongoing. Market sources suggest that McDermott, SapuraAcergy, Saipem, COOEC and possibly others are all potential participants.  
01/14: T&I tender issued. It is understood the scope pertains mainly to the installation of structures, which are understood to consist of around eight to nine topsides, with two of which being bound for processing platforms and the remainder for the wellhead and other platforms. It is understood four topsides for the ongoing Champion water flood project have been included in the scope. 
11/13: The operator is understood to have included part of the T&I scope for the ongoing Champion water flood project into the contract. These will include all the flowlines plus four topsides of the water flood project."
Southeast Asia,Cambodia,Block A,Apsara,Block A Phase 1A,KrisEnergy,Planned,Lease,Lease of Apsara FSO,,,31 Aug 2015,1 Sep 2017,,,
Southeast Asia,Cambodia,Block A,Apsara,Block A Phase 1A,Chevron,Planned,EPIC,EPIC for platform and flowline,,,1 Jul 2015,30 Sep 2015,30 Sep 2017,24.0,
