FieldsBase Requirement Search - Data Download,,,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:50 for Dirk Rook,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Region,Country,Block,Field,Project,Operator,Contract status,Contract type,Work scope,Contractor bids,Commercial bids due,Award date,Start date,End date,Duration (month),Remark
Central America,Trinidad and Tobago,,Soldado,West and South West Soldado Phase 2,PETROTRIN,Tendering,EPIC,Pipelines and risers,,2 May 2013,10 Dec 2014,10 Dec 2014,,,"tender covers the design, inspection, material, fabrication, and installation of subsea pipelines and risers, as well as the commissioning of said pipelines"
Central America,Trinidad and Tobago,,Soldado,West and South West Soldado Phase 2,PETROTRIN,Tendering,Lease,BOOT contract,,25 May 2013,10 Dec 2014,10 Dec 2015,,,"5/13: Petrotrin seeking party to build, own, operate and transfer the main production facility for its Soldado fields."
Far East,China,,,China to HK gas pipeline,Husky Energy,Prequalification,Installation,Installation of China-HK pipeline,"600,001,552, COOEC, Hyundai Heavy Industries",,1 Dec 2014,1 Dec 2014,21 Oct 2015,10.6,"10/13:  Still no official tender. It is understood companies that have prequalified in the EPCIC tender include Hyundai Heavy Industries, COOEC, and possibly a Chinese company Penglai-Jutal Offshore Engineering (PJOE), and one or two others."
Far East,China,29/04,Liuhua (LH) 16-2,Liuhua (LH) 16-2,CNOOC,Planned,Lease,FPSO lease,,,30 Jun 2016,31 Jul 2018,,,
Far East,China,29/04,Liuhua (LH) 16-2,Liuhua (LH) 16-2,CNOOC,Planned,EPIC,Subsea scope,,,15 Jun 2015,15 Jun 2015,,,
Far East,China,29/04,Liuhua (LH) 16-2,Liuhua (LH) 16-2,CNOOC,Planned,Construction/Fabrication,FPSO fabrication,,,18 May 2015,31 Jul 2016,31 Jul 2018,23.9,"10/14: Tender expected in H1 2015
05/14: Interested companies include COOEC for topsides fabrication, Shanghai Waigaoqiao and DSIC for hull construction. SBM, APL, SOFEC and Bluewater are vying for the mooring system tender."
Far East,China,29/04,Liuhua (LH) 16-2 (+ Liuhua (LH) 11-1),Liuhua (LH) 16-2,CNOOC,Planned,FEED,FEED on LH 16-2 and LH 11-1 TLPs,,,31 Oct 2014,31 Oct 2014,,,05/14: FEED on LH 16-2 and LH 11-1 TLPs expected to be awarded in Q3 2014
Far East,China,29/26,Liuhua (LH) 29-1 (+ Liwan (LW) 3-1),Liuhua (LH) 29-1,Husky Energy,Tendering,EPIC,EPIC for subsea facilities,,,18 Nov 2014,1 Dec 2014,,,09/13: EPIC tender for subsea facilities expected to be launched in late 2013 or early 2014
Far East,China,Yangjiang31/32,Wenchang (WC) 9-2/9-3/10-3,Wenchang (WC) 9-2/9-3/10-3,CNOOC,Planned,EPIC,EPCIC for platform and pipelines,,,30 Sep 2015,30 Sep 2015,,,
Far East,China,Yangjiang31/32,Wenchang (WC) 9-2/9-3/10-3,Wenchang (WC) 9-2/9-3/10-3,CNOOC,Planned,EPC,Six subsea trees,,,1 Sep 2015,1 Sep 2015,,,
Far East,South Korea,,,Ulsan Port Buoy Replacement Project,KNOC,Planned,Installation,Ulsan Port Buoy Replacement Project,,,1 Mar 2015,1 Mar 2015,1 Sep 2015,6.0,"10/14: T&I tender expected in Q4 2014.
09/14: Ulsan Port Buoy Replacement Project will involve the replacement of two CALM buoys and two crude transfer pipelines of a combined 10Km in length and outer diameters of 40-in and 14-in. The project is currently at the FEED stage, and a formal invitation to bid is not expected to be issued until fourth quarter 2014 or first quarter 2015. At this time, it is also unclear whether an open tender will be issued, or KNOC will enter into a direct negotiation with Korean companies for the offshore installation scope scheduled for 2015."
Indian Ocean,Bangladesh,,,Bangladesh Exportline project,Bangladesh Petroleum,Planned,Installation,Exportline installation,,,15 Jan 2015,15 Jan 2015,30 Jun 2015,5.4,
