FieldsBase Subsea Tree Search - Data Download,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:21 for Dirk Rook,,,,,,,,,,,,,
,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Country,Block,Field,Subsea id (within field),Project,Operator,Status,Function,Subsea type,Installation year,Tree supplier,Well water depth (m),Remark
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco 1 (P-74),Petrobras,Construction,,,2016,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco 1 (P-74),Petrobras,Construction,,,2016,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco 1 (P-74),Petrobras,Construction,,,2016,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco 1 (P-74),Petrobras,Construction,,,2016,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco 1 (P-74),Petrobras,Construction,,,2016,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco 1 (P-74),Petrobras,Construction,,,2016,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco 1 (P-74),Petrobras,Construction,,,2017,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco 1 (P-74),Petrobras,Construction,,,2017,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#1,Franco EWT,Petrobras,Installed,Oil Producer,,2012,,,
South America,Brazil,Transfer of Rights,Buzios (Franco),#2,Franco EWT,Petrobras,Construction,,,2016,Aker Solutions,"2,134",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#6,Franco Leste,Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2017,,,
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2017,,,
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2018,,,
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#4,Franco NW (P-77),Petrobras,Planned,,,2018,,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Water Injector,,2016,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Oil Producer,,2016,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Oil Producer,,2016,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Oil Producer,,2016,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Oil Producer,,2016,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Oil Producer,,2016,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Water Injector,,2017,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Water Injector,,2017,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Water Injector,,2017,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Water Injector,,2017,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Oil Producer,,2017,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Oil Producer,,2017,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Water Injector,,2017,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#7,Franco Sul (P-76),Petrobras,Construction,Water Injector,,2017,Cameron,"2,131",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2015,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2015,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2016,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2016,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2016,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2016,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2016,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2016,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2016,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2016,Aker Solutions,,
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2017,Aker Solutions,,
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2017,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2017,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2017,Aker Solutions,"1,800",
South America,Brazil,Transfer of Rights,Buzios (Franco),#3,Franco SW (P-75),Petrobras,Construction,,,2017,Aker Solutions,,
South America,Brazil,,Garoupinha,#1,Garoupinha,Petrobras,Installed,Oil Producer,Satellite,1980,Vetco,106,Formerly Garoupa North Field.
South America,Brazil,,Garoupinha,#1,Garoupinha,Petrobras,Installed,Oil Producer,Satellite,1982,Aker Huges,120,Formerly North Garoupa Field.
South America,Brazil,,Garoupinha,#1,Garoupinha,Petrobras,Installed,Oil Producer,Satellite,1982,Vetco,117,Produces directly through BOP.
South America,Brazil,,Garoupinha,#1,Garoupinha,Petrobras,Installed,Oil Producer,Satellite,1986,VetcoGray,115,
South America,Brazil,S-M-518 / BM-S-54,Gato do Mato,#1,Gato do Mato,Shell,Possible,Oil Producer,Satellite,2019,,"2,011",
South America,Brazil,BES-100,Golfinho,#1,Golfinho Module 1,Petrobras,Installed,,Cluster,2006,FMC,"1,397",
South America,Brazil,BES-100,Golfinho,#1,Golfinho Module 1,Petrobras,Installed,,Cluster,2006,FMC,"1,397",
South America,Brazil,BES-100,Golfinho,#1,Golfinho Module 1,Petrobras,Installed,,Cluster,2006,FMC,"1,397",
South America,Brazil,BES-100,Golfinho,#1,Golfinho Module 1,Petrobras,Installed,,Cluster,2006,FMC,"1,397",
South America,Brazil,BES-100,Golfinho,#1,Golfinho Module 1,Petrobras,Installed,,Cluster,2007,FMC,"1,397",
South America,Brazil,BES-100,Golfinho,#1,Golfinho Module 1,Petrobras,Installed,,Cluster,2007,FMC,"1,397",
South America,Brazil,BES-100,Golfinho,#1,Golfinho Module 1,Petrobras,Installed,,Cluster,2007,FMC,"1,397",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Oil Producer,Cluster,2006,,"1,397",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Oil Producer,Cluster,2006,,"1,397",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Oil Producer,Cluster,2007,,"1,397",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Water Injector,Cluster,2007,,"1,397",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Water Injector,Cluster,2007,,"1,397",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Gas Producer,Cluster,2008,,"1,372",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Water Injector,Cluster,2008,,"1,397",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Oil Producer,Cluster,2010,,"1,397",
South America,Brazil,BES-100,Golfinho,#2,Golfinho Module 2,Petrobras,Installed,Gas Producer,Cluster,2010,,"1,372",
South America,Brazil,BES-100,Golfinho,#3,Golfinho Module 2 (EWT),Petrobras,Installed,,,2006,,"1,298",
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,146,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,149,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,146,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,149,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,149,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,149,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,149,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,149,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,149,
South America,Brazil,BM-S-3,Guaiama (ex-Newton),#1,Guaiama,Petrobras,Possible,,Satellite,2021,,149,
South America,Brazil,BM-S-11,Iara,#2,Iara EWT,Petrobras,Installed,,Cluster,2013,,"2,230",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2017,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2017,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2017,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2017,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2017,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#3,Iara Horst (P-70),Petrobras,Planned,,Cluster,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2018,,"2,134",
South America,Brazil,BM-S-11,Iara,#4,Iara NW (P-71),Petrobras,Planned,,,2019,,"2,134",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Oil Producer,,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Oil Producer,,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Oil Producer,,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Oil Producer,,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Oil Producer,,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Oil Producer,,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Gas Injector,,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Gas Injector,,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Gas Injector,,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Gas Injector,,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Gas Injector,,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Gas Injector,,2016,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Oil Producer,,2016,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Oil Producer,,2016,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Gas Injector,,2016,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#4,Iracema (Cernambi) Norte (Pilot 6),Petrobras,Construction,Gas Injector,,2016,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Installed,Oil Producer,Cluster,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Gas Injector,Cluster,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Oil Producer,Cluster,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Oil Producer,Cluster,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Gas Injector,Cluster,2014,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Oil Producer,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Oil Producer,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Gas Injector,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Gas Injector,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Oil Producer,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Gas Injector,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Oil Producer,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Gas Injector,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#1,Iracema (Cernambi) Sul (Pilot 5),Petrobras,Construction,Oil Producer,Cluster,2015,Cameron,"2,195",
South America,Brazil,BM-S-11,Iracema (also Cernambi),#2,Iracema (Cernambi) Sul EWT,Petrobras,Installed,Oil Producer,Cluster,2011,,"2,210",
South America,Brazil,,Isolado,#1,Isolado,Petrobras,Installed,Oil Producer,Satellite,1987,VetcoGray,96,
South America,Brazil,,Isolado,#1,Isolado,Petrobras,Installed,Oil Producer,Satellite,1988,National Supply,179,
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2019,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2019,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2019,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2019,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2019,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2019,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2019,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2020,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2020,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2020,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2020,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2020,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2020,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2020,,"1,341",
South America,Brazil,C-M-61 / BM-C-32,Itaipu,#1,Itaipu,BP,Possible,,,2020,,"1,341",
South America,Brazil,Transfer of Rights,Itapu (Florim),#1,Itapu (Florim),Petrobras,Possible,,,2020,,"1,829",
South America,Brazil,Transfer of Rights,Itapu (Florim),#1,Itapu (Florim),Petrobras,Possible,,,2020,,"1,829",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Oil Producer,Cluster,2009,,"1,067",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Oil Producer,Cluster,2009,,"1,067",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Oil Producer,Cluster,2009,,"1,067",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Oil Producer,Cluster,2009,,"1,067",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Oil Producer,Cluster,2010,,"1,067",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Oil Producer,Cluster,2010,,"1,067",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Oil Producer,Cluster,2010,,"1,067",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Oil Producer,Cluster,2010,,"1,067",
South America,Brazil,,Marlim Leste,#2,Jabuti - Marlim Leste Module 2,Petrobras,Installed,Gas Producer,Cluster,2010,,"1,067",
South America,Brazil,,Jabuti,#1,"Jabuti - Marlim Leste Module 2, Jabuti EWT",Petrobras,Installed,Oil Producer,,2008,,"1,798",
South America,Brazil,BC-60,Parque das Baleias,#14,Jubarte EPS,Petrobras,Installed,,Satellite,2006,FMC,"1,079",
South America,Brazil,BC-60,Parque das Baleias,#11,Jubarte Phase I,Petrobras,Installed,,Cluster,2006,,"1,300",
South America,Brazil,BC-60,Parque das Baleias,#11,Jubarte Phase I,Petrobras,Installed,,Cluster,2007,,"1,300",
South America,Brazil,BC-60,Parque das Baleias,#11,Jubarte Phase I,Petrobras,Installed,,Cluster,2007,,"1,300",
South America,Brazil,BC-60,Parque das Baleias,#11,Jubarte Phase I,Petrobras,Installed,,Cluster,2007,,"1,300",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2010,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2010,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2010,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Water Injector,Cluster,2010,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Water Injector,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Water Injector,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Water Injector,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Water Injector,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2011,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2012,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2012,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2012,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2012,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2012,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Oil Producer,Cluster,2012,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Water Injector,Cluster,2012,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#15,Jubarte Phase II (P-57),Petrobras,Installed,Water Injector,Cluster,2012,FMC,"1,080",
South America,Brazil,BC-60,Parque das Baleias,#12,Jubarte/Pre-salt well/ESS-103,Petrobras,Installed,Oil Producer,Satellite,2008,,975,
South America,Brazil,BM-S-24,Jupiter,#1,Jupiter,Petrobras,Possible,,Cluster,2018,,"2,134",
South America,Brazil,BM-S-24,Jupiter,#1,Jupiter,Petrobras,Possible,,Cluster,2018,,"2,134",
South America,Brazil,BM-S-24,Jupiter,#1,Jupiter,Petrobras,Possible,,Cluster,2019,,"2,134",
South America,Brazil,BM-S-24,Jupiter,#1,Jupiter,Petrobras,Possible,,Cluster,2019,,"2,134",
South America,Brazil,BM-S-24,Jupiter,#1,Jupiter,Petrobras,Possible,,Cluster,2019,,"2,134",
