FieldsBase Subsea Tree Search - Data Download,,,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 15:21 for Dirk Rook,,,,,,,,,,,,,
,,,,,,,,,,,,,
Filters:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
Region,Country,Block,Field,Subsea id (within field),Project,Operator,Status,Function,Subsea type,Installation year,Tree supplier,Well water depth (m),Remark
Australia/New Zealand,Australia,AC/L7,Cash-Maple Development,#3,Cash-Maple Development,PTTEP,Possible,Gas Producer,Satellite,2019,,88,
Australia/New Zealand,Australia,VIC/P44,Casino,#1,Casino,Santos,Installed,,,2005,Cooper Cameron,47,
Australia/New Zealand,Australia,VIC/P44,Casino,#1,Casino,Santos,Installed,,,2005,Cooper Cameron,47,
Australia/New Zealand,Australia,,Cassini,#1,Cassini,BHP Billiton,Installed,Oil Producer,Satellite,1988,Cooper Cameron,116,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,#1,Challis-Cassini,BHP Billiton,Installed,Oil Producer,Satellite,1988,Cooper Cameron,102,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,#1,Challis-Cassini,BHP Billiton,Installed,Oil Producer,Satellite,1988,Cooper Cameron,106,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,#1,Challis-Cassini,BHP Billiton,Installed,Oil Producer,Satellite,1988,Cooper Cameron,105,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,#1,Challis-Cassini,BHP Billiton,Installed,Oil Producer,Satellite,1988,Cooper Cameron,97,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,#1,Challis-Cassini,BHP Billiton,Installed,Oil Producer,Satellite,1988,Cooper Cameron,104,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,#1,Challis-Cassini,BHP Billiton,Installed,Oil Producer,Satellite,1988,Cooper Cameron,104,
Australia/New Zealand,Australia,AC/L3,Challis-Cassini,#1,Challis-Cassini,BHP Billiton,Installed,Oil Producer,Satellite,1990,Cooper Cameron,104,
Australia/New Zealand,Australia,WA-205-P,Chrysaor,#1,Chrysaor,Chevron,Possible,,Cluster,2016,,817,
Australia/New Zealand,Australia,WA-205-P,Chrysaor,#1,Chrysaor,Chevron,Possible,,Cluster,2016,,817,
Australia/New Zealand,Australia,WA-205-P,Chrysaor,#1,Chrysaor,Chevron,Possible,,Cluster,2016,,817,
Australia/New Zealand,Australia,WA-205-P,Chrysaor,#1,Chrysaor,Chevron,Possible,,Cluster,2016,,817,
Australia/New Zealand,Australia,WA-28-L,Cimatti,#1,Cimatti,Woodside,Possible,Oil Producer,Cluster,2018,,547,
Australia/New Zealand,Australia,WA-28-L,Cimatti,#1,Cimatti,Woodside,Possible,Oil Producer,Cluster,2018,,547,
Australia/New Zealand,Australia,,Cobia,#1,Cobia,ExxonMobil,Installed,Oil Producer,Satellite,1979,Cooper Cameron,76,
Australia/New Zealand,Australia,WA-371-P,Concerto,#1,Concerto,Shell,Planned,Gas Producer,,2018,,250,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,#1,Coniston-Novara Development,Apache,Installed,Oil Producer,Cluster,2013,VetcoGray,390,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,#1,Coniston-Novara Development,Apache,Installed,Oil Producer,Cluster,2013,VetcoGray,390,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,#1,Coniston-Novara Development,Apache,Installed,Oil Producer,Cluster,2013,VetcoGray,390,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,#1,Coniston-Novara Development,Apache,Installed,Oil Producer,Cluster,2013,VetcoGray,390,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,#1,Coniston-Novara Development,Apache,Installed,Oil Producer,Cluster,2013,VetcoGray,390,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,#1,Coniston-Novara Development,Apache,Installed,Oil Producer,Cluster,2013,VetcoGray,390,
Australia/New Zealand,Australia,WA-225-P,Coniston/Novara,#2,Coniston-Novara Development,Apache,Installed,Oil Producer,,2013,VetcoGray,380,
Australia/New Zealand,Australia,AC/L5,Corallina Laminaria,#3,Corallina Laminaria,Woodside,Installed,Oil Producer,Cluster,1998,Kvaerner Brug,408,SEDCO 703 drlg.
Australia/New Zealand,Australia,AC/L5,Corallina Laminaria,#3,Corallina Laminaria,Woodside,Installed,Oil Producer,Cluster,1998,Kvaerner Brug,407,SEDCO 703 drlg.
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,#1,Corallina Laminaria,Woodside,Installed,Oil Producer,Cluster,1998,Kvaerner Brug,363,JP Kenny/CSO joint venture proj mgrs. SEDCO 703 = drlg.
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,#1,Corallina Laminaria,Woodside,Installed,Oil Producer,Cluster,1998,Kvaerner Brug,356,JP Kenny/CSO joint venture proj mgrs. SEDCO 703 = drlg.
Australia/New Zealand,Australia,AC/L5,Corallina Laminaria,#4,Corallina Laminaria,Woodside,Installed,Gas Injector,Satellite,1998,Kvaerner Brug,404,
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,#1,Corallina Laminaria,Woodside,Installed,Oil Producer,Cluster,1998,Kvaerner Brug,363,JP Kenny/CSO joint venture proj mgrs. SEDCO 703 = drlg.
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,#1,Corallina Laminaria,Woodside,Installed,Oil Producer,Cluster,1999,Kvaerner Brug,420,
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,#2,Corallina Laminaria,Woodside,Installed,,Satellite,2002,,380,
Australia/New Zealand,Australia,WA-18-L,Corallina Laminaria,#2,Corallina Laminaria,Woodside,Installed,,Satellite,2002,,380,
Australia/New Zealand,Australia,AC/L9,Crux,#1,Crux FLNG,Nexus Energy,Possible,,,2019,Cameron,168,
Australia/New Zealand,Australia,AC/L9,Crux,#1,Crux FLNG,Nexus Energy,Possible,,,2019,Cameron,168,
Australia/New Zealand,Australia,AC/L9,Crux,#1,Crux FLNG,Nexus Energy,Possible,,,2019,Cameron,168,
Australia/New Zealand,Australia,AC/L9,Crux,#1,Crux FLNG,Nexus Energy,Possible,,,2019,Cameron,168,
