FieldsBase Discovery Search - Data Download,,,,,,,,,,,
Generated by FieldsBase on 30-Oct-2014 13:48 for Dirk Rook,,,,,,,,,,,
,,,,,,,,,,,
Filters:,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
Region,Country,Block,Field,Well name,Operator,Type,Discovery year,Announced date,Well water depth (m),Zones,Remark
Australia/New Zealand,Australia,WA-374-P,Satyr,Satyr-3,Chevron,Gas,2012,20 Jan 2012,"1,124",1,"01/12: The well was drilled in 3,688 fsw (1,124 msw) to a depth of 13,369 fsw (4,075 msw). Encountered approximately 243 feet (74 meters) of net gas pay."
Australia/New Zealand,Australia,WA-374-P,Satyr,Satyr-1,Chevron,Gas,2009,15 Dec 2009,"1,070",1,
Australia/New Zealand,Australia,,Skiddaw,Skiddaw-2,BHP Billiton,"Oil, Gas",2003,16 Jun 2003,825,2,Appraisal well intersected 72mof oil bearing reservoir.
Australia/New Zealand,Australia,VIC/RL4,South East Remora,South East Remora-1,ExxonMobil,"Oil, Gas",2010,22 Apr 2010,57,1,
Australia/New Zealand,Australia,,Sparkle,Sparkle-1,Shell,Oil,1998,6 Aug 1998,90,1,Plugged & Abandoned
Australia/New Zealand,Australia,,Sperm Whale,Sperm Whale #1,Hudbay,"Oil, Gas",1981,15 Jan 1982,64,3,Future plans unknown.
Australia/New Zealand,Australia,,Swan (Aus),Swan #3,BHP Billiton,Gas,1991,16 Sep 1991,111,2,
Australia/New Zealand,Australia,,Swift North,Swift North-1,Coogee Resources,Oil,2006,4 Apr 2006,82,1,"7,000 Barrels Day Potential"
Australia/New Zealand,Australia,WA-351-P,Tallaganda,Tallaganda-1,Tap Oil,,2012,12 Apr 2012,"1,141",0,
Australia/New Zealand,Australia,WA-346-P,Thebe,Thebe-1,BHP Billiton,Gas,2007,13 Aug 2007,"1,173",1,
Australia/New Zealand,Australia,,Urania,Urania-1,Chevron,Gas,2000,17 Feb 2000,"1,200",1,"Suspended; former WAPET asset, Chevron now taken over operatorship."
Australia/New Zealand,Australia,,Volador,Volador #1,Shell Australia,"Oil, Gas",1983,15 Apr 1983,50,2,Further testing to be carriedout.
Australia/New Zealand,Australia,WA-439-P,Vos,Vos-1,Chevron,Gas,2011,16 Dec 2011,"1,484",1,
Australia/New Zealand,Australia,TL/9,West Cycad,Cycad West -1,Apache,Oil,2006,15 Nov 2006,17,1,Maui - IHS Energy
Australia/New Zealand,Australia,WA-323-P,Winchester,Winchester-1,Santos,Gas,2013,18 Jul 2013,76,1,"07/13: Winchester-1 will now be deepened to evaluate the gas-bearing potential of further objectives within
the Mungaroo section."
Australia/New Zealand,Australia,TL/8,Wonnich,Wonnich Deep - 1,Apache,Gas,2007,7 Mar 2007,27,1,Drilled from the Wonnich Platform to explore deeper prospectsSee discovery #3581 in 1995
Australia/New Zealand,Australia,WA-25-L,Woollybutt,5A,Eni,Oil,2006,12 Jan 2006,100,1,Well was drilled by Peak ManagementThis was a sidetrack and re-drill of #5 original had the hole cave in
Australia/New Zealand,Australia,WA-350-P,Xena,Xena-1st1,Woodside,Gas,2006,25 Sep 2006,178,1,
Australia/New Zealand,Australia,WA-34-L,Xeres,Xeres-1,Woodside,Gas,2011,23 May 2011,190,1,
Australia/New Zealand,Australia,WA-268-P,Yellowglen,Yellowglen-1,Chevron,Gas,2009,27 Jan 2010,"1,086",1,
Australia/New Zealand,Australia,WA-290-P,Zola,Zola-1,Apache,Gas,2011,18 Feb 2011,285,1,"Zola-1 sits to the immediate south of the giant Gorgon gas field. It has encountered indications of hydrocarbons that suggested the presence of a gas column. The well intersected over 100 metres of net gas pay sands over a 400 metre gross interval in the primary target, the Mungaroo formation."
Australia/New Zealand,New Zealand,PML 38146,Momoho,Momoho-1,Origin,"Gas, Condensate",2008,17 Jul 2008,65,2,Potential tie-back to Kupe
Australia/New Zealand,New Zealand,,Toru,Toru #1,ENCORE OIL,"Gas, Condensate",1990,17 Sep 1990,66,2,Further drilling planned.
Australia/New Zealand,New Zealand,PEP 38524,Tuatara,Tuatara-1,AWE,Gas,2010,9 Aug 2010,50,1,
Baltic,Poland,,B-21,B-21,Petrobaltic,Gas,1996,29 Jan 1996,81,1,Well testing
"Canada, East",Canada,PL 1006,Amethyst North E-17,Amethyst North E-17,Husky Oil,,2008,23 Nov 2009,119,1,Deeper Horizon on the White Rose Field
"Canada, East",Canada,,Arcadia,Arcadia J-16,Mobil,Gas,1983,15 Jul 1983,55,3,Development plans are unknown.
"Canada, East",Canada,SDL 1051,Ballicatters - M-96Z,Ballicatters M-96Z,Suncor,"Oil, Gas",2011,9 May 2013,101,1,
"Canada, East",Canada,,Banquereau,Banquereau C-21,Petro-Canada,"Oil, Gas",1982,1 Aug 1982,83,2,Abandoned
"Canada, East",Canada,,Bay du Nord,Bay du Nord,Statoil,Oil,2013,27 Aug 2013,"1,100",1,crude oil
"Canada, East",Canada,,Beothuk,South Hibernia Beothuk M-05,Canterra,Oil,1985,15 Jan 1985,90,1,Well is second of a 2 well farmout Canterra had from Petrocan. Developmentplans are unknown.
"Canada, East",Canada,,Cape Allison,Cape Allison C-47,Panarctic Oil,"Oil, Gas",1985,15 May 1985,244,2,Further drilling planned.Development plans are unknown.
"Canada, East",Canada,,Citnalta,Citnalta I-59,Mobil,"Oil, Gas",1974,29 Apr 1974,94,2,Abandoned
"Canada, East",Canada,,East Rankin,SDL 1035 East Rankin H-21,Chevron,,1988,3 Oct 1994,71,0,Oil Shows
"Canada, East",Canada,,Harpoon,Harpoon,Statoil,Oil,2013,19 Jun 2013,"1,160",1,Drilled by Semi West Aquarius
"Canada, East",Canada,,Hekja,Northern Labrador Sea Hekja O-71,Elf,"Gas, Condensate",1980,15 Oct 1980,363,2,Further drilling planned.
"Canada, East",Canada,,Intrepid,Intrepid L-80,Texaco,"Oil, Gas",1974,15 Aug 1974,44,2,Abandoned
"Canada, East",Canada,,King's Cove,SDL 1037 Kings Cove A-26,Petro-Canada,,1992,17 Jun 1992,92,0,
"Canada, East",Canada,,MarCoh D-41,MarCoh D-41,EnCana,Gas,2003,3 Dec 2003,43,1,
"Canada, East",Canada,,Margaree F-70,Margaree F-70,EnCana,Gas,2003,3 Dec 2003,42,1,
"Canada, East",Canada,SDL 1047,Mizzen,Mizzen,StatoilHydro,Oil,2009,8 Apr 2009,"1,100",1,Very Tight Hole
"Canada, East",Canada,,Nautilus (Canada),SDL 1041 Nautilus C-92,Mobil,Oil,1982,19 Feb 1982,84,1,
"Canada, East",Canada,,North Bjarni,North Bjarni F-06,Petro-Canada,Gas,1980,31 Dec 1980,150,1,Abandoned
"Canada, East",Canada,,North Leif,Northe Leif I-05,Petro-Canada,Oil,1981,15 Nov 1981,144,1,Well plugged and abandoned.
"Canada, East",Canada,,Primrose,Primrose N-50,Shell,"Oil, Gas",1972,21 Apr 1972,91,2,Abandoned
"Canada, East",Canada,,Sable South,South Sable B-44,Mobil,"Gas, Condensate",1988,25 Jul 1988,21,2,Find far below expectations. No further drilling expected inthe area.
"Canada, East",Canada,,Uniacke,Uniacke G-72,Shell,"Gas, Condensate",1984,15 Apr 1984,153,2,No further drilling plans.
"Canada, East",Canada,,West Bonne Bay,West Bonne Bay F-12z,Husky Oil,"Oil, Gas",2006,5 Dec 2006,100,1,
"Canada, East",Canada,PL 1006,White Rose,O-28,Husky Oil,Oil,2006,20 Jun 2006,120,1,
"Canada, Other",Canada,,Amauligak West,Amauligak O-86,GULF RESOURCES (A),Oil,1988,29 Aug 1988,52,1,Find is 2 miles west of Amauligak I-65 discovery.Reserves ofboth fileds estimated at 500million bbls. oil. Further drilling is planned.
"Canada, Other",Canada,,Amerk,Amerk 0-09,Home Petroleum,"Gas, Condensate",1985,15 Apr 1985,27,6,Future plans unknown.
"Canada, Other",Canada,,Arnak,Arnak K-06,Esso,Oil,1986,8 Sep 1986,8,1,Well drilled from an artificial island. Development status unknown.
"Canada, Other",Canada,,Cisco,Cisco K-58,Panarctic Oil,"Oil, Gas",1983,15 Apr 1983,274,2,Development plans are unknown.
"Canada, Other",Canada,,Havik,Havik B-41,Dome Petroleum,Oil,1984,28 Aug 1986,61,1,"Well drilled in 1984, buttesting delayed until now due to wellhead problems. Development statuplansare unknown."
"Canada, Other",Canada,,Kadluk,Kadluk-007,Esso,Gas,1984,15 Apr 1984,6,6,Two additional wells planned.Development plans areunknown.
"Canada, Other",Canada,,Kenalooak,Kenalooak J-94,Dome Petroleum,Gas,1979,31 Dec 1979,68,1,
"Canada, Other",Canada,,Koakoak,Koakoak O-22,Dome Petroleum,Oil,1981,15 Dec 1981,,1,Development plans are unknown.
"Canada, Other",Canada,,Kopanoar,Kopanoar M-13,Dome Petroleum,Oil,1979,15 Sep 1979,55,1,Development plans are unknown.
"Canada, Other",Canada,,Maclean,Maclean I-72,Panarctic Oil,Gas,1981,15 May 1981,,1,Development plans are unknown.
"Canada, Other",Canada,,Minuk,Minuk I-53,Esso,"Gas, Condensate",1986,16 May 1986,15,2,Development plans are unknown.
"Canada, Other",Canada,,Nektoralik,Nektoralik K-59,,"Oil, Gas",1976,31 Dec 1976,64,1,
"Canada, Other",Canada,,Nerlerk,Nerlerk M-98,Dome Petroleum,Oil,1979,15 Nov 1979,,1,Well suspended. Testing to begin spring/1980. Development plans are unknown.
"Canada, Other",Canada,,Nipterk L-19,Nipterk L-19A,Esso,"Oil, Gas",1985,15 Jul 1985,11,2,"Combined oil flow from 5zoneswas around 12,000 B/D. Development plans areunknown."
"Canada, Other",Canada,,Olympia West,West Olympia 0-51,Mobil,Gas,1985,15 Nov 1985,41,1,Flow decreased to 18.7 MMcfd during testing. Development plans are unknown.
"Canada, Other",Canada,EL 420,Paktoa,Paktoa #C-60,Devon Energy,Oil,2006,18 Oct 2007,12,1,Found 240 Million BarrelsNo Infrastructure
